rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,pronoun_attachment_relation,pronoun_attachment_form,pronoun_attachment_type,pronoun_attachment_pronouns,pronoun_attachment_count,pronoun_attachment_confidence,pronoun_attachment_reason,pronoun_attachment_semantic_class
3098,ponerme,poner,to put,to put on,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,me,1,high,manual_reflexive_match,reflexive_lexical
3123,dejarte,dejar,to leave,to leave you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
3124,matarte,matar,to kill,to kill you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
3215,aléjate,alejar,you estrange,estrange you,yes,translation_changed,attached_pronoun_form,imperative,direct_object,te,1,high,safe_direct_match,transparent_object
3239,llamarme,llamar,to summon,to be called,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,me,1,high,manual_pronominal_match,pronominal_lexical
3250,darles,dar,to give,to give to them,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,les,1,high,safe_indirect_match,transparent_indirect
3255,vernos,ver,to see,to see us,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,nos,1,high,safe_direct_match,transparent_object
3293,casarme,casar,to marry,to marry me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
3302,preocuparse,preocupar,to worry,to worry,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
3303,llevarlo,llevar,to take,to take it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
3322,sentirse,sentir,to feel,to feel,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
3332,ayudarnos,ayudar,to help,to help us,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,nos,1,high,safe_indirect_match,transparent_indirect
3370,hazme,hacer,I do,do me,yes,translation_changed,attached_pronoun_form,imperative,direct_object,me,1,high,safe_direct_match,transparent_object
3384,sentarse,sentar,to seat,to sit down,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,se,1,high,manual_reflexive_match,reflexive_lexical
3393,verlos,ver,to see,to see them (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,los,1,high,safe_direct_match,transparent_object
3439,darnos,dar,to give,to give to us,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,nos,1,high,safe_indirect_match,transparent_indirect
3494,llevarme,llevar,to take,to take me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
3582,ponerte,poner,to put,to put on,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,te,1,high,manual_reflexive_match,reflexive_lexical
3583,haberle,haber,to have,to have to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
3654,decirnos,decir,to say,to say to us,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,nos,1,high,safe_indirect_match,transparent_indirect
3659,ayudarlo,ayudar,to help,to help it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
3674,quítate,quitar,you remove,take off,yes,translation_changed,attached_pronoun_form,imperative,reflexive,te,1,high,manual_reflexive_match,reflexive_lexical
3738,hablarle,hablar,to talk,to talk to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
3745,asegurarme,asegurar,to secure,to secure me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
3788,mírate,mirar,you look at,look at you,yes,translation_changed,attached_pronoun_form,imperative,direct_object,te,1,high,safe_direct_match,transparent_object
3810,ayudarla,ayudar,to help,to help it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
3816,tenerlo,tener,to have,to have it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
3903,verse,ver,to see,to see each other,yes,translation_changed,attached_pronoun_form,infinitive,reciprocal,se,1,high,manual_reciprocal_match,reciprocal
3997,preocuparte,preocupar,to worry,to worry you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
3999,moverse,mover,to move,to move,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
4041,hablarte,hablar,to talk,to talk to you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
4105,casarte,casar,to marry,to marry you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
4106,déjala,dejar,you leave,leave it (feminine),yes,translation_changed,attached_pronoun_form,imperative,direct_object,la,1,high,safe_direct_match,transparent_object
4117,pensarlo,pensar,to think,to think it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4179,encontrarla,encontrar,to meet,to meet it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
4248,dejarla,dejar,to leave,to leave it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
4262,llevarla,llevar,to take,to take it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
4283,quedarnos,quedar,to be,to stay,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,nos,1,high,manual_pronominal_match,pronominal_lexical
4291,conocerlo,conocer,to know,to know it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4306,llamarte,llamar,to summon,to be called,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,te,1,high,manual_pronominal_match,pronominal_lexical
4310,ponerle,poner,to have sex,to have sex to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
4380,evitarlo,evitar,to avoid,to avoid it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4391,haberla,haber,to have,to have it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
4409,hacerla,hacer,to do,to do it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
4436,buscarlo,buscar,to seek,to seek it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4491,arreglarlo,arreglar,to fix,to fix it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4505,llamarlo,llamar,to summon,to summon it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4510,sentarme,sentar,to seat,to sit down,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,me,1,high,manual_reflexive_match,reflexive_lexical
4589,pedirte,pedir,to ask for something,to ask you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
4591,ponerlo,poner,to put,to put it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4601,encontrarse,encontrar,to meet,to meet each other,yes,translation_changed,attached_pronoun_form,infinitive,reciprocal,se,1,high,manual_reciprocal_match,reciprocal
4641,háblame,hablar,I talk,talk to me,yes,translation_changed,attached_pronoun_form,imperative,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
4743,hacernos,hacer,to do,to do us,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,nos,1,high,safe_direct_match,transparent_object
4755,discúlpame,disculpar,I excuse,excuse me,yes,translation_changed,attached_pronoun_form,imperative,direct_object,me,1,high,safe_direct_match,transparent_object
4772,disculparme,disculpar,to excuse,to excuse me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
4835,llevarse,llevar,to take,to take away,yes,translation_changed,attached_pronoun_form,infinitive,idiomatic_se,se,1,high,manual_idiomatic_se_match,idiomatic_aspectual
4856,conocerla,conocer,to know,to know it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
4857,pregúntale,preguntar,you ask,ask him or her,yes,translation_changed,attached_pronoun_form,imperative,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
4863,tómalo,tomar,you take,take it (masculine),yes,translation_changed,attached_pronoun_form,imperative,direct_object,lo,1,high,safe_direct_match,transparent_object
4878,contarle,contar,to count,to count to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
4920,sacarlo,sacar,to put out,to put out it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4947,encontrarme,encontrar,to meet,to meet me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
4958,usarlo,usar,to use,to use it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4977,detenerlo,detener,to detain,to detain it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4988,entenderlo,entender,to understand,to understand it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
4989,mantenerse,mantener,to keep,to keep,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5001,conseguirlo,conseguir,to achieve,to achieve it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5006,tenerte,tener,to have,to have you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
5073,averiguarlo,averiguar,to find out,to find out it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5105,probarlo,probar,to prove,to prove it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5139,acercarse,acercar,to bring close,to bring close,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5140,sentirme,sentir,to feel,to feel me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
5147,míralo,mirar,you look at,look at it (masculine),yes,translation_changed,attached_pronoun_form,imperative,direct_object,lo,1,high,safe_direct_match,transparent_object
5160,meterse,meter,to put in,to put in,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5209,sentarte,sentar,to seat,to sit down,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,te,1,high,manual_reflexive_match,reflexive_lexical
5253,matarla,matar,to kill,to kill it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
5300,unirse,unir,to unite,to unite,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5325,mostrarte,mostrar,to show,to show you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
5373,mantenerlo,mantener,to keep,to keep it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5374,hablarme,hablar,to talk,to talk to me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
5420,oírlo,oír,to hear,to hear it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5426,haciéndolo,hacer,doing,doing it (masculine),yes,translation_changed,attached_pronoun_form,gerund,direct_object,lo,1,high,safe_direct_match,transparent_object
5457,levantarse,levantar,to lift,to get up,yes,translation_changed,attached_pronoun_form,infinitive,reflexive,se,1,high,manual_reflexive_match,reflexive_lexical
5499,reunirse,reunir,to gather,to gather,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5521,encontrarte,encontrar,to meet,to meet you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
5530,sacarte,sacar,to put out,to put out you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
5544,oírme,oír,to hear,to hear me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
5548,tómate,tomar,you take,take you,yes,translation_changed,attached_pronoun_form,imperative,direct_object,te,1,high,safe_direct_match,transparent_object
5567,contarte,contar,to count,to count you,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,te,1,high,safe_indirect_match,transparent_indirect
5570,asegurarse,asegurar,to secure,to secure,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5648,explicarlo,explicar,to explain,to explain it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5660,meterme,meter,to put in,to put in me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
5720,contarme,contar,to count,to count me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
5784,decirse,decir,to say,to say,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5802,deshacerse,deshacer,to undo,to undo,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5807,buscarte,buscar,to seek,to seek you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
5827,enseñarte,enseñar,to teach,to teach you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
5847,echarle,echar,to throw,to throw to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
5852,dejarle,dejar,to leave,to leave to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
5877,preguntarme,preguntar,to ask,to ask me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
5887,espérame,esperar,I hope,hope me,yes,translation_changed,attached_pronoun_form,imperative,direct_object,me,1,high,safe_direct_match,transparent_object
5916,escucharme,escuchar,to listen to,to listen to me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
5948,estarlo,estar,to be,to be it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
5964,dándole,dar,giving,giving to him or her,yes,translation_changed,attached_pronoun_form,gerund,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
5983,retirarse,retirar,to remove,to remove,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
5994,soportarlo,soportar,to bear,to bear it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
6040,meterte,meter,to put in,to put in you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
6071,mostrarle,mostrar,to show,to show him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
6075,enfrentarse,enfrentar,to confront,to confront,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
6105,lograrlo,lograr,to get,to get it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
6122,marcharse,marchar,to go,to leave,yes,translation_changed,attached_pronoun_form,infinitive,pronominal,se,1,high,manual_pronominal_match,pronominal_lexical
6126,llamarla,llamar,to summon,to summon it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
6131,protegerte,proteger,to protect,to protect you,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,te,1,high,safe_direct_match,transparent_object
6155,traerme,traer,to bring,to bring to me,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,me,1,high,safe_indirect_match,transparent_indirect
6178,tenerla,tener,to have,to have it (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,la,1,high,safe_direct_match,transparent_object
6202,enseñarle,enseñar,to teach,to teach to him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
6212,presentarse,presentar,to present,to present,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,unknown,se,1,medium,candidate_only,unknown
6245,buscarme,buscar,to seek,to seek me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
6248,casarnos,casar,to marry,to marry us,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,nos,1,high,safe_direct_match,transparent_object
6310,hacerles,hacer,to do,to do to them,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,les,1,high,safe_indirect_match,transparent_indirect
6326,preocuparme,preocupar,to worry,to worry me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
6339,llevarnos,llevar,to take,to take us,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,nos,1,high,safe_direct_match,transparent_object
6398,verlas,ver,to see,to see them (feminine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,las,1,high,safe_direct_match,transparent_object
6410,escucharlo,escuchar,to listen to,to listen to it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
6477,danos,dar,I give,give to us,yes,translation_changed,attached_pronoun_form,imperative,indirect_object,nos,1,high,safe_indirect_match,transparent_indirect
6485,quitarle,quitar,to remove,to remove from him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
6491,creerme,creer,to believe,to believe,no,attached_pronoun_candidate_only,attached_pronoun_form,infinitive,ethical_dative,me,1,medium,candidate_only,ethical_dative
6524,matarnos,matar,to kill,to kill us,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,nos,1,high,safe_direct_match,transparent_object
6528,aceptarlo,aceptar,to accept,to accept it (masculine),yes,translation_changed,attached_pronoun_form,infinitive,direct_object,lo,1,high,safe_direct_match,transparent_object
6536,despedirme,despedir,to dismiss,to dismiss me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
6561,acércate,acercar,you bring close,bring close you,yes,translation_changed,attached_pronoun_form,imperative,direct_object,te,1,high,safe_direct_match,transparent_object
6573,sacarme,sacar,to put out,to put out me,yes,translation_changed,attached_pronoun_form,infinitive,direct_object,me,1,high,safe_direct_match,transparent_object
6606,dinos,decir,I say,tell to us,yes,translation_changed,attached_pronoun_form,imperative,indirect_object,nos,1,high,safe_indirect_match,transparent_indirect
6613,sacarle,sacar,to put out,to put out from him or her,yes,translation_changed,attached_pronoun_form,infinitive,indirect_object,le,1,high,safe_indirect_match,transparent_indirect
