lemma,count
[UNTRANSLATED] debería,186785
[UNTRANSLATED] van,186422
city,185759
you all (formal),184390
[UNTRANSLATED] muchas,183573
to be able to/can,182146
any / some,181159
friend / fellow,181053
chica,179295
elder / great / main,177873
[UNTRANSLATED] sabía,175312
chico / boy / girl,174510
brother / sister,174414
[UNTRANSLATED] esas,174267
first,174056
country,173107
[UNTRANSLATED] vaya,172489
water,172356
[UNTRANSLATED] misma,171495
[UNTRANSLATED] veo,171364
[UNTRANSLATED] haces,170177
path / way,169922
person,169741
[UNTRANSLATED] iba,169636
reality,168677
end,168510
important,167574
first,167530
[UNTRANSLATED] digo,166604
hour / time,166262
week,165909
door,165036
[UNTRANSLATED] somos,164983
[UNTRANSLATED] pensé,164934
low / short / under,164484
death,164398
problem,163433
point,163199
ah,163190
step,162454
perhaps,162117
[UNTRANSLATED] buenas,161279
supposition / supposed,161065
four,160375
[UNTRANSLATED] da,159390
hand,159322
boy / girl,159305
goback,157907
besides,157835
[UNTRANSLATED] señora,157598
affection,157329
help,157073
eye,156143
five,155815
happen / spend,155741
general,155361
prompt / early / soon,155069
[UNTRANSLATED] debo,154548
minute,153924
but,153281
government,153247
hand,152657
chairman / chairperson / president,152440
dead person / dead,152117
many,151773
chico / boy / girl,150641
war,150278
[UNTRANSLATED] hice,150151
even,149589
means / half / middle,149551
which,149002
speak,147959
goodbye,147325
at least,147214
[UNTRANSLATED] genial,146594
[UNTRANSLATED] fueron,146401
this,145509
fast,145063
team / squad,144798
giveup / leave / lend,144278
[UNTRANSLATED] significa,144035
boss / leader,143984
million,143875
luck,143636
[UNTRANSLATED] otras,143352
yesterday,143323
body,142880
arrive,142773
woman,141630
possible,141531
as / according to,141086
our / ours,140807
perhaps,140555
tierra / earth / land,140549
only / unique,140434
[UNTRANSLATED] hija,140247
[UNTRANSLATED] ninguna,140049
end / final,139803
cara / face,139709
boy / girl,139669
[UNTRANSLATED] supongo,138657
together,138569
[UNTRANSLATED] algunas,138298
[UNTRANSLATED] entiendo,138296
number,138168
[UNTRANSLATED] ningún,138155
deja,138097
[UNTRANSLATED] ves,137917
uncle,137775
near / wall,137185
corazón / heart,137016
fear,136673
good/well,135945
[UNTRANSLATED] eran,135785
[UNTRANSLATED] haya,135257
[UNTRANSLATED] hubiera,135227
happy,134886
some (fem.),134608
[UNTRANSLATED] espero,134308
equal / the same,134222
[UNTRANSLATED] viene,134025
month,133712
[UNTRANSLATED] sigue,133344
to give,133102
[UNTRANSLATED] podía,132930
[UNTRANSLATED] última,132602
difficult,132094
[UNTRANSLATED] os,131791
come,131556
6th,131170
old,130961
quite a lot of / quite / enough,129919
take,129675
[UNTRANSLATED] gustaría,129585
how many / how much,129281
find,129194
forward,129092
justo / just,127679
direction / sense,127245
[UNTRANSLATED] esposa,126847
segundo / second,126392
big,125939
there,125797
class / classroom / kind,125560
which,124597
ante / in front of / elk,124416
gambling / game,123963
to have/possess,123709
think,122575
[UNTRANSLATED] pueda,122548
[UNTRANSLATED] hey,122545
doctor,122517
group,122028
care,121613
sufficient,121520
blood,120642
small,120593
[UNTRANSLATED] dijiste,120417
[UNTRANSLATED] trata,119650
[UNTRANSLATED] haré,119359
last,119291
forehead / front,118840
big,118548
[UNTRANSLATED] venga,118329
flame / llama,117751
night,117749
taking,117736
[UNTRANSLATED] necesita,117516
[UNTRANSLATED] debes,117004
up,116339
turn / return,116050
car,115283
neither,114609
work,114099
when,113793
strong / loud,113054
security,112861
but,111983
goin,111610
live,111446
[UNTRANSLATED] escucha,111246
[UNTRANSLATED] déjame,111119
village,110890
child / daughter / son,110015
youngster / young,109943
those that / what / quantum,109716
[UNTRANSLATED] hago,109515
school,109447
after,109409
[UNTRANSLATED] cree,109380
change,108920
luz / light,108503
opportunity,108478
[UNTRANSLATED] fui,107891
system,107860
embargo,107758
telephone,107525
dec.,107034
six,106876
high / tall / alto,106802
speech,106620
party,106187
crazy,105913
backwards,105663
[UNTRANSLATED] debemos,105402
question,105358
[UNTRANSLATED] hacen,105315
follow / keep,104984
[UNTRANSLATED] quieren,104978
[UNTRANSLATED] dio,104868
step,104786
fault / foul,104348
easy,104304
ido,104001
parent / father,103930
wine,103897
[UNTRANSLATED] hiciste,103778
[UNTRANSLATED] estaban,103610
situation,103446
down,103283
[UNTRANSLATED] única,102884
[UNTRANSLATED] siendo,102733
way,102519
information,102513
dollar,102258
east / this,102017
[UNTRANSLATED] hermana,101162
[UNTRANSLATED] tuvo,100620
die,100541
music,100209
paz / peace,100159
fault,100086
[UNTRANSLATED] queda,99750
real / royal,99733
decree / car,99696
word,99679
[UNTRANSLATED] deberías,99624
[UNTRANSLATED] sola,99591
law / right,99103
list,99093
match / party,98783
order,98419
exactly,98103
national,97832
smart / ready,97811
food / lunch,97638
[UNTRANSLATED] necesitamos,97624
[UNTRANSLATED] habría,97608
book,97501
captain,97498
[UNTRANSLATED] diciendo,97488
eat,97387
[UNTRANSLATED] sabemos,96930
far,96430
happen / spend,96380
die,96325
[UNTRANSLATED] haga,96236
place,96203
street,96005
[UNTRANSLATED] dicen,95693
[UNTRANSLATED] estabas,95588
pair,95417
[UNTRANSLATED] vete,95198
policy / politics,95063
bad,94881
room,94593
probably,94355
[UNTRANSLATED] estuvo,94320
this,94130
plan,93919
special,93698
word,93575
[UNTRANSLATED] pequeña,93405
[UNTRANSLATED] ok,92530
believe,92453
relation / relationship,92441
chica,92341
law,91988
baby,91942
think,91862
[UNTRANSLATED] conozco,91817
simply,91798
[UNTRANSLATED] acerca,91649
ten / diez,91543
expect / hope / wait,91507
[UNTRANSLATED] través,91507
[UNTRANSLATED] tuve,91480
centre,91320
long / largo,91148
lookfor,90780
bed,90769
[UNTRANSLATED] nuestras,90475
memory,89726
rey / king / queen,89710
spain,89245
voice,88556
[UNTRANSLATED] dame,88513
other,88434
mrs.,88400
[UNTRANSLATED] saben,88320
thousand / hundred,88198
[UNTRANSLATED] lleva,87354
[UNTRANSLATED] tenga,86947
[UNTRANSLATED] necesitas,86587
achieve / get / manage,86568
master,86373
[UNTRANSLATED] propia,86122
[UNTRANSLATED] dime,85896
own,85823
place,85812
rest,85118
office,85097
free,85061
[UNTRANSLATED] segura,85025
bad,84837
[UNTRANSLATED] estará,84648
put,84462
force / strength,84398
husband,84318
arm / weapon,83893
bitch,83640
hearing,83399
carry / spend / take,83244
[UNTRANSLATED] podrías,83204
example,83157
[UNTRANSLATED] mucha,82823
control,82698
expect / hope / wait,82683
attention,82391
gift,82202
fire,82127
call,81962
madrid,81548
trip,81501
sleep,81384
chamber / fourth,81311
dr.,81308
following,81191
kill,81188
[UNTRANSLATED] habían,81143
[UNTRANSLATED] hagas,81124
both,81094
[UNTRANSLATED] habrá,80772
stray,80772
proof / test,80706
future,80546
countryside / field / pitch,80389
[UNTRANSLATED] deben,80305
hospital,80139
[UNTRANSLATED] di,79843
she/her,79527
alive,79235
[UNTRANSLATED] piensa,79176
week,78903
age,78894
help,78887
come,78846
[UNTRANSLATED] murió,78814
film,78746
[UNTRANSLATED] san,78454
[UNTRANSLATED] maldita,78300
[UNTRANSLATED] preocupes,77900
state,77690
nina,77659
hearing / sight / view,77413
together,77315
correct,77124
call,76992
[UNTRANSLATED] basta,76950
john,76877
air,76848
on,76632
heaven / sky,76625
[UNTRANSLATED] iré,76578
lookfor,76470
program,76383
personnel / workforce / personal,76349
coffee,76267
behind,75904
public,75548
minute,75529
conductor / director / manager,75524
[UNTRANSLATED] llegó,75408
demon,75100
[UNTRANSLATED] pienso,74926
[UNTRANSLATED] verte,74715
[UNTRANSLATED] acaba,74616
mouth,74341
[UNTRANSLATED] diga,74285
last night,74140
[UNTRANSLATED] vuelve,73971
address / direction,73937
call,73881
unit,73708
service,73676
[UNTRANSLATED] ésta,73379
idiot,73201
play,73018
[UNTRANSLATED] mala,73012
social,72800
doctor / medical,72630
month,72606
work,72583
subject,72466
lose / miss / spend,72268
[UNTRANSLATED] dejó,72262
arm / weapon,71938
hard,71929
dear,71689
question,71395
[UNTRANSLATED] queremos,71159
pardon,71136
[UNTRANSLATED] deberíamos,70848
foot,70846
majority,70801
join,70669
[UNTRANSLATED] segunda,70555
begin,70454
mia,70219
[UNTRANSLATED] digas,70106
[UNTRANSLATED] hacemos,70083
dog,69856
miss,69817
cloth / clothes,69754
to,69106
paper,68964
dream / sleep,68900
official,68865
odd,68852
black,68761
never,68529
[UNTRANSLATED] hará,68452
outside,68391
sol / sun / sunlight,68390
average,68290
devil,68187
necessary,67901
news,67796
incredible,67735
josé,67679
principle / outset / beginning,67631
answer / response,67604
arrive,67586
university,67567
damned,67565
juan,67487
[UNTRANSLATED] vemos,67350
[UNTRANSLATED] haría,67342
company,67020
change,67004
pain / ache / grief,66968
table,66967
message,66962
level,66938
[UNTRANSLATED] pudo,66937
[UNTRANSLATED] s,66762
decision,66696
line,66679
different,66656
that,66537
libertad / freedom / liberty,66531
around,66406
[UNTRANSLATED] vio,66090
half,66022
1st,65961
space,65958
[UNTRANSLATED] respecto,65919
pena / penalty / pity,65890
work,65886
agent,65861
[UNTRANSLATED] the,65847
sex,65844
society,65709
salud / health,65646
investigation / research / inquest,65466
[UNTRANSLATED] suena,65457
process,65410
here,65334
find,65323
treat,65310
use,65091
deal,64971
to want,64873
seven,64652
target / white,64565
[UNTRANSLATED] supone,64481
rare,64457
advice / council,64414
[UNTRANSLATED] diré,64158
zone,64152
jack,64138
last,64105
error,64030
good,63952
[UNTRANSLATED] hubo,63942
perfecto / perfect,63930
subject,63844
meeting / gathering,63826
[UNTRANSLATED] piensas,63798
york,63796
[UNTRANSLATED] sucede,63457
[UNTRANSLATED] podríamos,63447
card / letter / menu,63370
secret,63056
[UNTRANSLATED] siente,62736
taste,62509
[UNTRANSLATED] decía,62440
[UNTRANSLATED] irme,62112
earn / win,62044
base / basic,62000
hate,61995
[UNTRANSLATED] decirle,61976
[UNTRANSLATED] ocurre,61874
sean,61871
maría,61851
suelo / floor / soil,61812
hotel,61623
silence,61571
damage / harm,61519
[UNTRANSLATED] amiga,61474
poor,61416
split,61245
murderer / killer / murderous,61144
[UNTRANSLATED] entiendes,61096
[UNTRANSLATED] encuentra,61074
[UNTRANSLATED] quieras,60870
background / bottom / fund,60767
[UNTRANSLATED] pensaba,60669
[UNTRANSLATED] existe,60653
[UNTRANSLATED] srta,60636
[UNTRANSLATED] darle,60442
dan,60427
bath / bathroom,60266
career / race,60210
[UNTRANSLATED] conoces,60204
action,60170
doubt,59966
[UNTRANSLATED] vuelto,59500
part,59392
interior / inner,59177
[UNTRANSLATED] tendrá,59087
impossible,59076
pay,59043
mind,58989
fun,58846
room,58646
[UNTRANSLATED] acabo,58517
business,58419
hardly / as soon as,58409
eight,58342
[UNTRANSLATED] próxima,58325
army,58190
mar / sea / mar.,58171
[UNTRANSLATED] estaré,58121
appointment / citation / date,57980
[UNTRANSLATED] pelo,57970
lawyer / solicitor,57897
different,57850
[UNTRANSLATED] conoce,57779
[UNTRANSLATED] recuerda,57585
murder,57535
[UNTRANSLATED] recuerdas,57496
[UNTRANSLATED] vive,57478
[UNTRANSLATED] ay,57381
energy,57238
bank,57221
art / artistry,57176
company,57159
photo,57106
normal,57082
[UNTRANSLATED] seas,56992
case,56953
novia,56941
totally,56910
country,56865
left / left-wing,56861
to know (be familiar with),56739
project,56723
[UNTRANSLATED] estaría,56635
camera,56568
cause,56562
[UNTRANSLATED] estábamos,56560
[UNTRANSLATED] cállate,56478
able,56466
weigh,56418
church,56401
[UNTRANSLATED] parecía,56375
proof / test,56363
right,56311
century,56291
keep / maintain,56275
minister,56243
[UNTRANSLATED] uh,56143
feel,55919
except,55865
drop,55840
who,55826
giveup / leave / lend,55336
[UNTRANSLATED] hicieron,55234
box,55185
professor,55145
[UNTRANSLATED] estuve,55083
charge,54985
opinion,54936
club,54719
[UNTRANSLATED] verlo,54712
[UNTRANSLATED] decirte,54567
[UNTRANSLATED] encontré,54470
development,54450
[UNTRANSLATED] haz,54450
[UNTRANSLATED] aquella,54411
accident,54225
[UNTRANSLATED] quiera,54110
carlos,54089
finish / endup,53975
market,53915
sam,53909
next,53862
total,53811
salt,53801
several,53621
pass,53551
any one,53493
david,53464
gold,53311
meeting,53276
value,53140
dinner / supper,53130
desire / wish,53126
[UNTRANSLATED] funciona,53066
buy,53019
position,53003
studio / study,52883
movement,52793
finally,52747
[UNTRANSLATED] mire,52727
new,52724
[UNTRANSLATED] salió,52694
hunger,52662
entirely,52573
[UNTRANSLATED] encanta,52538
form,52506
north,52492
even,52225
where,52217
[UNTRANSLATED] dile,52136
wail,51955
experience,51912
homework / duty / haveto,51896
[UNTRANSLATED] loca,51853
your / yours,51744
[UNTRANSLATED] m,51720
[UNTRANSLATED] llega,51719
"you all (informal, Spain)",51673
alta,51423
[UNTRANSLATED] fuiste,51383
type,51295
contact,51255
alma / soul,51181
calm,51168
[UNTRANSLATED] dijeron,51125
colour,50895
justice,50882
pleasure,50874
[UNTRANSLATED] disculpe,50856
[UNTRANSLATED] mató,50823
radio / radius,50587
search,50569
dead person / dead,50556
[UNTRANSLATED] pone,50497
image,50448
species,50342
[UNTRANSLATED] pudiera,50340
ex,50298
[UNTRANSLATED] llamo,50269
[UNTRANSLATED] puso,50269
[UNTRANSLATED] entra,50268
pile,50264
prison,50253
shop / tent,50212
cut / court,50170
flesh / meat,50158
success,50141
to know (be familiar with),50139
boy / girl,50034
[UNTRANSLATED] viste,50008
danger,49913
main,49850
in front,49847
interesting,49824
[UNTRANSLATED] sale,49753
[UNTRANSLATED] pude,49743
common,49701
speech,49687
[UNTRANSLATED] creí,49603
ship,49422
[UNTRANSLATED] sientes,49414
foot,49391
taenia,49330
beautiful,49168
suit,49132
south,49109
attack,49022
understand,49010
[UNTRANSLATED] quisiera,49009
michael,48991
[UNTRANSLATED] podrían,48930
master / teacher,48862
youngster / young,48791
possibility,48715
listen,48714
finish / endup,48616
difference,48606
scene,48540
human,48517
knight / cavalier,48483
department,48446
data,48355
defence,48319
avoid / avert,48318
business,48194
simple,48192
era,47998
aim / objective,47978
cape,47857
true,47746
[UNTRANSLATED] abuela,47717
press,47716
novio / boyfriend / girlfriend,47629
song,47622
[UNTRANSLATED] llamó,47557
[UNTRANSLATED] haremos,47539
while,47511
[UNTRANSLATED] gustan,47460
judgement / trial,47442
stupid,47397
silly,47396
point,47395
relation / relationship,47299
cinema,47268
that,47213
[UNTRANSLATED] tenían,47201
like this,47021
river,47018
joe,46817
use,46786
condition,46687
boy / girl,46644
especially,46591
destination / fate,46568
frank,46559
series,46534
judge,46505
george,46503
[UNTRANSLATED] quédate,46480
[UNTRANSLATED] nuevas,46471
force / strength,46468
understand,46448
photo,46386
contrary,46378
aeroplane,46337
[UNTRANSLATED] hermosa,46280
couple / marriage,46199
any,46196
[UNTRANSLATED] serán,46117
television,46067
cooking / kitchen / cuisine,46022
building / edifice,45999
time,45969
same,45938
dulce / sweet,45937
cold,45919
[UNTRANSLATED] vieja,45898
surprise,45846
wedding,45837
book,45749
gear / course / departure,45689
haste,45685
attempt,45681
flat / floor,45664
charlie,45577
interest,45508
cost / price,45490
luis,45446
[UNTRANSLATED] acabó,45438
[UNTRANSLATED] c,45392
departure / exit / output,45378
here,45353
terrible,45165
first,45047
tom,45033
human,44973
period / epoch,44962
[UNTRANSLATED] llevo,44932
moon,44909
question,44896
[UNTRANSLATED] resulta,44850
[UNTRANSLATED] volvió,44816
presence,44766
entrance / entry,44764
birthday,44704
report,44643
head office / central,44599
effect,44514
[UNTRANSLATED] encontramos,44474
europe,44467
[UNTRANSLATED] esperaba,44452
[UNTRANSLATED] culo,44420
[UNTRANSLATED] muerta,44410
look,44310
member,44308
[UNTRANSLATED] llevó,44299
train,44180
[UNTRANSLATED] decirme,44179
[UNTRANSLATED] abre,44162
need,44151
sample,44072
horse,44032
[UNTRANSLATED] diría,44026
nature,43924
sad,43823
present,43774
try / endeavour,43756
jesús / jesus,43709
aunt,43702
lieutenant,43673
reina,43630
honour,43605
result,43598
quantity,43578
spaniard / spanish,43471
support,43419
gift,43403
[UNTRANSLATED] tengas,43398
mexico,43302
mission,43280
[UNTRANSLATED] carajo,43273
horrible,43238
fight / struggle,43146
patient,43003
crime,42966
[UNTRANSLATED] tendrás,42905
east / this,42900
prank,42893
to be able to/can,42890
[UNTRANSLATED] anda,42855
santa,42849
[UNTRANSLATED] espere,42737
dress,42730
[UNTRANSLATED] vienen,42724
soldier / military,42720
navidad / christmas,42715
brain / mastermind,42651
drug,42649
takeaway / takeoff / takeout,42574
[UNTRANSLATED] ciento,42572
[UNTRANSLATED] tendría,42473
metre / subway,42430
permission,42406
amable / kind / amiable,42364
minor / low,42338
result,42227
[UNTRANSLATED] das,42212
[UNTRANSLATED] varias,42193
detective,42163
victim,42110
mike,42068
[UNTRANSLATED] debía,42007
rubbish,41920
signal,41910
grandfather / grandparent / grandmother,41903
[UNTRANSLATED] ocurrió,41886
segundo / second,41874
[UNTRANSLATED] temo,41839
husband / wife,41766
look,41758
style / flair,41724
building / nave / ship,41667
international,41642
[UNTRANSLATED] vámonos,41592
respect,41559
curse,41520
[UNTRANSLATED] siéntate,41511
think,41426
means / half / middle,41311
[UNTRANSLATED] io,41291
madness,41264
[UNTRANSLATED] juro,41257
prison,41250
[UNTRANSLATED] encontró,41202
[UNTRANSLATED] viendo,41186
service,41053
parís / paris,41040
previous / anterior,41035
moment,40956
write,40871
[UNTRANSLATED] prometo,40861
[UNTRANSLATED] pidió,40855
antonio,40828
life,40808
miles,40806
bar,40762
[UNTRANSLATED] querías,40682
[UNTRANSLATED] trabaja,40659
window,40577
[UNTRANSLATED] permite,40553
politician / political,40533
memory,40515
animal,40462
illness,40400
[UNTRANSLATED] quedó,40360
few,40336
[UNTRANSLATED] ten,40319
america,40275
hell,40258
fur / leather / skin,40254
double,40140
hot,40079
community,40054
change,40052
[UNTRANSLATED] saberlo,40017
flores,39993
[UNTRANSLATED] tendremos,39981
funny,39973
count / explain,39907
[UNTRANSLATED] larga,39863
[UNTRANSLATED] vayas,39835
guard / policeman,39820
[UNTRANSLATED] creía,39775
visit,39773
return,39772
below / underneath,39744
[UNTRANSLATED] podrá,39718
natural,39716
immediately,39710
theatre,39692
treat,39683
hear,39621
world-wide,39616
risk,39607
read,39583
intelligent,39552
opinion / look / looklike,39535
nine,39530
back,39528
[UNTRANSLATED] estuviera,39511
operation,39496
colonel,39459
mate,39443
[UNTRANSLATED] tuya,39439
[UNTRANSLATED] doy,39424
summer,39383
wonderful,39329
law / right,39328
idea,39298
esperanza / hope,39296
inside,39265
[UNTRANSLATED] sucedió,39256
[UNTRANSLATED] vine,39244
fact,39207
dance,39176
france,39150
[UNTRANSLATED] creen,39149
blanca,39141
blow / hit / knock,39121
education,39106
[UNTRANSLATED] empezó,39067
[UNTRANSLATED] tendré,39060
brother / sister,39056
ask,39028
santo / saint,38944
dale,38932
flame / llama,38899
drink,38861
[UNTRANSLATED] viva,38802
peter,38760
pleasant,38693
[UNTRANSLATED] hicimos,38617
julio / july,38610
domingo / sunday,38593
apology,38585
island,38568
blue,38458
[UNTRANSLATED] pregunto,38421
excellent,38405
complete,38401
paul,38358
victoria / victory,38283
work,38219
speak,38193
measure,38171
[UNTRANSLATED] hazlo,38133
[UNTRANSLATED] alegro,38121
[UNTRANSLATED] deje,38101
return / homecoming,38057
[UNTRANSLATED] trae,38050
note,38031
full,38004
important,37941
early,37889
upper,37885
home,37860
miren,37822
planet,37814
vera / edge,37715
current,37694
production,37688
only,37686
culture,37640
unit,37608
reason / motive / motif,37561
capital / main,37556
beautiful,37537
season / station,37439
band,37376
commission,37368
[UNTRANSLATED] dando,37363
way,37296
beer,37224
save,37216
stock exchange,37209
spirit,37197
confidence / trust,37142
[UNTRANSLATED] necesitan,37108
[UNTRANSLATED] hablo,37063
pressure,37027
volume,37008
client / customer,36869
open,36866
how many / how much,36855
dream / sleep,36818
to go,36800
red,36792
patient / ill / ailing,36777
london,36761
heat / warmth,36747
crisis,36735
estrella / star,36729
eye,36599
writing,36581
couple,36558
newspaper / daily,36553
beautiful / cute,36540
order,36518
weight,36473
importance,36416
net / network,36400
[UNTRANSLATED] hablamos,36384
act,36368
that,36324
[UNTRANSLATED] d,36242
card / letter / menu,36241
max,36232
[UNTRANSLATED] acaso,36211
group,36200
dangerous,36177
[UNTRANSLATED] vuelva,36122
subject,36029
name,35947
vera / edge,35880
smart / ready,35879
[UNTRANSLATED] solía,35807
arm,35800
to have/possess,35790
clue / track,35784
area,35755
sergeant,35732
linda,35701
[UNTRANSLATED] empieza,35677
activity,35675
james,35666
organisation,35649
calm,35639
small,35607
peseta,35601
except,35573
[UNTRANSLATED] b,35539
his,35532
tea,35517
[UNTRANSLATED] ganas,35469
quarrel / fight,35468
dine,35428
capacity,35420
popular,35368
enormous,35350
[UNTRANSLATED] teníamos,35272
purpose,35260
bonita,35252
[UNTRANSLATED] puedas,35242
lee,35241
neck / collar,35216
arm,35160
[UNTRANSLATED] sabías,35156
look / gaze,35146
[UNTRANSLATED] daré,35142
obtain,35136
reason/motive,35120
key,35092
population,35078
cup / glass / top,35003
[UNTRANSLATED] ayudarte,34974
remember / remind,34810
[UNTRANSLATED] quise,34787
model,34746
rico / rich,34740
rule,34728
learn,34717
manager / responsible / accountable,34685
quality,34640
faith,34633
venue / local,34631
beleft / remain / stay,34569
[UNTRANSLATED] española,34513
milk,34506
company,34453
english,34424
[UNTRANSLATED] quedan,34410
leg,34402
fuck,34391
professional,34365
sector,34334
commander,34328
coast,34307
[UNTRANSLATED] pública,34235
news,34183
[UNTRANSLATED] harás,34178
stop,34143
ben,34134
bread,34096
any / some,34029
distance,33999
[UNTRANSLATED] humana,33968
place,33912
resource,33878
studio / study,33863
definitively,33854
public prosecutor / fiscal,33845
[UNTRANSLATED] corre,33811
[UNTRANSLATED] podamos,33781
soldier,33756
[UNTRANSLATED] veremos,33747
[UNTRANSLATED] necesitaba,33740
[UNTRANSLATED] veré,33728
shoe,33689
mistaken,33677
[UNTRANSLATED] veamos,33636
action,33571
familiar,33520
[UNTRANSLATED] perra,33483
[UNTRANSLATED] comenzó,33482
plan,33477
