count,spanish,pos,flags,usage,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
65961,respecto,n,,65919:respecto|42:respectos,spanish,respecto,respecto,respecto,respecto,[UNTRANSLATED] respecto,FALSE,untranslated
65847,the,none,NOUSAGE,65847:the,spanish,the,the,the,the,[UNTRANSLATED] the,FALSE,untranslated
63902,pelo,n,,57970:pelo|5932:pelos,spanish,pelo,pelo,pelo,pelo,[UNTRANSLATED] pelo,FALSE,untranslated
60636,srta.,none,NOUSAGE,60636:srta.,spanish,srta.,srta,srta,srta,[UNTRANSLATED] srta,FALSE,untranslated
58265,averiguar,v,,24936:averiguar|7224:averiguarlo|4011:averigua|2614:averiguado|1888:averigüe|1675:averiguaremos|1646:averiguó|1558:averiguaré|1369:averiguaste|1155:averigüé|1087:averigüemos|1086:averiguamos|725:averiguando|708:averigüen|653:averígualo|652:averigües|596:averiguo|568:averiguas|453:averiguaron|401:averigüémoslo|400:averiguarás|371:averiguará|360:averiguara|354:averiguan|191:averiguaría|182:averiguarán|179:averiguad|124:averiguaras|106:averígüelo|102:averiguaba|79:averiguase|68:averiguare|66:averiguándolo|60:averigualo|55:averiguaran|51:averígüenlo|43:averiguarla|43:averiguarías|36:averiguaríamos|31:averiguáis|30:averigüéis|29:averiguarse|28:averiguáramos|25:averiguarían|23:averiguaban|23:averiguadlo|23:averiguaréis|18:averiguada|18:averiguasteis|17:averiguarlas|15:averiguarme|12:averiguarlos|11:averiguásemos|11:averíguame|10:averiguasen|8:averiguá|7:averiguabas|6:averiguadas|6:averiguareis|6:averiguases|5:averíguala|4:averiguados|4:averiguarle|4:averiguarte|4:averiguaríais|4:averiguábamos|4:averiguártelo|4:averígüeme,spanish,averiguar,averiguar,averiguar,averiguar,[UNTRANSLATED] averiguar,FALSE,untranslated
56143,uh,interj,,56143:uh,spanish,uh,uh,uh,uh,[UNTRANSLATED] uh,FALSE,untranslated
54450,haz,n,,54450:haz,spanish,haz,haz,haz,haz,[UNTRANSLATED] haz,FALSE,untranslated
52011,enterar,v,,8312:enterado|7288:enteré|5469:enteró|4517:entere|3810:enterarse|2990:enterar|2524:enterarme|2064:enteraste|1593:enteramos|1420:enteran|1308:enteraron|1194:enterara|1154:enteren|1151:enterará|684:enterada|550:enterarte|492:enterados|484:enterarnos|468:entérate|463:enteraría|389:enteraba|371:enterarán|364:enteres|339:enterase|292:enteraran|270:enterarás|264:enterando|233:enteraré|213:enteraras|163:entérese|145:enteraremos|102:enteraban|87:enteremos|76:enterándose|74:enterarían|68:enterarías|58:enterasen|56:enteradas|54:entérense|51:enterabas|47:enteráis|34:enteraríamos|33:enterases|33:enteráramos|31:enterándome|29:enteraos|26:enteraros|24:enterábamos|16:enterásemos|16:enteréis|15:enterasteis|15:enterate|11:enteraréis|10:enterás|9:enterales|9:enterarlo|8:enterarais|8:enterare|8:enterándote|7:enterándonos|5:enterá|5:enterémonos|4:enterareis|4:enterarlos,spanish,enterar,enterar,enterar,enterar,[UNTRANSLATED] enterar,FALSE,untranslated
51720,m,letter,,51720:m,spanish,m,m,m,m,[UNTRANSLATED] m,FALSE,untranslated
51297,besar,v,,7068:besar|3639:bésame|3590:besa|3549:besó|2712:besado|2641:besarte|2466:besando|2423:besarme|2166:besé|1841:besaste|1727:besamos|1411:besas|1364:besarla|1184:bese|1102:besan|933:besaba|858:besarse|735:besarnos|700:besándose|646:besarlo|642:beses|585:besarle|545:besaron|507:besara|473:besaré|422:besaría|416:bésala|398:besen|296:besándonos|277:besaban|253:besame|236:bésalo|197:besándome|194:besada|181:besándola|180:besará|162:besaras|155:besarás|147:besándote|143:besabas|139:béseme|134:bésale|126:besándole|123:besemos|106:besábamos|91:besarlos|85:besaremos|84:besaros|82:besarías|79:besaran|78:besándolo|77:bésense|74:besémonos|57:besarlas|55:besaos|53:besáis|52:besarán|52:besasteis|38:besáramos|37:bésenme|35:besados|35:besase|34:besad|34:besare|32:besala|32:besarles|31:besarían|29:besadme|28:besándoos|25:besaríamos|19:besalo|17:besadas|16:bésela|15:bésate|14:béselo|12:beséis|12:bésalos|9:besársela|8:besadla|8:besases|8:bésalas|7:besabais|7:besándoles|7:besás|6:besándolas|6:besásemos|5:besale|4:besármelo|4:besárselos|4:bésamelo|4:bésanos|4:bésenla,spanish,besar,besar,besar,besar,[UNTRANSLATED] besar,FALSE,untranslated
47207,culo,n,,44420:culo|2787:culos,spanish,culo,culo,culo,culo,[UNTRANSLATED] culo,FALSE,untranslated
46480,carajo,n,,43273:carajo|3207:carajos,spanish,carajo,carajo,carajo,carajo,[UNTRANSLATED] carajo,FALSE,untranslated
45392,c,letter,,45392:c,spanish,c,c,c,c,[UNTRANSLATED] c,FALSE,untranslated
44444,tuya,n,,39439:tuya|5005:tuyas,spanish,tuya,tuya,tuya,tuya,[UNTRANSLATED] tuya,FALSE,untranslated
43823,San,adj,,42849:santa|974:santas,spanish,San,san,san,san,[UNTRANSLATED] san,FALSE,untranslated
42572,ciento,num,,42572:ciento,spanish,ciento,ciento,ciento,ciento,[UNTRANSLATED] ciento,FALSE,untranslated
41291,io,none,NOUSAGE,41291:io,spanish,io,io,io,io,[UNTRANSLATED] io,FALSE,untranslated
39064,roto,adj,,23767:roto|8187:rota|4240:rotos|2870:rotas,spanish,roto,roto,roto,roto,[UNTRANSLATED] roto,FALSE,untranslated
36242,d,letter,,36242:d,spanish,d,d,d,d,[UNTRANSLATED] d,FALSE,untranslated
36211,acaso,adv,,36211:acaso,spanish,acaso,acaso,acaso,acaso,[UNTRANSLATED] acaso,FALSE,untranslated
35916,toque,n,,19581:toque|16335:toques,spanish,toque,toque,toque,toque,[UNTRANSLATED] toque,FALSE,untranslated
35539,b,letter,,35539:b,spanish,b,b,b,b,[UNTRANSLATED] b,FALSE,untranslated
35469,gana,n,,35469:ganas,spanish,gana,gana,gana,gana,[UNTRANSLATED] gana,FALSE,untranslated
33603,mudar,v,,4009:mudó|3087:mudarse|2832:mudar|2677:mudarme|2472:mudamos|2142:mudado|2109:mudé|1846:mudarnos|1839:mudarte|1182:mudaron|1169:mude|1036:mudando|877:mudaste|633:mudaré|562:mudara|545:mudaremos|492:mudan|369:mudes|353:mudará|307:múdate|242:mudemos|238:mudarás|220:mudaras|216:mudaría|212:mudaba|200:mudándose|148:muden|137:mudarán|118:mudáramos|117:mudaran|94:mudarías|79:mudémonos|77:mudábamos|75:mudándome|74:mudaban|71:mudándote|70:mudase|63:mudándonos|62:mudaríamos|53:mudabas|51:mudaros|48:mudáis|38:mudada|35:mudarían|33:múdense|32:mudarlo|30:mudare|26:mudate|22:mudarla|22:múdese|21:mudados|19:mudases|18:mudasteis|17:mudéis|12:mudarlos|12:mudásemos|11:mudarais|9:mudás|7:mudaréis|6:mudadas|6:mudarle|6:mudasen|5:mudá|5:mudándola|4:mudabais|4:mudaseis,spanish,mudar,mudar,mudar,mudar,[UNTRANSLATED] mudar,FALSE,untranslated
32312,vos,pron,,31832:vos|464:vo|16:vós,spanish,vos,vos,vos,vos,[UNTRANSLATED] vos,FALSE,untranslated
31841,imbécil,adj,,27178:imbécil|4663:imbéciles,spanish,imbécil,imbécil,imbécil,imbécil,[UNTRANSLATED] imbécil,FALSE,untranslated
31210,largar,v,,11815:lárgate|2021:larguémonos|1440:lárguense|1422:largó|1231:lárguese|1125:largarnos|1048:largarse|998:largarme|952:largamos|921:largado|902:largarte|881:largaos|703:largar|671:largate|645:largue|623:largues|370:largué|360:largan|327:largaron|276:larguen|230:largara|212:largaste|185:largaros|182:largaré|162:largando|159:largaba|152:larguemos|146:largaremos|123:largaras|107:largaría|102:largará|61:larguéis|60:largáis|56:largarás|52:lárgalo|50:largaran|41:largá|36:largarlo|36:largase|33:largaban|33:largarán|30:largándose|24:largándote|19:largáramos|16:largarías|12:largare|12:largándome|11:largad|11:largarle|9:largarla|9:lárgala|8:largabas|8:largábamos|8:largás|8:lárgame|7:largarais|6:largalo|6:largarlos|6:largaríamos|6:largarían|6:largases|6:largándonos|6:lárguelo|6:lárgueme|5:largaréis|4:largala|4:largasteis|4:largásemos|4:lárguenlo,spanish,largar,largar,largar,largar,[UNTRANSLATED] largar,FALSE,untranslated
30954,repente,n,,30948:repente|6:repentes,spanish,repente,repente,repente,repente,[UNTRANSLATED] repente,FALSE,untranslated
30610,vacación,n,,30308:vacaciones|302:vacación,spanish,vacación,vacación,vacación,vacación,[UNTRANSLATED] vacación,FALSE,untranslated
30318,ojalá,adv,,30318:ojalá,spanish,ojalá,ojalá,ojalá,ojalá,[UNTRANSLATED] ojalá,FALSE,untranslated
29776,t,n,,29776:t,spanish,t,t,t,t,[UNTRANSLATED] t,FALSE,untranslated
29420,you,none,NOUSAGE,29420:you,spanish,you,you,you,you,[UNTRANSLATED] you,FALSE,untranslated
29351,lastimar,v,,4124:lastimar|2725:lastima|2502:lastimarte|2434:lastimó|1525:lastimes|1496:lastimé|1396:lastime|1305:lastimaste|1231:lastimando|938:lastimen|861:lastimaría|857:lastimas|855:lastimarme|731:lastimarla|697:lastimarlo|588:lastimará|557:lastimaron|550:lastiman|459:lastimaré|457:lastimo|372:lastimarse|328:lastimara|297:lastimarlos|243:lastimarás|235:lastimarnos|203:lastimarán|159:lastimamos|143:lastimaba|136:lastimaremos|123:lastimaran|97:lastimarías|93:lastimaras|70:lastimarían|64:lastimándome|49:lastimarlas|48:lastimándote|47:lastimaban|45:lastimarle|41:lastímame|30:lastimare|28:lastimándola|27:lastimemos|26:lastimándose|22:lastimaríamos|18:lastimase|16:lastimándolo|13:lastímalo|12:lastimabas|10:lastimándolos|8:lastimarles|8:lastimás|8:lastiméis|7:lastimándonos|7:lastímala|6:lastimaros|6:lastimasen|5:lastimábamos|5:lastímalos|4:lastimame|4:lastímate,spanish,lastimar,lastimar,lastimar,lastimar,[UNTRANSLATED] lastimar,FALSE,untranslated
28591,IA,n,,28591:ia,spanish,IA,ia,ia,ia,[UNTRANSLATED] ia,FALSE,untranslated
28252,n,letter,,28252:n,spanish,n,n,n,n,[UNTRANSLATED] n,FALSE,untranslated
27012,meta,n,,15413:meta|11599:metas,spanish,meta,meta,meta,meta,[UNTRANSLATED] meta,FALSE,untranslated
25063,um,none,NOUSAGE,25063:um,spanish,um,um,um,um,[UNTRANSLATED] um,FALSE,untranslated
23883,puto,n,,19816:puto|4067:putos,spanish,puto,puto,puto,puto,[UNTRANSLATED] puto,FALSE,untranslated
23670,extrañar,v,,4914:extrañar|3613:extrañé|1673:extrañado|1625:extrañaba|1604:extrañaré|1187:extrañamos|1007:extrañaría|958:extrañaste|865:extrañe|811:extrañó|569:extrañarte|509:extrañan|466:extrañaremos|443:extrañará|305:extrañando|266:extrañada|263:extrañarás|248:extrañarlo|204:extrañaron|192:extrañabas|171:extrañes|159:extrañarse|153:extrañados|148:extrañarla|148:extrañarme|146:extrañare|112:extrañarán|94:extrañarnos|83:extrañarlos|73:extrañarías|71:extrañaban|71:extrañara|66:extrañaras|57:extrañen|46:extrañándote|42:extrañábamos|37:extrañarían|36:extrañarle|28:extrañaran|26:extrañás|22:extrañarlas|21:extrañadas|18:extrañemos|15:extrañaríamos|15:extrañándola|15:extráñame|13:extrañándome|11:extrañarles|11:extrañándose|11:extrañéis|9:extrañándolo|8:extrañase|8:extrañáis|4:extrañándonos,spanish,extrañar,extrañar,extrañar,extrañar,[UNTRANSLATED] extrañar,FALSE,untranslated
23054,profundar,v,,23054:profundo,spanish,profundar,profundar,profundar,profundar,[UNTRANSLATED] profundar,FALSE,untranslated
22855,detente,n,,22851:detente|4:detentes,spanish,detente,detente,detente,detente,[UNTRANSLATED] detente,FALSE,untranslated
22816,and,none,NOUSAGE,22816:and,spanish,and,and,and,and,[UNTRANSLATED] and,FALSE,untranslated
22482,señoría,n,,22128:señoría|354:señorías,spanish,señoría,señoría,señoría,señoría,[UNTRANSLATED] señoría,FALSE,untranslated
22426,papi,n,,22205:papi|221:papis,spanish,papi,papi,papi,papi,[UNTRANSLATED] papi,FALSE,untranslated
22193,enamorar,v,,3240:enamoré|2463:enamoró|2023:enamorarse|1582:enamora|1577:enamorarme|1025:enamorando|978:enamoraste|971:enamore|887:enamorar|806:enamoran|766:enamoramos|738:enamorarte|626:enamoro|602:enamoras|461:enamoraron|435:enamores|332:enamorara|292:enamoraría|213:enamorarnos|205:enamorará|175:enamoraba|164:enamorándome|155:enamorándose|146:enamoren|139:enamorarás|135:enamoraré|113:enamoraras|108:enamórate|88:enamorate|71:enamoraban|70:enamorándote|68:enamorase|52:enamorarán|45:enamorarías|42:enamorarla|42:enamorémonos|33:enamoraran|32:enamoremos|26:enamórame|24:enamorasteis|22:enamorarían|21:enamoraremos|20:enamorabas|19:enamorases|19:enamorándonos|15:enamorarlo|14:enamoraros|14:enamoráramos|12:enamoraríamos|10:enamorare|9:enamorarle|9:enamoráis|8:enamorábamos|8:enamórese|7:enamoraos|6:enamorás|6:enamorásemos|6:enamórense|5:enamorad|5:enamorasen|4:enamoréis|4:enamórala,spanish,enamorar,enamorar,enamorar,enamorar,[UNTRANSLATED] enamorar,FALSE,untranslated
21612,presionar,v,,3577:presionar|2706:presionando|2645:presiona|1784:presionado|1345:presione|903:presionó|670:presionas|653:presionan|623:presioné|518:presiono|516:presionarte|412:presionarme|388:presionada|385:presionados|374:presionarlo|323:presionen|322:presionaron|313:presionaba|303:presionamos|250:presionaste|239:presionarla|186:presionaré|172:presionarle|162:presionándome|152:presiónalo|127:presionaban|125:presionarlos|119:presionará|99:presionara|91:presionaría|83:presionándolo|74:presionaremos|70:presionarán|70:presionemos|67:presionadas|58:presionarnos|57:presionándote|50:presionándola|47:presionándole|47:presiónala|43:presionaran|33:presionaras|33:presionarles|29:presionándolos|29:presiónelo|28:presionándonos|24:presionarlas|23:presionarse|20:presionabas|20:presionalo|20:presiónale|17:presionad|16:presionarás|15:presiónalos|14:presionase|14:presionábamos|14:presionáis|13:presionáramos|12:presionarías|11:presionarían|10:presionare|9:presionéis|9:presióname|8:presioname|8:presionaros|8:presiónenlo|6:presionándose|6:presiónenlos|5:presionándolas|5:presionándoles|5:presiónelos,spanish,presionar,presionar,presionar,presionar,[UNTRANSLATED] presionar,FALSE,untranslated
21475,in,none,NOUSAGE,21475:in,spanish,in,in,in,in,[UNTRANSLATED] in,FALSE,untranslated
21405,lucir,v,,9141:luce|2751:lucir|2047:lucen|1152:luzco|1015:luciendo|624:luzca|555:lució|453:lucila|446:lucían|347:lucirse|327:lucirá|235:luciría|193:luzcas|192:luciste|178:luzcan|159:luciera|158:lucieron|147:lucimos|128:lucirte|125:lucías|100:lucirás|90:lucirme|74:lucirlo|74:lúcete|65:lucirán|62:lucile|60:luciré|59:lucí|48:lucirías|46:lucieran|39:luciéndose|29:lucirla|27:lucirían|27:lúcelo|25:lucirnos|22:lucirlas|22:lucíamos|18:luciremos|17:lucirlos|16:luciéndote|16:lucís|15:luzcamos|14:luciéndome|13:lucieras|11:luciese|11:luciríamos|9:lucilo|7:lucid|6:luciesen|6:lúzcanse|4:luciéramos,spanish,lucir,lucir,lucir,lucir,[UNTRANSLATED] lucir,FALSE,untranslated
21280,cabrón,n,,15678:cabrón|4620:cabrones|868:cabrona|114:cabronas,spanish,cabrón,cabrón,cabrón,cabrón,[UNTRANSLATED] cabrón,FALSE,untranslated
20750,gira,n,,19054:gira|1696:giras,spanish,gira,gira,gira,gira,[UNTRANSLATED] gira,FALSE,untranslated
20506,rica,n,,17228:rica|3278:ricas,spanish,rica,rica,rica,rica,[UNTRANSLATED] rica,FALSE,untranslated
20340,apurar,v,,8656:apúrate|2436:apúrense|959:apurate|934:apúrese|917:apurarnos|790:apures|754:apurar|548:apura|510:apurarse|423:apurarte|331:apurando|308:apuras|302:apurarme|295:apuró|281:apurémonos|280:apuren|262:apuramos|209:apurense|180:apuran|103:apuremos|91:apuré|84:apuraba|71:apurarlo|61:apuraron|59:apuraré|43:apurara|35:apurad|35:apurarla|35:apúrale|34:apuraban|31:apuraría|28:apuraos|25:apurarlos|22:apuraste|19:apuraras|17:apurándome|15:apúrenle|14:apurándose|13:apurará|12:apuraremos|12:apurase|12:apúralo|8:apuraran|8:apurarán|8:apurándote|8:apuráramos|7:apurábamos|7:apurándonos|7:apurás|6:apurarlas|6:apúrele|5:apurarle|5:apurá|5:apuráis|5:apuréis|5:apúralos|4:apurarás,spanish,apurar,apurar,apurar,apurar,[UNTRANSLATED] apurar,FALSE,untranslated
20235,EI,prop,,20235:ei,spanish,EI,ei,ei,ei,[UNTRANSLATED] ei,FALSE,untranslated
20169,ciento,n,DUPLICATE,20169:cientos,spanish,ciento,ciento,ciento,ciento,[UNTRANSLATED] ciento,FALSE,untranslated
19790,of,none,NOUSAGE,19790:of,spanish,of,of,of,of,[UNTRANSLATED] of,FALSE,untranslated
19432,pillar,v,,4602:pillado|2484:pillar|1387:pilló|1376:pillé|1331:pilla|1005:pillaron|990:pillan|725:pillamos|647:pille|481:pillen|460:pillaste|264:pillarle|251:pillando|246:pillarte|246:pillaré|229:pillarlo|200:pillarme|187:pillaremos|178:pillaran|161:pillados|155:pillarán|147:pillara|136:pillaba|129:pilláis|123:pillemos|122:pillará|108:pillarla|96:pillarnos|96:pilles|84:pillarás|79:pillarlos|57:pillaban|54:pillaría|53:pillarles|43:píllalo|42:pillaras|38:pillarían|36:pillasteis|34:pillarse|32:píllate|26:pillad|26:pillasen|25:pillaros|24:pillarías|24:pillase|24:píllame|18:pilláramos|14:pillarlas|14:píllala|13:pillábamos|12:pillabas|12:pilléis|11:pillándole|11:píllale|9:pillaréis|9:pillándolo|8:pillare|8:pillándote|5:píllalas|5:píllalos|4:pilladle|4:pilladlo|4:pillaos|4:pillaríamos|4:pillate,spanish,pillar,pillar,pillar,pillar,[UNTRANSLATED] pillar,FALSE,untranslated
19265,r,letter,,19265:r,spanish,r,r,r,r,[UNTRANSLATED] r,FALSE,untranslated
19135,puesta,n,,15443:puesta|3692:puestas,spanish,puesta,puesta,puesta,puesta,[UNTRANSLATED] puesta,FALSE,untranslated
18789,dicho,adj,,14447:dicha|4342:dichas,spanish,dicho,dicho,dicho,dicho,[UNTRANSLATED] dicho,FALSE,untranslated
18696,mr,none,NOUSAGE,18696:mr,spanish,mr,mr,mr,mr,[UNTRANSLATED] mr,FALSE,untranslated
18405,j,letter,,18405:j,spanish,j,j,j,j,[UNTRANSLATED] j,FALSE,untranslated
18283,Gutierre,prop,,18229:walter|54:gutierre,spanish,Gutierre,gutierre,gutierre,gutierre,[UNTRANSLATED] gutierre,FALSE,untranslated
18145,guarda,n,,14932:guarda|3213:guardas,spanish,guarda,guarda,guarda,guarda,[UNTRANSLATED] guarda,FALSE,untranslated
18113,lío,n,,13911:lío|4202:líos,spanish,lío,lío,lío,lío,[UNTRANSLATED] lío,FALSE,untranslated
17793,new,none,NOUSAGE,17793:new,spanish,new,new,new,new,[UNTRANSLATED] new,FALSE,untranslated
17309,bordo,n,,17292:bordo|17:bordos,spanish,bordo,bordo,bordo,bordo,[UNTRANSLATED] bordo,FALSE,untranslated
17093,obstante,adj,,17093:obstante,spanish,obstante,obstante,obstante,obstante,[UNTRANSLATED] obstante,FALSE,untranslated
16981,filme,n,,6959:film|5613:filme|2353:filmes|2056:films,spanish,filme,filme,filme,filme,[UNTRANSLATED] filme,FALSE,untranslated
16854,arrepentirse,v,,3104:arrepiento|1891:arrepentirás|1175:arrepentir|1145:arrepientes|901:arrepentirse|884:arrepiente|826:arrepentirá|713:arrepienta|704:arrepentida|617:arrepentirme|527:arrepintió|501:arrepentirte|470:arrepientas|368:arrepentiré|363:arrepentí|248:arrepintiendo|235:arrepentirán|220:arrepiéntete|176:arrepienten|174:arrepentiría|166:arrepentía|163:arrepentimos|115:arrepentirnos|99:arrepentíos|92:arrepentiste|91:arrepentiréis|88:arrepiéntanse|87:arrepientan|69:arrepentiremos|67:arrepentirías|66:arrepintiéndose|58:arrepintieron|54:arrepintiera|51:arrepintamos|41:arrepintiéndote|39:arrepentidas|39:arrepintiéndome|35:arrepiéntase|25:arrepentís|24:arrepintieras|22:arrepentiros|20:arrepentías|19:arrepintáis|16:arrepentirían|14:arrepentiríamos|12:arrepintiese|11:arrepintieran|9:arrepentían|6:arrepintiéndonos|5:arrepintieses|5:arrepintiéramos|4:arrepintámonos,spanish,arrepentirse,arrepentirse,arrepentirse,arrepentirse,[UNTRANSLATED] arrepentirse,FALSE,untranslated
16763,suicidar,v,,5059:suicidó|3643:suicidarse|1439:suicidado|1352:suicidarme|861:suicidarte|693:suicidar|535:suicido|396:suicide|336:suicidaría|329:suicidaron|327:suicidara|289:suicidan|225:suicidaré|167:suicidándose|108:suicidará|94:suicides|94:suicidé|86:suicidando|86:suicidarnos|83:suicídate|72:suicidaba|58:suicidaste|48:suicidase|45:suiciden|32:suicidaran|28:suicidarás|28:suicidándome|27:suicidaras|26:suicidaban|26:suicidarías|21:suicidamos|18:suicidándote|16:suicidarían|15:suicidada|14:suicidados|14:suicidarán|13:suicidare|12:suicidaremos|11:suicidaros|10:suicidate|10:suicidemos|5:suicidémonos|4:suicidaríamos|4:suicidáramos|4:suicídese,spanish,suicidar,suicidar,suicidar,suicidar,[UNTRANSLATED] suicidar,FALSE,untranslated
16520,pete,n,,16504:pete|16:petes,spanish,pete,pete,pete,pete,[UNTRANSLATED] pete,FALSE,untranslated
16416,wow,interj,,16416:wow,spanish,wow,wow,wow,wow,[UNTRANSLATED] wow,FALSE,untranslated
16329,ingresar,v,,4357:ingresar|2486:ingresó|1824:ingresado|1151:ingresa|923:ingresaron|624:ingresan|608:ingrese|490:ingresados|485:ingresada|450:ingresé|436:ingresando|297:ingresen|200:ingresará|178:ingresaba|166:ingresamos|143:ingresarla|141:ingresadas|138:ingresara|133:ingresarán|117:ingresaste|115:ingresarlo|106:ingresaré|100:ingresas|95:ingresaban|69:ingresaría|67:ingresaran|57:ingresarle|55:ingreses|53:ingresarte|44:ingresaremos|35:ingresarme|21:ingresarás|21:ingresarían|20:ingresemos|18:ingrésalo|17:ingresarlos|15:ingresaras|14:ingresarse|13:ingresase|9:ingrésala|7:ingresarías|6:ingresáramos|6:ingrésale|6:ingréselo|5:ingrésalos|4:ingresabas|4:ingresarlas,spanish,ingresar,ingresar,ingresar,ingresar,[UNTRANSLATED] ingresar,FALSE,untranslated
16236,poquito,adj,,15899:poquito|164:poquita|127:poquitos|46:poquitas,spanish,poquito,poquito,poquito,poquito,[UNTRANSLATED] poquito,FALSE,untranslated
15847,sir,none,NOUSAGE,15847:sir,spanish,sir,sir,sir,sir,[UNTRANSLATED] sir,FALSE,untranslated
15709,matt,none,NOUSAGE,15709:matt,spanish,matt,matt,matt,matt,[UNTRANSLATED] matt,FALSE,untranslated
15610,it,none,NOUSAGE,15610:it,spanish,it,it,it,it,[UNTRANSLATED] it,FALSE,untranslated
