lemma,rank,translation,english_definition,original_lemma,pos
gran,171,big; large,adjective,grande,adj
lugar,172,place,noun,lugar,n
hablar,173,to talk,verb,hablar,v
tener,174,to have,verb,tener,v
tenía,175,had,third person singular imperfect of tener,tener,v
tres,176,three,numeral,tres,num
nuevo,177,new,adjective,nuevo,adj
pasa,178,raisin,verb,pasar,v
vas,179,you go,verb,ir,v
cada,180,each,determiner,cada,determiner
claro,181,clear; easily understood,adjective,claro,adj
dinero,182,money,noun,dinero,n
madre,183,mother,noun,padre,n
mañana,184,tomorrow,noun,mañana,n
sr.,185,abbreviation of Señor,,sr.,none
tipo,186,dolled up; smartened up; dressed for a special occasion,noun,tipo,n
hoy,187,today,adverb,hoy,adv
días,188,days,noun,día,n
luego,189,therefore,adverb,luego,adv
allí,190,there,adverb,allí,adv
mujer,191,woman,noun,mujer,n
nuestro,192,ours,possessive determiner,nuestro,determiner
tanto,193,so much,adverb,tanto,adv
cosa,194,thing,noun,cosa,n
sabe,195,knows,verb,saber,v
todas,196,all; everyone,all or every determiner,todo,determiner
haciendo,197,to do,verb,hacer,v
hijo,198,son,noun,hijo,n
dice,199,says,verb,decir,v
seguro,200,secure,adjective,seguro,adj
podemos,201,a Spanish left wing political party,verb,poder,v
debe,202,to owe,verb,deber,v
espera,203,wait,verb,esperar,v
vale,204,a voucher,verb,valer,v
será,205,will be,third person singular future of ser,ser,v
estas,206,these,demonstrative determiner,este,determiner
toda,207,all; every,all or every determiner,todo,determiner
haber,208,have,verb,haber,v
tus,209,initialism of Tren Urbano; the metro system used in San Juan; Puerto Rico,possessive determiner,tuyo,determiner
amigo,210,friend,noun,amigo,n
nuestra,211,ours,possessive determiner,nuestro,determiner
buena,212,inheritance,adjective,bueno,adj
aún,213,still; yet,adverb,aún,adv
quien,214,who,relative pronoun,quien,pron
estos,215,these,demonstrative determiner,este,determiner
nombre,216,name,noun,nombre,n
tienen,217,to have,verb,tener,v
veces,218,by; times,noun,vez,n
mamá,219,mum; mom,noun,mamá,n
mal,220,bad; evil,adverb,mal,adv
buen,221,good,adjective,bueno,adj
durante,222,during; in; over,preposition,durante,prep
papá,223,dad,noun,papá,n
quería,224,to desire; to want; to want to,verb,querer,v
dije,225,pleasant; nice; likable,verb,decir,v
unos,226,about; approximately,determiner,uno,determiner
pasado,227,past,noun,pasado,n
forma,228,shape,noun,forma,n
gusta,229,taste,verb,gustar,v
hizo,230,to do,verb,hacer,v
caso,231,case,noun,caso,n
contra,232,against; versus,preposition,contra,prep
tarde,233,late,adverb,tarde,adv
necesito,234,to need,verb,necesitar,v
oye,235,hey! listen!,verb,oír,v
alguna,236,some; any,some or any determiner,alguno,determiner
hemos,237,we have,verb form of haber,haber,v
cuenta,238,count; tally,noun,cuenta,n
visto,239,seen,verb,ver,v
conmigo,240,with me,adverb,conmigo,adv
mientras,241,while; whilst; as,conjunction,mientras,conj
otros,242,others,other or another determiner,otro,determiner
realmente,243,really; actually; genuinely,adverb,realmente,adv
hora,244,hour,noun,hora,n
problema,245,problem; issue; challenge,noun,problema,n
crees,246,to believe,verb,creer,v
año,247,year,noun,año,n
razón,248,reason,noun,razón,n
primera,249,first gear,adjective,primero,adj
cierto,250,a certain; a specific,adjective,cierto,adj
saber,251,to know; to understand,verb,saber,v
dicho,252,said,verb,decir,v
hacerlo,253,to do,verb,hacer,v
mierda,254,shit (solid excretory product evacuated from the bowels,noun,mierda,n
pues,255,so; then,conjunction,pues,conj
idea,256,idea,noun,idea,n
mío,257,mine,determiner,mío,determiner
e,258,and,conjunction,e,conj
aunque,259,though; although; even though; albeit,conjunction,aunque,conj
familia,260,family,noun,familia,n
hacia,261,toward; towards,preposition,hacia,prep
amor,262,love,noun,amor,n
esos,263,those,demonstrative determiner,ese,determiner
pueden,264,to be able to; can,verb,poder,v
importa,265,to matter; to be important [+a],verb,importar,v
todavía,266,still; yet,adverb,todavía,adv
personas,267,person (an individual,noun,persona,n
policía,268,Civility; polity; public order; police; fineness; neatness; urbanity,noun,policía,n
casi,269,almost,adverb,casi,adv
contigo,270,with you,adverb,contigo,adv
cualquier,271,anyone; whoever; whomever,determiner,cualquiera,determiner
demasiado,272,too much; too many; excessive,adverb,demasiado,adv
ven,273,to see; to spot,verb,ver,v
serio,274,serious; earnest; sober; solemn,adjective,serio,adj
algún,275,some; any,some or any determiner,alguno,determiner
ve,276,letter: v,verb,ir,v
nueva,277,news; novelty,adjective,nuevo,adj
eh,278,hey!,,,
lado,279,side,noun,lado,n
manera,280,way,noun,manera,n
cabeza,281,head,noun,cabeza,n
hombres,282,man,noun,hombre,n
historia,283,history,noun,historia,n
dentro,284,inside,adverb,dentro,adv
sería,285,to be,verb,ser,v
salir,286,to go out; to leave; to depart; to head out,verb,salir,v
debería,287,to owe,verb,deber,v
van,288,they go,verb,ir,v
ciudad,289,city,noun,ciudad,n
ustedes,290,you,formal or neutral plural pronoun,usted,pron
muchas,291,much; a lot of,much or many determiner,mucho,determiner
poder,292,to be able to; can,noun,poder,n
algunos,293,some; any,some or any determiner,alguno,determiner
amigos,294,friend,noun,amigo,n
chica,295,female equivalent of chico: girl,noun,chico,n
mayor,296,of age,adjective,mayor,adj
sabía,297,to know; to understand,verb,saber,v
chicos,298,chic,noun,chico,n
hermano,299,brother,noun,hermano,n
esas,300,those,demonstrative determiner,ese,determiner
primer,301,first; first up,adjective,primero,adj
país,302,country,noun,país,n
vaya,303,joke,verb,ir,v
agua,304,water,noun,agua,n
misma,305,same,adjective,mismo,adj
veo,306,to see; to spot,verb,ver,v
haces,307,to do,verb,hacer,v
camino,308,way; route,noun,camino,n
persona,309,person (an individual,noun,persona,n
iba,310,was going,verb,ir,v
realidad,311,reality,noun,realidad,n
fin,312,end,noun,fin,n
importante,313,important; that cares; that matters,adjective,importante,adj
primero,314,first; first up,adjective,primero,adj
digo,315,I say,verb,decir,v
horas,316,hour,noun,hora,n
semana,317,week,noun,semana,n
puerta,318,door,noun,puerta,n
somos,319,are,first person plural present of ser,ser,v
pensé,320,to think; ponder,verb,pensar,v
bajo,321,under,preposition,bajo,prep
muerte,322,death,noun,muerte,n
problemas,323,problem; issue; challenge,noun,problema,n
punto,324,point,noun,punto,n
ah,325,ah,,,
pasó,326,dried,verb,pasar,v
quizá,327,perhaps; maybe,adverb,quizá,adv
buenas,328,hello; hi,adjective,bueno,adj
supuesto,329,supposed; self-styled; alleged,noun,supuesto,n
cuatro,330,four,numeral,cuatro,num
da,331,to give; to give out,verb,dar,v
mano,332,hand,noun,mano,n
niños,333,child; boy,noun,niño,n
volver,334,to return; to revert; to get back,verb,volver,v
además,335,in addition; moreover; furthermore; further; also; additionally,adverb,además,adv
señora,336,lady,noun,señor,n
cariño,337,affection; fondness,noun,cariño,n
ayuda,338,help; aid,noun,ayuda,n
ojos,339,eye,noun,ojo,n
cinco,340,a five,numeral,cinco,num
pasar,341,to pass; to hand; to slip,verb,pasar,v
general,342,general; overall,adjective,general,adj
pronto,343,prompt; on time,adverb,pronto,adv
debo,344,to owe,verb,deber,v
minutos,345,minute,noun,minuto,n
sino,346,but,conjunction,sino,conj
gobierno,347,government,noun,gobierno,n
manos,348,man; guy; dude,noun,mano,n
presidente,349,president,noun,presidente,n
muerto,350,dead,adjective,muerto,adj
muchos,351,several,much or many determiner,mucho,determiner
chico,352,small,noun,chico,n
guerra,353,war; warfare,noun,guerra,n
hice,354,to do,verb,hacer,v
incluso,355,enclosed; included,adverb,incluso,adv
medio,356,half,noun,medio,n
cuál,357,which; what,interrogative pronoun,cuál,pron
hablando,358,to talk,verb,hablar,v
adiós,359,farewell,noun,adiós,n
siquiera,360,if only,adverb,siquiera,adv
genial,361,genial; pleasant,adjective,genial,adj
fueron,362,were; went,third person plural preterite of ser or ir,ser,v
ello,363,it,neuter third person pronoun,ello,pron
rápido,364,rapid; quick; fast,adjective,rápido,adj
equipo,365,team,noun,equipo,n
dejar,366,to leave,verb,dejar,v
significa,367,to signify,verb,significar,v
jefe,368,chief,noun,jefe,n
millones,369,million,noun,millón,n
suerte,370,luck; fortune,noun,suerte,n
otras,371,others,other or another determiner,otro,determiner
ayer,372,yesterday,adverb,ayer,adv
cuerpo,373,body,noun,cuerpo,n
llegar,374,to arrive; get,verb,llegar,v
mujeres,375,surname,noun,mujer,n
posible,376,possible,adjective,posible,adj
según,377,according to,preposition,según,prep
nuestros,378,ours,possessive determiner,nuestro,determiner
quizás,379,maybe; perhaps,adverb,quizás,adv
tierra,380,land; ground,noun,tierra,n
único,381,only,adjective,único,adj
hija,382,daughter,noun,hijo,n
ninguna,383,no,no or not any determiner,ninguno,determiner
final,384,final,noun,final,n
cara,385,face,noun,cara,n
niño,386,child; boy,noun,niño,n
supongo,387,to presume; to expect,verb,suponer,v
juntos,388,next to; together with; alongside,adjective,junto,adj
algunas,389,some; any,some or any determiner,alguno,determiner
entiendo,390,to understand; to fathom,verb,entender,v
número,391,number,noun,número,n
ningún,392,no,no or not any determiner,ninguno,determiner
deja,393,rest,verb,dejar,v
ves,394,to see; to spot,verb,ir,v
tío,395,uncle,noun,tío,n
cerca,396,close; near; around; about; nearly; nigh,adverb,cerca,adv
corazón,397,heart,noun,corazón,n
miedo,398,fear,noun,miedo,n
buenos,399,good,adjective,bueno,adj
eran,400,were,third person plural imperfect of ser,ser,v
haya,401,have,third person singular present subjunctive of haber,haber,v
hubiera,402,had,third person singular imperfect subjunctive of haber,haber,v
feliz,403,happy; merry,adjective,feliz,adj
unas,404,one,determiner,uno,determiner
espero,405,to wait; to hold on,verb,esperar,v
igual,406,equal; same,adjective,igual,adj
viene,407,to come,verb,venir,v
meses,408,month,noun,mes,n
sigue,409,to follow,verb,seguir,v
dar,410,to give; to give out,verb,dar,v
podía,411,to be able to; can,verb,poder,v
última,412,final,adjective,último,adj
difícil,413,difficult; hard; tough; challenging; rough; tricky; trying; arduous; testing,adjective,difícil,adj
os,414,you; to you; for you,interjection,ox,interj
venir,415,to come,verb,venir,v
vi,416,to see; to spot,verb,ver,v
viejo,417,old,noun,viejo,n
bastante,418,enough,adverb,bastante,adv
tomar,419,to take,verb,tomar,v
gustaría,420,to taste; to try,verb,gustar,v
cuánto,421,how much,determiner,cuánto,determiner
encontrar,422,to meet,verb,encontrar,v
adelante,423,forward,adverb,adelante,adv
justo,424,just,adjective,justo,adj
sentido,425,deeply felt; heartfelt,noun,sentido,n
esposa,426,wife,noun,esposo,n
segundo,427,second,adjective,segundo,adj
grande,428,big; large,adjective,grande,adj
allá,429,there; over there; thither; yonder,adverb,allá,adv
clase,430,lecture,noun,clase,n
cual,431,which,relative pronoun,cual,pron
ante,432,in front of; before,preposition,ante,prep
juego,433,play,noun,juego,n
tenido,434,to have,verb,tener,v
pensar,435,to think; ponder,verb,pensar,v
pueda,436,to be able to; can,verb,poder,v
hey,437,hey!,,,
doctor,438,doctor,noun,doctor,n
grupo,439,group,noun,grupo,n
cuidado,440,answerable,noun,cuidado,n
suficiente,441,sufficient; enough,adjective,suficiente,adj
sangre,442,blood,noun,sangre,n
pequeño,443,small,adjective,pequeño,adj
dijiste,444,to say; to tell,verb,decir,v
trata,445,trafficking; trade; slave trade,verb,tratar,v
haré,446,to do,verb,hacer,v
último,447,final,adjective,último,adj
frente,448,forehead; brow,noun,frente,n
grandes,449,big; large,adjective,grande,adj
venga,450,A cheer or expression of support; encouragement; etc.,verb,venir,v
llama,451,flame,verb,llamar,v
noches,452,after dark; at night; nocturnally,noun,noche,n
toma,453,conquest; capture; taking; takeover,verb,tomar,v
necesita,454,to need,verb,necesitar,v
debes,455,to owe,verb,deber,v
arriba,456,above; over,adverb,arriba,adv
vuelta,457,turn,noun,vuelta,n
coche,458,car; automobile,noun,coche,n
tampoco,459,neither,adverb,tampoco,adv
trabajar,460,to work,verb,trabajar,v
cuándo,461,when,interrogative or exclamative adverb,cuándo,adv
fuerte,462,strong,adjective,fuerte,adj
seguridad,463,safety; security,noun,seguridad,n
mas,464,but,literary or formal variant of pero,,
entrar,465,to enter,verb,entrar,v
vivir,466,to live,verb,vivir,v
escucha,467,listening,verb,escuchar,v
déjame,468,rest,verb,dejar,v
pueblo,469,town; village,noun,pueblo,n
hijos,470,son,noun,hijo,n
joven,471,young; youthful,adjective,joven,adj
cuanto,472,whatever quantity; as much; however much,adverb,cuanto,adv
hago,473,to do,verb,hacer,v
escuela,474,school,noun,escuela,n
tras,475,after; following; in the wake of,preposition,tras,prep
cree,476,to believe,verb,creer,v
cambio,477,change; shift,noun,cambio,n
luz,478,light,noun,luz,n
oportunidad,479,opportunity; chance; shot; break; occasion; time,noun,oportunidad,n
fui,480,to be,verb,ser,v
sistema,481,system,noun,sistema,n
embargo,482,embargo,noun,embargo,n
teléfono,483,telephone,noun,teléfono,n
dices,484,to say; to tell,verb,decir,v
seis,485,six,numeral,seis,num
alto,486,tall,adjective,alto,adj
habla,487,speech,verb,hablar,v
fiesta,488,party,noun,fiesta,n
loco,489,crazy; insane; mad; nuts,noun,loco,n
atrás,490,behind,adverb,atrás,adv
debemos,491,to owe,verb,deber,v
pregunta,492,question,noun,pregunta,n
hacen,493,to do,verb,hacer,v
seguir,494,to follow,verb,seguir,v
quieren,495,to desire; to want; to want to,verb,querer,v
dio,496,to give; to give out,verb,dar,v
paso,497,dried,noun,paso,n
falta,498,lack; shortage,noun,falta,n
fácil,499,easy; facile; simple,adjective,fácil,adj
ido,500,away with the fairies,verb,ir,v
padres,501,Father,noun,padre,n
vino,502,wine,noun,vino,n
hiciste,503,to do,verb,hacer,v
estaban,504,to be,verb,estar,v
situación,505,situation; scenario; picture,noun,situación,n
abajo,506,down; downwards,adverb,abajo,adv
única,507,only,adjective,único,adj
siendo,508,to be,verb,ser,v
modo,509,way; manner,noun,modo,n
información,510,information,noun,información,n
dólares,511,dollar,noun,dólar,n
esté,512,to be,verb,estar,v
hermana,513,sister,noun,hermano,n
tuvo,514,to have,verb,tener,v
dado,515,given; considering,verb,dar,v
música,516,music,noun,música,n
paz,517,peace,noun,paz,n
culpa,518,fault,noun,culpa,n
queda,519,curfew,verb,quedar,v
real,520,real,adjective,real,adj
auto,521,car; automobile,,,
palabra,522,word,noun,palabra,n
deberías,523,to owe,verb,deber,v
sola,524,surname,adjective,solo,adj
derecho,525,straight (not crooked or bent,noun,derecho,n
lista,526,list; roll,noun,lista,n
partido,527,broken,noun,partido,n
orden,528,order,noun,orden,n
exactamente,529,exactly,adverb,exactamente,adv
nacional,530,national; nationwide,adjective,nacional,adj
listo,531,clever; smart,adjective,listo,adj
comida,532,food,noun,comida,n
necesitamos,533,to need,verb,necesitar,v
habría,534,have,verb,haber,v
libro,535,book,noun,libro,n
capitán,536,captain,noun,capitán,n
diciendo,537,to say; to tell,verb,decir,v
comer,538,to eat,verb,comer,v
sabemos,539,to know; to understand,verb,saber,v
lejos,540,far,adverb,lejos,adv
pasando,541,to pass; to hand; to slip,verb,pasar,v
morir,542,to die,verb,morir,v
haga,543,to do,verb,hacer,v
puesto,544,standing,noun,puesto,n
calle,545,street,noun,calle,n
dicen,546,to say; to tell,verb,decir,v
estabas,547,to be,verb,estar,v
par,548,even,noun,par,n
política,549,politics,noun,política,n
malo,550,bad,noun,malo,n
habitación,551,room,noun,habitación,n
probablemente,552,probably; likely,adverb,probablemente,adv
estuvo,553,to be,verb,estar,v
éste,554,this one,pronoun,éste,pron
plan,555,plan,noun,plan,n
especial,556,special,adjective,especial,adj
palabras,557,word,noun,palabra,n
pequeña,558,small,adjective,pequeño,adj
ok,559,OK,adjective,OK,adj
creer,560,to believe,verb,creer,v
relación,561,relation,noun,relación,n
chicas,562,female equivalent of chico: girl,noun,chico,n
ley,563,law,noun,ley,n
bebé,564,baby,noun,bebé,n
pensando,565,to think; ponder,verb,pensar,v
conozco,566,to know; to be familiar with; to be acquainted with,verb,conocer,v
simplemente,567,simply,adverb,simplemente,adv
acerca,568,adjacent,verb,acercar,v
diez,569,A,numeral,diez,num
esperar,570,to wait; to hold on,verb,esperar,v
través,571,bend; turn,noun,través,n
tuve,572,to have,verb,tener,v
centro,573,center,noun,centro,n
largo,574,long,adjective,largo,adj
buscando,575,to seek; search for; look for; try to find; to scour,verb,buscar,v
cama,576,bed,noun,cama,n
nuestras,577,ours,possessive determiner,nuestro,determiner
recuerdo,578,memory,noun,recuerdo,n
rey,579,king,noun,rey,n
españa,580,Spain,proper noun,España,prop
voz,581,voice,noun,voz,n
demás,582,others; other ones,pronoun,demás,pron
sra.,583,abbreviation of señora,,sra.,none
saben,584,to know; to understand,verb,saber,v
mil,585,thousand,numeral,mil,num
lleva,586,to take; to take out,verb,llevar,v
tenga,587,to have,verb,tener,v
necesitas,588,to need,verb,necesitar,v
conseguir,589,to achieve; succeed in; reach; accomplish; attain,verb,conseguir,v
amo,590,master,noun,amo,n
propia,591,own,adjective,propio,adj
propio,592,own,adjective,propio,adj
sitio,593,site; place,noun,sitio,n
resto,594,rest; remainder,noun,resto,n
oficina,595,office,noun,oficina,n
libre,596,free,adjective,libre,adj
segura,597,Segura,adjective,seguro,adj
peor,598,bad,adjective,peor,adj
estará,599,to be,verb,estar,v
poner,600,to put; to put up; to place; to lay,verb,poner,v
fuerza,601,force,noun,fuerza,n
marido,602,husband,noun,marido,n
arma,603,weapon; arm,noun,arma,n
puta,604,whore; slut; prostitute,noun,puta,n
oído,605,hearing,verb,oír,v
llevar,606,to take; to take out,verb,llevar,v
podrías,607,to be able to; can,verb,poder,v
ejemplo,608,example,noun,ejemplo,n
mucha,609,much; a lot of,much or many determiner,mucho,determiner
control,610,control; or running of a business,noun,control,n
esperando,611,to wait; to hold on,verb,esperar,v
atención,612,attention,noun,atención,n
don,613,title of respect for a man: sir,noun,don,n
fuego,614,fire,noun,fuego,n
llamado,615,called,adjective,llamado,adj
madrid,616,Madrid,proper noun,Madrid,prop
viaje,617,voyage,noun,viaje,n
dormir,618,to sleep,verb,dormir,v
cuarto,619,fourth,noun,cuarto,n
dr.,620,abbreviation of doctor,,dr.,none
siguiente,621,following,adjective,siguiente,adj
matar,622,to kill; slay,verb,matar,v
habían,623,have,verb,haber,v
hagas,624,to do,verb,hacer,v
ambos,625,both,pronoun,ambos,pron
habrá,626,have,verb,haber,v
perdido,627,lost,verb,perder,v
prueba,628,proof,noun,prueba,n
futuro,629,future,noun,futuro,n
campo,630,countryside; country,noun,campo,n
deben,631,to owe,verb,deber,v
hospital,632,hospital,noun,hospital,n
di,633,to give; to give out,verb,decir,v
ellas,634,they,pronoun,ella,pron
vivo,635,alive; living,adjective,vivo,adj
piensa,636,to think; ponder,verb,pensar,v
semanas,637,week,noun,semana,n
edad,638,age,noun,edad,n
ayudar,639,to help,verb,ayudar,v
venido,640,to come,verb,venir,v
murió,641,to die,verb,morir,v
película,642,film,noun,película,n
san,643,Saint,,,
maldita,644,cursed,adjective,maldito,adj
estados,645,country; land,noun,estado,n
niña,646,girl; female equivalent of niño,noun,niño,n
vista,647,sight; vision; eyesight,noun,vista,n
junto,648,next to; together with; alongside,adjective,junto,adj
correcto,649,correct; right,adjective,correcto,adj
llamar,650,to summon; to call,verb,llamar,v
basta,651,as long as,verb,bastar,v
john,652,john,,john,none
aire,653,air,noun,aire,n
encima,654,on top,adverb,encima,adv
cielo,655,sky,noun,cielo,n
iré,656,to go,verb,ir,v
buscar,657,to seek; search for; look for; try to find; to scour,verb,buscar,v
programa,658,programme; program,noun,programa,n
personal,659,personal,adjective,personal,adj
café,660,brown,noun,café,n
detrás,661,behind; at the rear,adverb,detrás,adv
público,662,public,adjective,público,adj
minuto,663,minute,noun,minuto,n
director,664,director,noun,director,n
llegó,665,to arrive; get,verb,llegar,v
demonios,666,the hell; on earth,noun,demonio,n
pienso,667,animal feed,verb,pensar,v
verte,668,to see; to spot,verb,ver,v
acaba,669,synonym of acabamiento,verb,acabar,v
boca,670,mouth; oral cavity,noun,boca,n
diga,671,way to say hello on the telephone,verb,decir,v
anoche,672,last night,adverb,anoche,adv
vuelve,673,to return; to revert; to get back,verb,volver,v
dirección,674,direction,noun,dirección,n
llamada,675,call,adjective,llamado,adj
ud.,676,abbreviation of usted,,ud.,none
servicio,677,service,noun,servicio,n
ésta,678,this one,pronoun,éste,pron
idiota,679,idiotic,adjective,idiota,adj
jugar,680,to play,verb,jugar,v
mala,681,female equivalent of malo,adjective,malo,adj
social,682,social,adjective,social,adj
médico,683,medical,noun,médico,n
mes,684,month,noun,mes,n
obra,685,work,noun,obra,n
asunto,686,matter; issue; business,noun,asunto,n
perder,687,to lose,verb,perder,v
dejó,688,accent,verb,dejar,v
armas,689,weapon; arm,noun,arma,n
duro,690,hard,adjective,duro,adj
