rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,participle_relation,participle_form,participle_family,participle_gender,participle_number,participle_confidence,participle_reason
2280,leído,leído,well-read,well-read (past participle masculine singular),yes,translation_changed,past_participle_detected,ído,accented_ido,masculine,singular,high,regular_ido_participle_match
2335,elegido,elegido,chosenness; selectness,chosenness; selectness (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2368,caído,caído,fallen,fallen (past participle masculine singular),yes,translation_changed,past_participle_detected,ído,accented_ido,masculine,singular,high,regular_ido_participle_match
2439,bebida,bebida,drink; beverage,drink; beverage (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
2447,rápida,rápido,fast; rapid; quick (feminine singular),fast; rapid; quick (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
2454,nacido,nacido,born; alive,born; alive (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2489,caída,caída,fall,fall (past participle feminine singular),yes,translation_changed,past_participle_detected,ída,accented_ida,feminine,singular,high,regular_ido_participle_match
2538,detenido,detenido,arrested,arrested (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2586,partida,partida,departure,departure (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
2598,heridas,herido,hurt; injured (feminine plural),hurt; injured (feminine plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
2626,vivido,vivido,living; existing,living; existing (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2718,jodido,jodido,darned; crappy; fucking,darned; crappy; fucking (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2795,perdida,perdido,lost (feminine singular),lost (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
2833,aburrido,aburrido,bored; fed up,bored; fed up (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2834,comido,comido,having had lunch; having already eaten,having had lunch; having already eaten (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2846,aprendido,aprender,learned,learned (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
2892,sucedido,suceder,happened,happened (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3106,cometido,cometido,mission,mission (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3119,desconocido,desconocido,unknown; undisclosed; unbeknownst,unknown; undisclosed; unbeknownst (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3182,conocida,conocido,known (feminine singular),known (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
3243,despedida,despedida,farewell,farewell (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
3305,unido,unido,united,united (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3326,permitido,permitir,allowed,allowed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3349,convencido,convencido,convinced,convinced (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3378,prometido,prometido,engaged,engaged (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3418,sufrido,sufrido,painstaking,painstaking (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3530,apellido,apellido,surname; last name,surname; last name (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3542,florida,florido,ornate; flowery (feminine singular),ornate; flowery (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
3550,cumplido,cumplido,polite,polite (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3556,seguida,seguido,often (feminine singular),often (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
3587,sorprendido,sorprendido,surprised,surprised (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3607,oídos,oído,hearing (masculine plural),hearing (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,ídos,accented_idos,masculine,plural,high,regular_ido_participle_match
3610,olvido,olvido,oblivion,oblivion (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3612,heridos,herido,hurt; injured (masculine plural),hurt; injured (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
3739,recorrido,recorrido,route,route (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3776,escondido,escondido,hidden,hidden (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3780,avenida,avenida,avenue,avenue (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
3879,bebidas,bebido,drunk (feminine plural),drunk (feminine plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
3891,prohibido,prohibido,forbidden; prohibited,forbidden; prohibited (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3900,producido,producido,produced,produced (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3906,cogido,cogido,taken,taken (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
3986,vestidos,vestido,dressed (masculine plural),dressed (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4022,divertida,divertido,funny; amusing; entertaining (feminine singular),funny; amusing; entertaining (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
4044,despedido,despedido,dismissed; laid off,dismissed; laid off (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4131,vendido,vendido,sellout,sellout (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4163,sida,sida,acquired immune deficiency syndrome,acquired immune deficiency syndrome (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
4187,conocidos,conocido,known (masculine plural),known (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4239,ácido,ácido,tart; sharp,tart; sharp (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4298,tejido,tejido,texture,texture (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4299,líquido,líquido,liquid,liquid (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4338,establecido,establecido,established,established (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4417,perdidos,perdido,lost (masculine plural),lost (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4426,unidas,unido,united (feminine plural),united (feminine plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
4430,dirigido,dirigido,directed,directed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4450,construido,construido,constructed,constructed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4515,queridos,querido,sweetheart (masculine plural),sweetheart (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4539,destruido,destruido,destroyed,destroyed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4551,sentidos,sentido,heartfelt; deeply felt (masculine plural),heartfelt; deeply felt (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4607,crecido,crecido,grown,grown (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4613,agradecido,agradecido,obliged; grateful; thankful; appreciative,obliged; grateful; thankful; appreciative (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4687,dirigida,dirigido,directed (feminine singular),directed (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
4711,mantenido,mantenido,kept; sustained by alimony,kept; sustained by alimony (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4750,sonidos,sonido,sound; noise (masculine plural),sound; noise (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4767,confundido,confundido,addled; confused,addled; confused (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4796,reconocido,reconocido,recognized; acknowledged,recognized; acknowledged (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4810,dormida,dormida,sleep,sleep (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
4816,servido,servir,served,served (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
4846,estúpidos,estúpido,stupid (masculine plural),stupid (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
4893,pérdidas,pérdida,loss (plural),loss (plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
4962,vestida,vestido,dressed (feminine singular),dressed (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5043,incluido,incluido,included; supplied,included; supplied (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5063,detenidos,detenido,arrested (masculine plural),arrested (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
5094,bebido,bebido,drunk,drunk (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5101,creído,creído,arrogant; conceited; big-headed; stuck up,arrogant; conceited; big-headed; stuck up (past participle masculine singular),yes,translation_changed,past_participle_detected,ído,accented_ido,masculine,singular,high,regular_ido_participle_match
5142,vencido,vencido,beaten; defeated,beaten; defeated (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5144,comidas,comido,having had lunch; having already eaten (feminine plural),having had lunch; having already eaten (feminine plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
5172,reducido,reducido,reduced,reduced (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5238,prometida,prometida,fiancée,fiancée (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5257,aburrida,aburrido,bored; fed up (feminine singular),bored; fed up (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5270,traducido,traducido,translated,translated (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5446,jodida,jodido,darned; crappy; fucking (feminine singular),darned; crappy; fucking (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5488,mentido,mentido,fake; false,fake; false (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5515,comprometido,comprometido,committed,committed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5546,obtenido,obtener,obtained,obtained (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5557,unida,unido,united (feminine singular),united (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5565,desconocida,desconocido,unknown; undisclosed; unbeknownst (feminine singular),unknown; undisclosed; unbeknownst (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5614,ida,ida,outward leg,outward leg (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
5635,encendido,encendido,on; activated,on; activated (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5639,subido,subido,striking,striking (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5651,ofrecido,ofrecido,easy,easy (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5783,contenidos,contenido,content (masculine plural),content (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
5794,nido,nido,nest,nest (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5861,aparecido,aparecido,appeared,appeared (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5891,preferido,preferido,preferred; of choice,preferred; of choice (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
5898,ruidos,ruido,noise; racket; rattle; clatter (masculine plural),noise; racket; rattle; clatter (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
5974,comprendido,comprender,understood,understood (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6081,desaparecida,desaparecido,missing; disappeared (feminine singular),missing; disappeared (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
6092,reunido,reunido,gathered,gathered (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6161,protegido,protegido,protected,protected (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6242,salidas,salido,sticking out (feminine plural),sticking out (feminine plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
6344,malentendido,malentendido,misunderstanding,misunderstanding (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6361,pervertido,pervertido,perverted,perverted (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6383,tímido,tímido,shy; coy; timid; bashful,shy; coy; timid; bashful (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6408,sólido,sólido,solid,solid (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6454,suicida,suicida,suicidal,suicidal (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
6601,subida,subida,rise,rise (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
6701,escondidas,escondidas,hide and seek,hide and seek (past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
6750,desconocidos,desconocido,unknown; undisclosed; unbeknownst (masculine plural),unknown; undisclosed; unbeknownst (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
6830,sorprendida,sorprendido,surprised (feminine singular),surprised (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
6873,rápidos,rápido,fast; rapid; quick (masculine plural),fast; rapid; quick (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
6905,fallecido,fallecido,deceased; departed,deceased; departed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
6982,sólida,sólido,solid (feminine singular),solid (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
7014,movido,movido,eventful; turbulent,eventful; turbulent (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
7123,tejidos,tejido,texture (masculine plural),texture (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
7168,agradecida,agradecido,obliged; grateful; thankful; appreciative (feminine singular),obliged; grateful; thankful; appreciative (feminine singular; past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
7285,conocidas,conocido,known (feminine plural),known (feminine plural; past participle feminine plural),yes,translation_changed,past_participle_detected,idas,standard_idas,feminine,plural,high,regular_ido_participle_match
7293,jodidos,jodido,darned; crappy; fucking (masculine plural),darned; crappy; fucking (masculine plural; past participle masculine plural),yes,translation_changed,past_participle_detected,idos,standard_idos,masculine,plural,high,regular_ido_participle_match
7370,existido,existir,existed,existed (past participle masculine singular),yes,translation_changed,past_participle_detected,ido,standard_ido,masculine,singular,high,regular_ido_participle_match
7412,comprometida,comprometida,fiancée,fiancée (past participle feminine singular),yes,translation_changed,past_participle_detected,ida,standard_ida,feminine,singular,high,regular_ido_participle_match
