rank,lemma,translation_original,translation_old_latest_pass,translation_new,latest_pass,passes_touched
1176,derechos,straight (masculine plural),straight (masculine plural),rights,6,6
1177,ideas,you devise,you devise,ideas,1,1
1182,hechos,done; completed (masculine plural),done; completed (masculine plural),facts; deeds; events,2,2
1185,blanca,minim; half note,minim; half note,white (feminine singular),1,1
1190,hermanos,brother (masculine plural),brother (masculine plural),brothers; siblings,2,2
1192,santo,holy; godly,holy; godly,saint; holy,2,2
1193,dale,OK; right; okey dokey,OK; right; okey dokey,come on; go ahead; give it to him/her,1,1
1201,disculpa,excuse,excuse,excuse me; sorry,1,1
1208,obras,work (plural),works,works; plays,7,6|7
1210,medida,gauge; measure; measurement,gauge; measure; measurement,measure; measurement,8,8
1212,alegro,I make happy,I make happy,I make happy; I'm glad (in me alegro),1,1
1213,deje,accent,accent,leave; let (subjunctive/formal imperative),1,1
1215,trae,you bring,you bring,brings,5,5
1216,nota,note; memo,note; memo,note; grade,7,7
1223,veras,truth; reality (plural),truth; reality (plural),you will see,1,1
1224,actual,present; current,present; current,current; present,7,7
1235,modos,way; manner (masculine plural),way; manner (masculine plural),ways,6,6
1244,tomó,he tooked; she tooked; it tooked (completed past),he/she took; drank,took; drank,5,1|5
1248,sueños,sleep; slumber (masculine plural),sleep; slumber (masculine plural),dreams,3,3
1252,crisis,fit; attack,fit; attack,crisis,1,1
1262,red,web; mesh,web; mesh,network; net; web,1,1
1266,cartas,letter (plural),letter (plural),letters; cards,6,6
1268,grupos,group (masculine plural),group (masculine plural),groups,6,6
1269,peligroso,perilous; dangerous,perilous; dangerous,dangerous,3,3
1270,vuelva,he returns; she returns; it returns,he returns; she returns; it returns,return; come back (subjunctive),1,1
1271,asuntos,issue; matter; business (masculine plural),issue; matter; business (masculine plural),matters; affairs,6,6
1272,nombres,name (plural),name (plural),names,6,6
1276,brazos,arm (masculine plural),arm (masculine plural),arms,6,6
1282,empieza,you start,you start,starts; begins,5,5
1290,ganas,wish; want; desire (plural),wish; want; desire (plural),desire; urge; eagerness,7,7
1294,popular,Pertaining to PP; a Spanish political party,Pertaining to PP; a Spanish political party,popular,1,1
1300,lee,you read,you read,reads,5,5
1307,porqué,a reason,a reason,reason; why,1,1
1310,copa,glass; stemmed glass; goblet or its content,glass; stemmed glass; goblet or its content,glass; cup,3,3
1323,española,a female Spaniard,a female Spaniard,Spanish; Spanish woman,1,1
1328,piernas,leg (plural),leg (plural),legs,6,6
1335,noticia,notice,notice,news; piece of news,8,8
1343,recursos,writ (masculine plural),writ (masculine plural),resources,1,1
1344,estudios,study (masculine plural),study (masculine plural),studies,6,6
1346,fiscal,prosecuting,prosecuting,prosecutor; tax-related; fiscal,1,1
1347,corre,you run,you run,runs,5,5
1349,soldados,soldier (masculine plural),soldier (masculine plural),soldiers,6,6
1352,zapatos,shoe (masculine plural),shoe (masculine plural),shoes,6,6
1354,acciones,act; deed; action,act; deed; action,actions,6,6
1359,razones,reason,reason,reasons,6,6
1367,cuentas,count; tally (plural),count; tally (plural),accounts; bills; you count,7,7
1378,llaman,they summon,they summon,call,2,2
1383,verme,worm,worm,to see me,1,1
1385,depende,you depend,you depend,depends,1,1
1394,enemigo,adverse; hostile,adverse; hostile,enemy,8,8
1396,luces,light (plural),light (plural),lights,6,6
1401,entiende,you understand,you understand,understands,5,5
1413,sepa,dunno; who knows,dunno; who knows,know (subjunctive/formal imperative),1,1
1418,pasada,transit; crossing,transit; crossing,past; last; passing,1,1
1421,usa,you use,you use,uses,5,5
1426,tomado,drunk,drunk,taken; drunk,1,1
1428,clases,tuition (plural),tuition (plural),classes,1,1
1429,llevaba,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past),was carrying; wore,5,2|5
1430,películas,film (plural),film (plural),films; movies,6,6
1436,puertas,door (plural),door (plural),doors,6,6
1437,sentimientos,feeling (masculine plural),feeling (masculine plural),feelings,6,6
1442,preocupa,you worry,you worry,worries; concerns,5,5
1444,intenta,you try,you try,tries,5,5
1447,menudo,what,what,what a...; small; tiny,1,1
1451,calles,street (plural),street (plural),streets,6,6
1452,estrellas,star (plural),star (plural),stars,6,6
1456,repente,attack; upsurge,attack; upsurge,sudden moment (in de repente),1,1
1460,acabado,worn-out,worn-out,finished; done,1,1
1475,clientes,client (plural),client (plural),clients,6,6
1477,tercera,a third,a third,third,1,1
1480,salido,sticking out,sticking out,gone out; left,1,1
1488,dejes,accent (plural),accent (plural),leave; let (subjunctive),1,1
1490,llegue,stab; stabbing,stab; stabbing,arrive (subjunctive),1,1
1494,molesta,vexed; annoyed (feminine singular),vexed; annoyed (feminine singular),bothers; annoys,3,3
1495,matado,fugly; hideous,fugly; hideous,killed,1,1
1500,cambios,shift; change (masculine plural),shift; change (masculine plural),changes,6,6
1506,ama,lady of the house,lady of the house,he/she loves; lady of the house,8,8
1508,hayas,beech; beech tree (plural),beech; beech tree (plural),you have (present subjunctive; auxiliary/existence),1,1
1509,elecciones,election,election,elections,6,6
1512,llevas,you take,you take,you carry; you wear; you take,7,7
1515,interesa,you interest,you interest,interests,1,1
1523,cierra,you close,you close,closes,5,5
1531,alegra,you make happy,you make happy,makes happy; gladdens,1,1
1538,toca,kerchief; turban cloth,kerchief; turban cloth,touches; it's time; plays,1,1
1539,dientes,tooth (plural),tooth (plural),teeth,6,6
1540,aparece,you appear,you appear,appears,1,1
1548,papa,pope,pope,potato; Pope,7,7
1549,traído,used; worn,used; worn,brought,1,1
1553,perdona,you pardon,you pardon,forgives; excuses,5,5
1558,deberían,they would owe,they would owe,should,2,2
1562,productos,item; product; commodity (masculine plural),item; product; commodity (masculine plural),products,6,6
1564,estáis,stay,stay,you are (vosotros; state/location/result),1,1
1574,perros,dog (masculine plural),dog (masculine plural),dogs,6,6
1577,cayó,he felled; she felled; it felled (completed past),he felled; she felled; it felled (completed past),fell,1,1
1580,marca,brand,brand,brand; mark,7,7
1582,detalles,detail (plural),detail (plural),details,6,6
1586,policías,polity; police; Civility; public order (plural),polity; police; Civility; public order (plural),police officers; police,2,2
1587,dejo,accent,accent,I leave,1,1
1594,despierta,awake (feminine singular),awake (feminine singular),awake; wakes up,1,1
1610,juegos,play (masculine plural),play (masculine plural),games,6,6
1611,quedado,been,been,stayed; remained,1,1
1612,llamaré,I will summon,I will summon,I will call,1,1
1616,pido,I ask for something,I ask for something,I ask for; request,1,1
1623,escuché,I listened to (completed past),I listened to (completed past),I listened; I heard,1,1
1628,caballero,horseman,horseman,gentleman,3,3
1631,comienza,you begin,you begin,begins; starts,5,5
1636,médicos,doctor (masculine plural),doctor (masculine plural),doctors,6,6
1637,búsqueda,search,search,search; search for,7,7
1638,periódico,periodic,periodic,newspaper,1,1
1641,víctimas,victim (plural),victim (plural),victims,6,6
1642,agentes,agent (plural),agent (plural),agents,6,6
1648,clara,the white,clear; light,clear; light-colored,7,1|7
1652,imbécil,dumb,dumb,idiot,1,1
1655,tamaño,so big; so small; equivalent in size; as big or small,so big; so small; equivalent in size; as big or small,size,1,1
1658,efectos,effect (masculine plural),effect (masculine plural),effects,6,6
1659,llevado,taken,taken,taken; carried,1,1
1665,privado,privy; private,privy; private,private,2,2
1668,actividades,activity (plural),activity (plural),activities,6,6
1675,gana,desire,desire,desire; urge; wins,1,1
1681,antiguo,old; former; quondam; erstwhile,old; former; quondam; erstwhile,old; ancient; former,2,2
1682,autoridades,authority (plural),authority (plural),authorities,6,6
1687,elementos,element (masculine plural),element (masculine plural),elements,6,6
1689,medidas,gauge; measure; measurement (plural),measures,measures; steps,8,6|8
1692,recién,just,just,just; newly,1,1
1700,partidos,broken (masculine plural),broken (masculine plural),parties; matches,6,6
1701,damas,checkers; draughts (plural),ladies; checkers,ladies,8,6|7|8
1711,muere,you die,you die,dies,5,5
1712,nervioso,nerve,nerve,nervous,1,1
1713,desea,you wish,you wish,wants; wishes,5,5
1722,come,you eat,you eat,eats,1,1
1723,china,pebble; small stone (feminine singular),pebble; small stone (feminine singular),China; Chinese woman,2,2
1733,imágenes,image,image,images,6,6
1737,estudiantes,student (plural),student (plural),students,1,1
1739,debió,he owed; she owed; it owed (completed past),he owed; she owed; it owed (completed past),had to; must have,2,2
1749,huevos,guts; balls (masculine plural),guts; balls (masculine plural),eggs; balls; guts,5,5
1751,leyes,law (plural),law (plural),laws,6,6
1760,trabajos,job; work (masculine plural),job; work (masculine plural),jobs; work,6,6
1770,llamadas,call (feminine plural),calls; called,calls; called (feminine plural),4,2|4
1771,venta,sale,sale,sale; selling,7,7
1774,gustaba,I tasted; he tasted; she tasted; it tasted (ongoing habitual/background past),liked; used to like; pleased,liked; used to like; was pleasing to,2,1|2
1776,descanso,rest; break,rest; break,rest; break; sleep,5,5
1777,ocurrido,unexpected,unexpected,happened,1,1
1793,sujeto,held; grasped,held; grasped,subject,1,1
1798,caballos,horse (masculine plural),horse (masculine plural),horses,6,6
1801,pocas,little; not much (feminine plural),little; not much (feminine plural),few; not many (feminine plural),8,8
1808,cuesta,slope,slope,costs; is difficult,1,1
1817,dejas,rest (plural),rest (plural),leave; let,1,1
1818,cuerpos,body (masculine plural),body (masculine plural),bodies,6,6
1819,solos,one; sole; only; single (masculine plural),one; sole; only; single (masculine plural),alone; on their own (masculine plural),8,8
1827,termina,you finish,you finish,finishes; ends,5,5
1829,alcohol,galena,galena,alcohol,1,1
1831,materia,matter,matter,matter; subject,7,7
1834,principios,principle (masculine plural),principle (masculine plural),principles; beginnings,6,6
1842,intereses,I interest (plural),I interest (plural),interests,1,1
1850,llame,he summons; she summons; it summons,he summons; she summons; it summons,call (subjunctive/formal imperative),2,2
1851,equipos,team (masculine plural),team (masculine plural),teams,6,6
1859,plata,argent,argent,silver; money,1,1
1866,encantaría,I would charm,I would charm,I would love,1,1
1874,coño,guy; dude; bastard,guy; dude; bastard,fuck; damn,1,1
1875,presenta,you present,you present,presents; introduces,5,5
1879,salón,parlor; living room; sitting room; drawing room,living room; hall,living room; hall; lounge,7,6|7
1880,militares,to participate actively in a political organization (plural),to participate actively in a political organization (plural),military personnel; soldiers,6,6
1882,temas,plot; theme (plural),plot; theme (plural),topics; themes,3,3
1886,recuerdos,memory (masculine plural),memories,memories; souvenirs,7,6|7
1891,pasos,dried (masculine plural),dried (masculine plural),steps,6,6
1894,bebe,baby,baby,baby; he/she drinks,1,1
1895,secretos,secret (masculine plural),secret (masculine plural),secrets,6,6
1897,sube,you raise,you raise,goes up; gets on; raises,5,5
1901,envió,he sent; she sent; it sent (completed past),he sent; she sent; it sent (completed past),sent,1,1
1908,antigua,old; former; quondam; erstwhile (feminine singular),old; former; quondam; erstwhile (feminine singular),old; ancient; former,2,2
1913,pide,you ask for something,you ask for something,asks for; requests,5,5
1929,políticas,political (feminine plural),political (feminine plural),policies; political (feminine plural),8,8
1930,merece,you deserve,you deserve,deserves,1,1
1937,aquello,that; that thing over there,that; that thing over there,that,5,5
1945,detente,détente,détente,stop,1,1
1951,cambia,you change,you change,changes,5,5
1965,números,number (masculine plural),number (masculine plural),numbers,6,6
1966,disco,club; discotheque,club; discotheque,disc; record,3,3
1984,legal,statutory,statutory,legal,1,1
1985,siga,he follows; she follows; it follows,he follows; she follows; it follows,continue; follow,1,1
2001,paga,payment,payment,pays; payment,1,1
2009,federal,Amblyramphus holosericeus; the scarlet-headed blackbird,Amblyramphus holosericeus; the scarlet-headed blackbird,federal,1,1
2010,llamaba,I summoned; he summoned; she summoned; it summoned (ongoing habitual/background past),I summoned; he summoned; she summoned; it summoned (ongoing habitual/background past),called; used to call,2,2
2021,labios,lip (masculine plural),lip (masculine plural),lips,6,6
2022,enviado,envoy; delegate; emissary,envoy; delegate; emissary,sent; envoy,6,6
2023,rayos,heck; goddammit; dang it,heck; goddammit; dang it,damn; heck,2,2
2024,déjeme,I leave,I leave,let me; excuse me,1,1
2025,debí,I owed (completed past),I owed (completed past),had to; owed,2,2
2027,considera,you consider,you consider,considers,1,1
2028,cerdo,dirty,dirty,pig,1,1
2032,argentina,Argentine; Argentinian (feminine singular),Argentine; Argentinian (feminine singular),Argentinian (feminine singular); Argentine,5,5
2037,bella,fair; beautiful (feminine singular),fair; beautiful (feminine singular),beautiful (feminine singular),6,6
2044,personaje,personage,personage,character,11,11
2050,contento,content,content,happy; pleased,1,1
2055,deber,to owe,to owe; should; ought to,to have to; should; duty,3,2|3
2058,pertenece,you belong,you belong,belongs,5,5
2061,tales,story,story,such; tales,1,1
2066,espada,stab; sword; slash and; which is designed to cut,stab; sword; slash and; which is designed to cut,sword,1,1
2069,charles,hi-hat,hi-hat,Charles,1,1
2070,cargos,charge; burden (masculine plural),charge; burden (masculine plural),positions; posts; charges,6,6
2077,fantasma,ghost; wraith; phantom,ghost; wraith; phantom,ghost; phantom,3,3
2078,fernando,fernet with Coca-Cola,fernet with Coca-Cola,Fernando,1,1
2081,leo,I read,I read,I read; Leo,1,1
2083,términos,end; terminus (masculine plural),end; terminus (masculine plural),terms,1,1
2094,regresa,you return,you return,returns; comes back,5,5
2095,movimientos,movement (masculine plural),movement (masculine plural),movements,6,6
2097,canal,flume; waterway,flume; waterway,channel; canal,1,1
2109,ciudadanos,living in a city (masculine plural),living in a city (masculine plural),citizens,6,6
2117,documentos,paper; document (masculine plural),paper; document (masculine plural),documents,6,6
2122,cuba,barrel,barrel,Cuba,1,1
2123,metido,nosy,nosy,put in; involved,1,1
2126,enemigos,adverse; hostile (masculine plural),adverse; hostile (masculine plural),enemies,6,6
2130,votos,vote (masculine plural),vote (masculine plural),votes,6,6
2131,fría,beer,beer,cold (feminine singular),5,5
2133,testigos,witness (masculine plural),witness (masculine plural),witnesses,6,6
2138,acuerdas,you agree,you agree,remember; agree,1,1
2143,explica,you explain,you explain,explains,5,5
2145,niñas,girl; female equivalent of niño (plural),girl; female equivalent of niño (plural),girls,2,2
2147,cámaras,room (plural),room (plural),cameras; chambers,1,1
2149,privada,cul-de-sac,cul-de-sac,private,1,1
2151,compra,buying; purchase,buying; purchase,purchase; shopping; buy,7,7
2153,mata,shrub,shrub,kills,1,1
2160,cientos,hundred (masculine plural),hundred (masculine plural),hundreds,6,6
2171,sienta,you seat,you seat,feels; sits,1,1
2172,tomé,I tooked (completed past),I tooked (completed past),I took; I drank,1,1
