rank,lemma,original_sentence,final_sentence,original_english_sentence
3608,anunció,El de abril irlanda anunció la creación de un grupo de coordinación marina.,Abril irlanda anunció la creación.,The Irish April announced the creation of a marine coordination group.
3669,científica,Ha recibido el premio de investigación científica de la academia mexicana de ciencias.,Investigación científica de la academia mexicana.,He has received the scientific research award from the Mexican Academy of Sciences.
3712,entrando,La economía de la zona del euro está entrando en una fase crucial.,Está entrando en una fase crucial.,The euro area economy is entering a crucial phase.
3828,pistas,Indican las pistas el punto en el que tú crees que debería estar.,Indican las pistas el punto en el.,The clues indicate the point where you think I should be.
3888,buscado,Además los trabajadores del s que enfermaron y han buscado ayuda gubernamental han sido rechazados.,Han buscado ayuda gubernamental han sido rechazados.,In addition the workers of the s who have sickened and sought government help have been rejected.
3899,posteriormente,Posteriormente se recibieron respuestas de todas las partes a excepción de la cámara de comercio.,Posteriormente se recibieron respuestas.,Replies were subsequently received from all parties except the Chamber of Commerce.
3916,vías,Para los países en vías de desarrollo es fundamental la transferencia de tecnología.,Vías de desarrollo es fundamental la.,Technology transfer is essential for developing countries.
3918,oriente,Estas personas no son una amenaza para la paz en el medio oriente.,El medio oriente.,These people are not a threat to peace in the Middle East.
3924,toman,Hidroclorotiazida se han descrito adicionalmente los siguientes efectos adversos en pacientes que toman hidroclorotiazida sóla.,Pacientes que toman hidroclorotiazida sóla.,The following side effects have been further reported in patients taking hydrochlorothiazide alone.
3956,cambiando,Quizá solo sea una ilusión pero parece que incluso nuestro director está cambiando.,Parece que incluso nuestro director está cambiando.,"Maybe it's just an illusion, but it looks like even our director is changing."
3992,candidatos,En la sala de espera los candidatos a prepararse para la presentación de sus vidas.,Espera los candidatos a prepararse.,In the waiting room candidates to prepare for the presentation of their lives.
4020,determinado,Estoy determinado a no ser el tipo que haga su movimiento demasiado tarde.,Estoy determinado a no ser el tipo.,I'm determined not to be the guy who makes his move too late.
4057,presentan,Las reclamaciones de discriminación en el empleo también se presentan a veces a la unión nacional de mujeres eritreas.,También se presentan a veces.,Complaints of discrimination in employment are also sometimes submitted to the National Union of Eritrean Women.
4070,disparado,Le han disparado en el brazo y dice que ha sido el asesino.,Le han disparado en el brazo.,He was shot in the arm and said he was the killer.
4112,establece,El cómputo de plazos relativos a la libertad del imputado se establece en el artículo.,Imputado se establece en el artículo.,The calculation of time limits relating to the liberty of the accused is set out in the article.
4120,alcanza,El tiempo es más lento si es que alcanza la velocidad de la luz.,Alcanza la velocidad de la luz.,Time is slower if it reaches the speed of light.
4123,revistas,D el intercambio de libros periódicos revistas y publicaciones culturales científicas y educativas.,D el intercambio de libros periódicos revistas.,"D exchange of periodical books, scientific and educational journals and cultural publications."
4125,conveniente,Es conveniente aumentar la duración de la protección del derecho de autor a años.,Es conveniente aumentar la duración.,It is desirable to increase the duration of copyright protection to years.
4129,organismos,Ha ido perdiendo poderes a favor de la unión europea y otros organismos internacionales.,Otros organismos internacionales.,It has been losing power in favour of European Union and other international bodies.
4147,espiritual,Por lo tanto lo que estoy diciendo verdad es que creo que eres espiritual.,Lo que estoy diciendo verdad es que creo que eres espiritual.,So what I'm really saying is that I think you're spiritual.
4187,conocidos,Los principales elementos del clima y también los más conocidos son por ejemplo.,También los más conocidos son por ejemplo.,The main elements of the climate and also the best known are for example.
4240,acontecimientos,La unión europea tiene que estar a la altura de los acontecimientos manifestó.,Los acontecimientos manifestó.,The European Union must live up to the events it has said.
4317,recordó,Sonriendo amablemente para enmascarar una sensación familiar de desesperación sarah se recordó el pensar como una antropóloga.,Recordó el pensar como una antropóloga.,Smiling kindly to mask a familiar sense of despair Sarah remembered thinking as an anthropologist.
4353,textos,El objetivo es garantizar que los textos se ajustan a las reglas del mercado interior.,Los textos se ajustan.,The aim is to ensure that the texts comply with the rules of the internal market.
4426,unidas,El sistema de las naciones unidas continuará cumpliendo su función en este esfuerzo.,Las naciones unidas continuará cumpliendo su función.,The United Nations system will continue to play its role in this effort.
4448,bandas,El maldito alguacil gana dinero manteniéndose entre medio recibiendo sobornos de las dos bandas.,Las dos bandas.,The damn sheriff makes money by keeping in between getting bribes from both gangs.
4462,legales,De hecho es verdad que no todos los reglamentos legales se han abolido.,Es verdad que no todos los reglamentos legales se han abolido.,"In fact, it is true that not all legal regulations have been abolished."
4468,basado,Sobre el motivo basado en a infracción del apartado del artículo del tratado.,El motivo basado.,The plea alleging infringement of the article of the Treaty.
4494,notable,Sin embargo gracias a recientes esfuerzos de investigación se ha progresado de forma notable.,Gracias a recientes esfuerzos de investigación se ha progresado de forma notable.,"However, recent research efforts have made remarkable progress."
4524,cuyas,Se puede apartar de sus padres a los niños cuyas vidas estén en peligro.,Los niños cuyas vidas estén en peligro.,Children whose lives are in danger can be taken away from their parents.
4548,llegaba,Porque caramba yo salía de la feria mediodía llegaba a casa a las de la noche.,Mediodía llegaba a casa a las.,Because I was going out of the fair at noon I was coming home at night.
4597,alcanzado,Estás destinado a ser alcanzado por un rayo vivirás hasta el fin de los tiempos.,Ser alcanzado por un rayo vivirás.,You are destined to be struck by lightning you will live to the end of time.
4616,universidades,Las universidades verificarán sus conocimientos el desarrollo de su formación intelectual y su rendimiento.,Las universidades verificarán sus conocimientos el desarrollo de su formación intelectual.,Universities will verify their knowledge of the development of their intellectual training and performance.
4621,recientes,Información general sobre las actividades más recientes a nivel del gobierno y del estado.,Información general sobre las actividades más recientes a nivel del gobierno.,General information on the most recent activities at the government and state levels.
4680,acercó,Viví con ella un par de meses y nadie se le acercó aparte de mí.,Nadie se le acercó aparte de mí.,I lived with her for a couple of months and no one came near her other than me.
4702,totalidad,Por lo tanto voy a votar a favor de la totalidad de la propuesta.,Voy a votar a favor de la totalidad de la propuesta.,I shall therefore vote in favour of the proposal as a whole.
4707,inmediata,Su mandato comenzará de forma inmediata y finalizará el de agosto de banco central europeo.,Su mandato comenzará de forma inmediata.,Its term of office will begin immediately and end on August as a European central bank.
4730,cambian,Qué hay sobre que static x nunca cambia el grupo discute ciertas cosas que nunca cambian a su alrededor.,Nunca cambian a su alrededor.,What about that static x never changes the group discusses certain things that never change around it.
4741,comunistas,Al tributo de los asesinados por las autoridades comunistas en diciembre de en gdynia.,Las autoridades comunistas en diciembre.,To the tribute of those killed by the communist authorities in December in gdynia.
4744,apunta,Lo que apunta a alguien que no está acostumbrado a usar la mano izquierda.,Apunta a alguien.,Which points to someone who's not used to using his left hand.
4775,pares,Associació de pares d alumnes de l escola pública virolai de puigd lber.,Associació de pares d alumnes.,Associació de pares d alumnes de l escola público virolai de puigd lber.
4776,contaba,Cuenta con en el anterior censo contaba con lo que representa un incremento del.,Anterior censo contaba con lo.,It has in the previous census had what represents an increase of the.
4832,propone,No obstante la enmienda propone que la franquicia se incremente de a ecus.,La enmienda propone que la franquicia se incremente de a ecus.,"However, the amendment proposes that the exemption be increased from ECU."
4834,conforme,Ninguna de las posibilidades es conforme a los objetivos de la presente guía.,Posibilidades es conforme a los objetivos.,None of the possibilities is in accordance with the objectives of this guide.
4845,productores,Los productores serán responsables de la calidad de gas en los puntos de recepción.,Los productores serán responsables de la calidad.,Producers shall be responsible for the quality of gas at reception points.
4873,gustar,Mira megan escuchar uno no puede gustar dejar caer una bomba sobre mí como.,No puede gustar dejar caer una.,Look megan listen one can't like dropping a bomb on me like.
4929,atentado,El secretario le dijo a mi mujer que había muerto en un atentado.,En un atentado.,The secretary told my wife that he had died in an attack.
4983,desarrollado,Durante la presidencia española la unión ha desarrollado también una intensa actividad exterior.,Desarrollado también una intensa actividad exterior.,During the Spanish presidency the union has also developed intense external activity.
4999,basada,Debemos luchar juntos para crear una nueva cultura política basada en los derechos humanos.,Política basada en los derechos humanos.,We must fight together to create a new political culture based on human rights.
5012,mías,No dejaré que esa finca esté en manos que no sean las mías.,Sean las mías.,I won't let that estate be in my hands other than mine.
5077,panamá,De la facultad de derecho y ciencias políticas de la universidad de panamá.,Ciencias políticas de la universidad de panamá.,From the Faculty of Law and Political Science of the University of Panama.
5081,comen,Los que saben leer se sientan alrededor de la mesa hablan y comen.,Hablan y comen.,Those who know how to read sit around the table talking and eating.
5177,mesas,En las mesas de los cafés la gente habla emocionada acerca del acontecimiento.,En las mesas.,At coffee tables people talk excited about the event.
5199,zapato,Entonces se dio cuenta de que la marca de su zapato estaría en el cuerpo.,Su zapato estaría en el cuerpo.,Then he realized that the mark of his shoe would be on the body.
5238,prometida,No sabía que estaba prometida y me ha invitado a ir al cine.,No sabía que estaba prometida.,I didn't know she was engaged and she invited me to the movies.
5260,alcanzó,Por su parte la oficina de asuntos jurídicos alcanzó la mayoría de sus objetivos.,Asuntos jurídicos alcanzó la mayoría.,"For its part, the legal affairs office achieved most of its objectives."
5304,ligera,Ayer te harías una ligera idea de lo que piensa peter de ti.,Te harías una ligera idea de lo que piensa peter de ti.,Yesterday you'd get a slight idea of what peter thinks of you.
5341,sexto,Informe del comité de políticas de desarrollo sobre su sexto período de sesiones.,Sobre su sexto período de sesiones.,Report of the development policy committee on its sixth session.
5386,respaldo,El resultado es algo que puede contar con el respaldo de la mayoría de nosotros.,El respaldo de la mayoría de nosotros.,The result is something that can count on the support of most of us.
5474,dorado,La luz al final del túnel se ha expandido en un dorado amanecer.,Un dorado amanecer.,The light at the end of the tunnel has expanded in a golden dawn.
5551,afectado,La trayectoria de la vida de george nos ha afectado a todos nosotros.,Nos ha afectado a todos nosotros.,The trajectory of george life has affected all of us.
5565,desconocida,Su primer matrimonio el nombre de su esposa es desconocida produjo dos hijos.,Esposa es desconocida produjo dos hijos.,His first marriage his wife's name is unknown produced two children.
5618,reformas,En algunos estados miembros ya se han realizado reformas en los sistemas de educación profesional.,Han realizado reformas en los sistemas.,In some Member States reforms have already been made to vocational education systems.
5644,participantes,Protección de los intereses financieros de las comunidades por parte de los estados participantes.,Los estados participantes.,Protection of the financial interests of the communities by the participating statements.
5680,cursos,C se deben iniciar en el curso con una duración de tres cursos escolares.,Tres cursos escolares.,C must be started in the course with a duration of three school years.
5681,exacta,No ha previsto una edad exacta pero será antes de cumplir los años.,No ha previsto una edad exacta pero será.,He has not foreseen an exact age but it will be before the age of the year.
5717,ilegales,También es necesario que se ponga fin a las entregas ilegales de armas.,Las entregas ilegales de armas.,There is also a need for an end to illegal arms deliveries.
5725,disponibles,Hay recursos disponibles para ello y se trata de un ámbito muy importante.,Hay recursos disponibles para ello y se trata de un ámbito importante.,Resources are available for this and this is a very important area.
5732,dispone,El tratado de la unión europea dispone en el apartado de su artículo.,Unión europea dispone en el apartado.,The Treaty on European Union provides in its Article.
5734,jugamos,Mi novio y yo jugamos un juego en el que nos decíamos secretos bajo el agua.,Yo jugamos un juego en el.,My boyfriend and I played a game where we were telling each other underwater secrets.
5762,cambiará,No creo que lo hagan en mi cara pero a mis espaldas cambiará todo.,A mis espaldas cambiará todo.,"I don't think they'll do it in my face, but behind my back, it'll change everything."
5783,contenidos,Responden los objetivos y contenidos de la formación continua a la estrategia de la empresa.,Contenidos de la formación continua a la estrategia de la empresa.,They respond to the objectives and contents of continuing training to the company's strategy.
5804,legislación,Las normas de seguridad en el trabajo de acuerdo con la legislación comunitaria.,La legislación comunitaria.,Safety standards at work in accordance with Community legislation.
5914,compuesto,El grupo de inspección compuesto por inspectores salió del hotel canal a las horas.,Inspección compuesto por inspectores salió del hotel.,The inspection team composed of inspectors left the canal hotel at hours.
5975,destaca,En el video de la canción destaca la participación de la actriz española maría castro.,La canción destaca la participación.,In the video of the song stands out the participation of the Spanish actress Maria castro.
5983,retirarse,La misión de las naciones unidas se prepara ahora para retirarse de kosovo.,Retirarse de kosovo.,The mission of the united nations is now preparing to withdraw from Kosovo.
6017,provincias,Su majestad católica tiene encomiendas en dichas provincias en manos privadas se encuentran otras.,Dichas provincias en manos privadas se.,His Catholic majesty has assignments in these provinces in private hands are found others.
6029,indicado,Tanto que él no es el tipo indicado para vivir en estos días.,Indicado para vivir en estos días.,So much so that he's not the right guy to live in these days.
6057,consideró,En el caso que nos ocupa se consideró que no existía este riesgo de influencia o coordinación.,Consideró que no existía este riesgo.,"In the present case, it was considered that there was no such risk of influence or coordination."
6078,probabilidad,Bueno de acuerdo a esto hay un de probabilidad de que estarías saltando.,De acuerdo a esto hay un de probabilidad de que estarías saltando.,Well according to this there's one chance you'd be jumping.
6083,industrias,A la adquisición de materiales y herramientas menores en comercios o industrias locales.,Herramientas menores en comercios o industrias locales.,To the acquisition of minor materials and tools in local shops or industries.
6104,presta,Nuestro centro presta servicios a negocios particulares para ser nuestro cliente ha tenido que hacer.,Nuestro centro presta servicios a negocios particulares.,Our center provides services to private businesses to be our client has had to do.
6115,alrededores,Su padre dijo que a ella no le gusta correr por los alrededores.,Por los alrededores.,Her father said she doesn't like running around.
6136,propietarios,En mi tiempo tenían que esperar a que los propietarios hubieran terminado de comer.,Los propietarios hubieran terminado de comer.,In my time they had to wait until the owners had finished eating.
6171,inmensa,Va a ir a vivir con su hija rica en una casa inmensa.,Una casa inmensa.,He's going to live with his rich daughter in a huge house.
6214,pagará,El resto se pagará cuando se efectúe el mismo pago para el programa anual de que se trate.,El resto se pagará.,The remainder shall be paid when the same payment is made for the annual programme concerned.
6246,conferencias,También ha aumentado la frecuencia y periodicidad de sus conferencias y publicaciones para niños y jóvenes.,Periodicidad de sus conferencias.,It has also increased the frequency and periodicity of its conferences and publications for children and young people.
6323,significativo,Ya que este es un momento significativo en mi vida y todo eso.,Ya que este es un momento significativo en mi vida.,Since this is a significant moment in my life and all that.
6328,rigor,No hay rigor así que el cuerpo tiene menos de tres horas de muerto.,No hay rigor así.,"There's no rigor, so the body has less than three hours dead."
6340,revela,Sin embargo esto revela algo más que la mera aplicación de los conceptos existentes.,Esto revela algo más que la mera aplicación de los conceptos existentes.,"However, this reveals more than the mere application of existing concepts."
6375,realizan,Adecuados estas operaciones se realizan en la bolsa de flujo laminar o en un lugar.,Adecuados estas operaciones se realizan en la bolsa de flujo laminar.,Suitable these operations are carried out in the laminar flow bag or in a place.
6401,arranca,El autobús arranca y hay una foto mía en él y estoy en ropa interior.,El autobús arranca.,The bus starts and there's a picture of me on it and I'm in my underwear.
6431,profundas,Es un pez de mar y de aguas profundas que vive entre m de profundidad.,De aguas profundas que vive entre m de profundidad.,It is a fish of sea and deep water that lives between m of depth.
6467,ayudan,Febrero del ayudan a los medios a saltarse las restricciones de los gobiernos del medio oeste.,Febrero del ayudan a los medios.,February helps the media to bypass the restrictions of the governments of the Midwest.
6506,estrecha,La prostitución guarda una estrecha relación con las enfermedades de transmisión sexual ets.,Una estrecha relación con las enfermedades.,Prostitution is closely related to sexually transmitted diseases ets.
6515,misteriosa,Estaba pensando en nuestra conversación de la otra noche con respecto a tu chica misteriosa.,Tu chica misteriosa.,I was thinking about our conversation the other night about your mystery girl.
6545,informaciones,Por lo tanto salvo que tenga su señoría informaciones más recientes este problema habría quedado resuelto.,Su señoría informaciones más recientes este.,"Therefore, unless your honor has more recent information, this problem would have been solved."
6550,rechazado,Señor presidente estamos aquí porque francia y los países bajos han rechazado la constitución.,Los países bajos han rechazado la constitución.,"Mr President, we are here because France and the Netherlands have rejected the constitution."
6632,costos,También se examinará el grado de cumplimiento de la caja y sus estructuras de costos.,Sus estructuras de costos.,The level of compliance of the cashier and its cost structures will also be reviewed.
6640,policiales,El informe propone un componente importante de efectivos policiales de las naciones unidas.,Efectivos policiales de las naciones unidas.,The report proposes an important component of the United Nations police force.
6671,insoportable,La verdad es que se está haciendo tan insoportable que no puedo ni visitar mis pacientes.,Haciendo tan insoportable.,"The truth is, it's getting so unbearable that I can't even visit my patients."
6687,versiones,Ya sabes que la abuela lloyd no me deja ver versiones r en casa.,Deja ver versiones r en casa.,You know Grandma lloyd won't let me see r versions at home.
6785,destinados,A este fin se produjeron guías y manuales de orientación destinados a diferentes actores.,Manuales de orientación destinados a diferentes actores.,Guidelines and guidance manuals for different actors were produced for this purpose.
6789,bares,No todo es socializar en bares estar de moda tengo esta dulce tarta.,Bares estar de moda tengo esta.,Not all is socializing in bars being fashionable I have this sweet cake.
6819,quitarme,Solo hay una cosa que no puedo quitarme de la cabeza y es.,Solo hay una cosa que no puedo quitarme de la cabeza.,There's only one thing I can't get out of my head and it is.
6902,existente,Se sostiene que la situación existente en las cárceles se debe a la política de drogas.,La situación existente en las cárceles se debe.,It is argued that the situation in prisons is due to drug policy.
6932,desempleo,A partir de enero de la tasa de desempleo fue de por ciento.,Desempleo fue de por ciento.,As of January the unemployment rate was percent.
6942,religiosos,El órgano instructor es la persona titular de la dirección general de asuntos religiosos.,De asuntos religiosos.,The investigating body is the head of the general direction of religious affairs.
6956,asociados,En vista de lo que te paso y de todos los otros incidentes asociados contigo.,De todos los otros incidentes asociados contigo.,In view of what happened to you and all the other incidents associated with you.
6965,veían,Los ex presidentes kaunda y banda que estuvieron presentes se veían más saludables y en forma.,Banda que estuvieron presentes se veían más saludables.,Former presidents Kaunda and band who were present looked healthier and fit.
6982,sólida,El consejo europeo es sin duda la institución más sólida de la unión europea.,Más sólida de la unión europea.,The European Council is undoubtedly the strongest institution of European Union.
7025,cubana,Lo que está en juego aquí es la apertura de la sociedad cubana.,La sociedad cubana.,What is at stake here is the opening up of Cuban society.
7049,hierbas,Se va a lo largo de los campos recorta todas las malas hierbas.,Las malas hierbas.,It goes along the fields trims all the weeds.
7115,comisionado,Actividades de información pública de la oficina del alto comisionado para los derechos humanos.,Alto comisionado para los derechos humanos.,Public information activities of the office of the High Commissioner for Human Rights.
7122,navarro,José alberto navarro el libro de las calles de san francisco san francisco.,José alberto navarro el libro.,José alberto navarro the book of the streets of San francisco san francisco.
7129,gubernamental,Actualmente es el director de la organización no gubernamental catalana nova innovación social.,No gubernamental catalana nova innovación social.,He is currently the director of the Catalan non-governmental organization nova social innovation.
7145,anunciado,En guatemala el presidente es anunciado siempre con estas palabras el presidente constitucional de guatemala.,Presidente es anunciado siempre.,In guatemala the president is always announced with these words the constitutional president of guatemala.
7149,aplicaciones,También existen las aplicaciones adicionales a los de mensajeria instantanea como por ejemplo.,Existen las aplicaciones adicionales a los.,There are also additional applications to instant messaging such as.
