rank,sentence,english_sentence
74,Todos estaban a punto de llorar.,Everyone was about to cry.
75,Puedo hacerlo mejor y lo haré.,I can do better and I will.
76,Sabes que yo tambien te quiero.,"You know I love you, too."
77,Gracias a dios que no estás allí.,Thank God you're not there.
78,A veces puede ser bastante.,Sometimes it can be enough.
79,Hace dos días que ese no funciona.,That hasn't worked in two days.
80,No se quedará sin pagar por esto.,He won't be left without paying for this.
81,Soy ambos virus y angel.,I'm both virus and angel.
82,Podría ser cualquiera que supiera sobre ella.,It could be anyone who knew about her.
83,Él es el hijo de ese bastardo.,He's that bastard's son.
84,Quién estaba en el rammer jammer.,Who was in the rammer jammer.
85,También dije que no era suficiente.,I also said it wasn't enough.
86,Un amigo de hace mucho tiempo.,A friend from a long time ago.
87,Es porque has descubierto que las cosas no me van tan bien.,It's because you found out things aren't going so well for me.
88,Es así como será entonces.,That's what it's gonna be like then.
89,Creo que van a por mí.,I think they're after me.
90,Es todo lo que tienes para decir no lo sé.,That's all you have to say I don't know.
91,No siempre me iba a casa.,I wasn't always going home.
92,No no es por usted.,It's not about you.
93,Dame algo de esa bolsa.,Give me some of that bag.
94,Solo me voy a despedir.,I'm just gonna say goodbye.
95,No tu sabes que eso es imposible.,You don't know that's impossible.
96,Eso solo prueba que eres mas rápido.,That just proves you're faster.
97,Eres la única verdad que tengo.,You're the only truth I have.
98,No hasta que uno de ustedes muera.,Not until one of you dies.
99,Solo haz que se enamore de ti otra vez.,Just make him fall in love with you again.
100,Nunca hemos tenido uno antes.,We've never had one before.
101,Era un niño de años.,He was a boy of years.
102,Gente a la que me hace feliz conocer.,People I'm happy to meet.
103,Cómo va a ocurrir esto.,How this is going to happen.
104,Hola otro más para usted.,"Hello, another one for you."
105,No es por mucho tiempo.,It's not for long.
106,Quieres decirnos quién irá a la fiesta.,You want to tell us who's going to the party.
107,Crees que me lo pasé mejor.,You think I had a better time.
108,Estamos los dos con vida.,We're both alive.
109,Lo mismo podría decir de ti.,The same thing could be said about you.
110,A mí no me grites.,Don't yell at me.
111,Dónde está la reina catalina.,Where's the catalina queen?
112,Ni siquiera sabe lo que quiero que haga.,He doesn't even know what I want him to do.
113,Sabes que nos están atacando.,You know they're attacking us.
114,En verdad nos hizo un favor.,He really did us a favor.
115,Soy más fuerte que el señor de florencia.,I'm stronger than the lord of florence.
116,Eres el hombre del año.,You're the man of the year.
117,Oh dios te acostaste con él.,"Oh, God, you slept with him."
118,Siempre te he amado de acuerdo.,I've always loved you.
119,Tienes que venir conmigo a ver la grabación.,You have to come with me to watch the recording.
120,Usted no es uno de ellos y ellos no quieren que usted.,You're not one of them and they don't want you.
121,Por qué no quieres hablar de ello.,Why don't you want to talk about it.
122,No me siento muy bien chicos.,"I don't feel so good, guys."
123,Antes había un bar aquí.,There was a bar here before.
124,Dios mío qué qué voy a hacer.,"Oh, my God, what am I gonna do?"
125,Has escrito una novela cojonuda.,You've written a beautiful novel.
126,No esto antes no pasaba.,This wasn't happening before.
127,No estarás aquí todo el día.,You won't be here all day.
128,Sé lo que parece así que les digo desde ahora.,"I know what it looks like, so I'm telling you from now on."
129,Tenemos la cámara de afuera.,We got the camera outside.
130,Qué tal un poco de intimidad.,How about a little privacy.
131,Siento mucho cómo han salido las cosas.,I'm so sorry about how things turned out.
132,Empezó a verte a ti.,He started seeing you.
133,No se podría en otra casa.,Couldn't be in another house.
134,Se que sientes lo mismo.,I know you feel the same way.
135,Mire usted y los de su clase han expoliado nuestros valles.,"Look, you and your kind have plundered our valleys."
136,Me has hecho parecer débil.,You made me look weak.
137,Ahora quieres a alguien nueva.,Now you want someone new.
138,Puedes conseguir una huella de una foto.,You can get a print from a photo.
139,En realidad no no vamos a empezar por ahí.,We're not really gonna start there.
140,Le dijo a tu madre que estabas muerto.,He told your mother you were dead.
141,Lo mejor ahora es estar tranquilos.,The best thing now is to be calm.
142,Le dejarán nuevo entre los dos.,They'll leave you new between the two.
143,Fue un poco más de una noche.,It was a little more than one night.
144,Creo que nosotros hemos hecho nuestro trabajo.,I think we've done our job.
145,Nunca debes ir allí de nuevo.,You should never go there again.
146,En el año después.,In the year after.
147,No entiendes mis ideas ni el arte.,You don't understand my ideas or art.
148,Ojalá sea verdad.,I hope it's true.
149,Sólo quiero hablar de acuerdo.,I just want to talk right.
150,Qué le ha pasado al otro.,What happened to the other one.
151,Me parece que la policía está de camino.,I think the police are on their way.
152,Aquí es donde me trajo.,This is where he brought me.
153,Así que hay cuatro de ellos.,So there are four of them.
154,Algunos no estamos de broma.,Some of us aren't kidding.
155,Es un gran mundo gran mundo.,"It's a great world, great world."
156,Sabes cómo hacer sentir bien a la gente.,You know how to make people feel good.
157,Nosotros no nos quedamos en el auto.,We didn't stay in the car.
158,Él no quiere ser padre.,He doesn't want to be a father.
159,Organismos de inteligencia del estado.,State intelligence agencies.
160,No había nadie en casa así que.,"There was no one at home, so."
161,Tal vez os lleve conmigo.,Maybe I'll take you with me.
162,Sé que no les caigo bien.,I know you don't like me.
163,Qué haces en esta parte de la casa.,What are you doing in this part of the house.
164,Tamer abdo amin colgó el video que ha sido visto veces en facebook con el siguiente comentario.,Tamer abdo amin posted the video that has been seen on facebook times with the following comment.
165,De momento nadie le ha visto.,So far no one's seen him.
166,Srta idgie podría abrir la puerta.,Miss idgie could open the door.
167,Estaba a menos de horas de vida.,I was less than hours away.
168,Mira por qué no volvemos dentro.,Look why we're not going back inside.
169,Si quiere ayudar a su hija va a tener que ser paciente.,"If you want to help your daughter, you're gonna have to be patient."
170,Se prohíbe pescar fuera de los períodos hábiles para la pesca.,Fishing outside working periods for fishing is prohibited.
171,Yo soy un gran admirador de los trenes.,I'm a big fan of trains.
172,En segundo lugar que no ha dicho.,"Secondly, you did not say."
173,No sé como hablar con él.,I don't know how to talk to him.
174,Una cosa buena de tener la peor habitación del campus.,A good thing about having the worst room on campus.
175,Su compañero tenía el dinero.,His partner had the money.
176,Hay otras tres que no puede ver.,There are three others you can't see.
177,Usted debe ser nuevo aqu.,You must be new here.
178,Supongo que eso no pasa.,I guess that doesn't happen.
179,Cómo puedo saber que vas a regresar la pluma a este.,How can I know you're going to return the pen to this one?
180,Así que buenas noches a todos y cada uno.,So good night to everyone.
181,Claro pero cómo sabe a dónde ir.,"Sure, but how do you know where to go?"
182,Es que tengo el dinero.,I just have the money.
183,Se lo dice su madre.,His mother tells him.
184,Esta mañana fue a la casa de la profesora.,This morning she went to the teacher's house.
185,Mañana viene el sr. García.,Mr. Garcia's coming tomorrow.
186,No ese tipo tú no quieres saber.,Not that guy you don't want to know.
187,No tenemos que morir aquí hoy.,We don't have to die here today.
188,No eres tú la que hablaba con ella todos los días.,You're not the one who talked to her every day.
189,Luego de que se los llevó tashandra.,After he took them tashandra.
190,Hasta yo sé que tienes que ir allí.,Even I know you have to go there.
191,Es que soy una mujer.,I'm just a woman.
192,Sólo estoy tratando de vender nuestro software.,I'm just trying to sell our software.
193,No entiendo por qué a ella le gustan tanto.,I don't understand why she likes them so much.
194,Cómo podría ser otra cosa.,How could it be anything else?
195,Usted lo sabe todo cierto.,You know everything true.
196,Han llegado de todas partes.,They've come from everywhere.
197,Ha estado haciendo eso por casi ocho horas.,He's been doing that for almost eight hours.
198,Tengo la palabra de mi hijo.,I have my son's word.
199,Mi otro lado del cerebro dice.,My other side of the brain says.
200,Estás seguro que es lo que ella dijo realmente.,You're sure that's what she really said.
201,Parece que podemos estar ante un asesino en serie.,Looks like we can be in front of a serial killer.
202,Debe haber algo al fondo de todo esto.,There must be something at the bottom of all this.
203,Espera esto es una cita.,"Wait, this is a date."
204,Vale no puedes hacer algo.,"Okay, you can't do anything."
205,"Ya verás, todo será más fácil.","You'll see, it'll all be easier."
206,Es difícil hablar de estas cosas en la iglesia.,It's hard to talk about these things in church.
207,Noche de bodas toda mi seducción.,Wedding night all my seduction.
208,Qué clase de idiota debe de haber sido.,What kind of idiot he must have been.
209,Conque estás demasiado ocupado para tus amigos.,So you're too busy for your friends.
210,Dónde está tu mejor amigo.,Where's your best friend?
211,Me pregunto cómo será nuestra habitación.,I wonder what our room will look like.
212,Ella es buena pero tiene un problema.,"She's good, but she's got a problem."
213,Aún esperamos a tu padre.,We're still waiting for your father.
214,Ahora tengo a alguien con quien hablar.,Now I have someone to talk to.
215,Entonces estos tres ryo son un adelanto.,So these three ryo are an advance.
216,Quiere usted saber mi nombre.,You want to know my name.
217,Supongo que ellos tienen poder suficiente.,I guess they have enough power.
218,Veces tuvo relaciones con él.,Sometimes he had sex with him.
219,Mi mamá no tiene tiempo.,My mom doesn't have time.
220,Por que me siento mal.,Because I feel bad.
221,Creo que es vieja escuela no en el buen sentido.,I think it's old school not in a good way.
222,Durante muchos años hemos sido amigos.,For many years we have been friends.
223,No se trata de mamá y papá.,It's not about Mom and Dad.
224,Crees que quería herir a oscar.,You think I wanted to hurt oscar.
225,Cuantas veces te lo dije.,How many times I told you.
226,Hace unos años llamé a este modelo económico.,A few years ago I called this economic model.
227,Qué ha pasado con el otro que te di.,What happened to the other one I gave you.
228,Es su forma de ver.,It's his way of looking.
229,Es raro no me gusta.,It's weird I don't like it.
230,Cogieron al cabrón que hizo esto.,They took the bastard who did this.
231,Cómo si yo le habría hecho caso.,Like I would've listened to him.
232,No tengo nada en contra de ellas.,I have nothing against them.
233,Se me hace tarde señora.,"I'm late, ma'am."
234,Me necesitas más de lo que yo te necesito.,You need me more than I need you.
235,Oye amigo qué me va a pasar.,"Hey, buddy, what's gonna happen to me?"
236,Tiene que haber alguna forma hablarás con él.,There has to be some way you'll talk to him.
237,Hoy hemos salido tarde.,We're late today.
238,Qué no se dieron cuenta.,They didn't notice.
239,Me eres familiar me parece haberte visto en alguna parte.,You're familiar to me. I seem to have seen you somewhere.
240,No quiere hablar conmigo y no sé por qué.,He doesn't want to talk to me and I don't know why.
241,Mientras tanto en la casa grande.,Meanwhile in the big house.
242,Por qué te interesa si veo a otros hombres.,Why do you care if I see other men?
243,Entonces qué te pasó realmente.,Then what really happened to you.
244,Era hora de que nosotros.,It was time for us.
245,El problema es que no lo hice.,"The problem is, I didn't."
246,Por qué te crees que me voy a casar contigo.,Why do you think I'm marrying you?
247,Su mujer murió en un accidente el año pasado.,His wife died in an accident last year.
248,Tienes razón sobre la familia.,You're right about the family.
249,Acabo de los resultados de la primera encuesta.,I just finished the results of the first survey.
250,Creo que ya has dicho suficiente ya no es cierto.,I think you've said enough is no longer true.
251,No hemos tenido tiempo para saber lo que este pequeño niño vio.,We haven't had time to know what this little boy saw.
252,Ya te lo he dicho si es necesario.,I've already told you if you have to.
253,Creo que quiere hacerlo otra vez.,I think he wants to do it again.
254,No lo puedo ver mierda.,I can't see shit.
255,Pues no nos hemos visto antes.,"Well, we haven't met before."
256,Tienes alguna idea para mí.,You have some idea for me.
257,Tu dinero por el mío.,Your money for mine.
258,E n v.,E n v.
259,No podría aunque lo intente.,I couldn't even try.
260,La reunión de la familia.,Family reunion.
261,Yo le mandé hacia aquí.,I sent him here.
262,Es lo que tiene el amor.,It's what love has.
263,Una gran oportunidad se ha hecho posible en esos años.,A great opportunity has become possible in those years.
264,Y después pueden venir a nuestra boda.,And then you can come to our wedding.
265,Bueno no importa lo que haga.,"Well, it doesn't matter what I do."
266,No todavía no lo hemos encontrado.,We haven't found him yet.
267,Después de lo que les hice a esas personas.,After what I did to those people.
268,Me lo llevo a la policía.,I'm taking him to the police.
269,Casi ni lo ha mirado.,He hardly even looked at it.
270,Tengo algo muy importante que discutir contigo.,I have something very important to discuss with you.
271,Sólo hice lo que cualquier persona haría en esta situación.,I just did what anyone would do in this situation.
272,La gente no nos gusta demasiado.,We don't like people too much.
273,"Ven un momento, por favor.","Come here a moment, please."
274,No sé si hablabas en serio.,I don't know if you were serious.
275,A algún lugar que sólo.,Somewhere I just.
276,Ve a la cabina de putin.,Go to the putin booth.
277,Ésta es su nueva vida.,This is your new life.
278,No no él ha sido genial pero eh.,"No, no, he's been great, but, uh..."
279,Bueno estoy a su lado señor.,"Well, I'm by your side, sir."
280,Lo querría de esa manera.,I'd want it that way.
281,Sigue con sus dolores de cabeza.,He's still in his headaches.
282,No os gustan los hombres.,You don't like men.
283,Es una historia sobre el bien y el mal.,It's a story about good and evil.
284,Volver dentro de una semana.,Come back in a week.
285,Sería mejor hablarlo mañana.,It'd be better to talk about it tomorrow.
286,Ni salir de la ciudad.,No way out of town.
287,Un hombre no debería hacer esto.,A man shouldn't do this.
288,Mira j d corren tiempos complicados y más complicados que se van a poner.,Look j d these times are complicated and more complicated than they're going to get.
289,Usted viene de la ciudad.,You come from the city.
290,Ustedes no tienen nada dentro.,You guys don't have anything inside.
291,Señoras hay muchas cosas que me voy por ahí.,"Ladies, there's a lot of things I'm going around."
292,Un arcángel más el poder de dios no puede superar a la hermana de dios.,An archangel plus God's power cannot overcome God's sister.
293,Mataron a algunos de los hermanos.,They killed some of the brothers.
294,Estamos hablando de mis amigos.,We're talking about my friends.
295,Quién quiere una chica así.,Who wants a girl like that.
296,Sabes ser mayor nunca supe cómo debería ser.,You know how old I never knew how it should be.
297,Claro que nadie sabía que veníamos.,Of course nobody knew we were coming.
298,Quiero a los chicos ahí.,I want the kids there.
299,Está mi hermano con usted.,My brother's with you.
300,Esas llaves no son mías.,Those keys aren't mine.
301,Mantenernos en el primer lugar.,Keep us in the first place.
302,Información general sobre el país.,General information about the country.
303,Cada vez que ella se vaya temprano sabrás que es por él.,"Every time she leaves early, you'll know it's for him."
304,Pueden darme un poco de agua.,You can give me some water.
305,Me gustaría contárselo yo misma.,I'd like to tell you myself.
306,No veo en qué le molestaría.,I don't see what would bother you.
307,Vas listo si lo haces y si no lo haces vas listo.,"You're ready if you do, and if you don't, you're ready."
308,Sólo hay un camino para usted.,There's only one way for you.
309,El jefe de cirugía en persona.,The head of surgery himself.
310,Iba al parque estatal de todos modos.,I was going to state park anyway.
311,En realidad no lo dijo.,He didn't really say.
312,No por todo el fin de semana.,Not for the whole weekend.
313,Qué tan importante es para mí.,How important it is to me.
314,Primero escucha el final de la historia.,First listen to the end of the story.
315,No quería contártelo pero te lo digo.,"I didn't want to tell you, but I'm telling you."
316,He estado trabajando durante horas.,I've been working for hours.
317,No lo hacía veces por semana.,I didn't do it sometimes a week.
318,Tal vez haya otra puerta.,Maybe there's another door.
319,Los hombres con una misión siempre somos algo fanáticos.,Men on a mission are always fanatics.
320,Pensé que nunca te vería.,I thought I'd never see you.
321,Es en el nivel más bajo.,It's at the lowest level.
322,En el punto de la muerte.,At the point of death.
323,Esa chica tiene algunos problemas serios.,That girl has some serious problems.
324,Estoy en ese tipo de punto en mi vida.,I'm at that kind of point in my life.
325,Ah pues no lo sé.,"Oh, I don't know."
326,Qué pasó con las viejas.,What happened to the old ones.
327,Ahora quizá podrías dejarnos solos.,Now maybe you could leave us alone.
328,Así que usted quiere las buenas noticias o las malas noticias.,So you want the good news or the bad news.
329,Por supuesto me temo que tendrá que esperar.,Of course I'm afraid you'll have to wait.
330,En mi casa mañana a las cuatro de la tarde.,At my place tomorrow at 4:00 p.m.
331,A mccall le da igual.,Mccall doesn't care.
332,No hay nada mejor a mano.,There's nothing better on hand.
333,Qué tienes para los niños.,What you got for the kids.
334,Yo tengo que volver ahora.,I have to go back now.
335,Es muy fácil además a ti te encanta.,It's very easy and you love it.
336,Dónde está la niña señora.,"Where's the girl, ma'am?"
337,Mira cariño no es nada.,"Look, honey, it's nothing."
338,Gracias por la ayuda mamá.,"Thanks for the help, Mom."
339,Qué les pasó a tus ojos.,What happened to your eyes.
340,La víctima murió en menos de cinco minutos.,The victim died in less than five minutes.
341,No voy a pasar aquí la noche.,I'm not spending the night here.
342,En general motors empleaba a trabajadores.,"In general, motors employed workers."
343,Creo que es demasiado pronto para presentar una obra.,I think it's too early to present a play.
344,Así que haré lo que debo hacer.,So I'll do what I have to do.
345,Voy a salir unos minutos.,I'm going out for a few minutes.
346,No el jefe sino el marido de la jefa.,"Not the boss, but the boss's husband."
347,El gobierno de la comunidad.,The community government.
348,Tienes el juego en tus manos.,You have the game in your hands.
349,Es un riesgo para el presidente.,It's a risk to the president.
350,El sr pryor está muerto.,Mr. pryor is dead.
351,Este lugar ha estado abandonado durante muchos años.,This place has been abandoned for many years.
352,Entonces cuál es el plan chico.,So what's the small plan?
353,La paz con la guerra.,Peace with war.
354,Al final hice lo correcto.,I finally did the right thing.
355,Incluso si es sobre la demanda.,Even if it's about the lawsuit.
356,Él es mi medio hermano.,He's my half brother.
357,Cuál es el problema de todas formas.,What's the problem anyway.
358,Dijo que no tenía idea de qué estaba hablando.,He said he had no idea what he was talking about.
359,Ya no puedo más adiós.,I can't do goodbye anymore.
360,Ni su esposa siquiera sabe.,His wife doesn't even know.
361,Bueno eso sería genial papá.,"Well, that would be great, Dad."
362,Al final fueron todos juntos.,They were all together in the end.
363,Hay algo más pero tengo que pensar en ello un poco más.,There's something else but I have to think about it a little bit more.
364,Sólo tienes que moverte rápido.,You just have to move fast.
365,Tu equipo no puede entrar por aquí.,Your team can't come in here.
366,No puedo dejar a mi madre y mi hermana solas con él.,I can't leave my mother and sister alone with him.
367,Significa que han hablado o que no han hablado.,It means they've spoken or they haven't spoken.
368,Él no es tu jefe.,He's not your boss.
369,Tal vez millones de dólares.,Maybe millions of dollars.
370,Así que no he tenido suerte.,So I haven't been lucky.
371,Tenía otras cosas en mi cabeza en ese momento.,I had other things in my head at the time.
372,Por qué no lo vi ayer.,Why didn't I see him yesterday?
373,Quieres ver otra vez el cuerpo.,You want to see the body again.
374,Tu padre está al llegar.,Your father's on his way.
375,Yo no las uso pero muchas mujeres.,"I don't use them, but a lot of women."
376,Es posible que no te guste.,You might not like it.
377,No muy bien según parece.,Not so good as it looks.
378,Muchos de nuestros casos lo parecen.,Many of our cases seem so.
379,Un año ya quizás más.,A year or so now.
380,Se refiere volver a la tierra.,You mean going back to earth.
381,Bueno entonces bill debes ser el único porqué todos vendemos algo.,Well then bill you must be the only one because we all sell something.
382,Eres mi hija por qué.,You're my daughter why.
383,No te encontré por ninguna parte.,I didn't find you anywhere.
384,Estaré con él hasta el final.,I'll be with him till the end.
385,En la cara no jefe.,"In the face, not boss."
386,Creo que estabas diciendo que no al niño que una vez fuiste.,I think you were saying no to the kid you once went to.
387,Supongo que no cómo estás.,I guess not how you are.
388,Duermen juntos todas las noches.,They sleep together every night.
389,Algunas cosas así no sé.,Some things like that I don't know.
390,Entiendo más de lo que tú.,I understand more than you do.
391,Número lo hace muy bien.,Number's doing great.
392,No soy de ningún tipo.,I'm not of any kind.
393,No me deja opcion embajadora.,"You leave me no choice, ambassador."
394,Jeremy está mejor sin ti no lo ves.,Jeremy's better off without you. You don't see him.
395,No se parece para nada a ti tío.,"Doesn't look like you at all, man."
396,Qué tiene cerca de la boca.,What do you have near your mouth?
397,Es tu corazón de nuevo.,It's your heart again.
398,Es que me dan miedo.,I'm afraid of them.
399,Buenos días como están hoy.,Good morning as you are today.
400,De pequeños eran inseparables.,As children they were inseparable.
401,Puede que no haya sitio.,There may be no room.
402,Si hubiera una forma de hacerlo con un poco más de dignidad algo de brillo y sustancia.,"If there was a way to do it with a little more dignity, some brightness and substance."
403,Deberías estar feliz de que esté aquí.,You should be happy he's here.
404,Con unas camisetas azul oscuro.,With some dark blue shirts.
405,Espero que encuentre a su hijo.,I hope you find your son.
406,Supongo que me pareció exactamente igual.,I guess I thought it was exactly the same.
407,Ya ve que me viene perfecta.,"You see, it's perfect for me."
408,Todos los meses pasamos por esto.,Every month we go through this.
409,Morn sigue ahí al frente del bar.,Morn's still in front of the bar.
410,Van a dar un premio.,They're going to give a prize.
411,Me dijeron que podía acompañarlo.,They told me I could go with him.
412,Perdón por la última vez.,Sorry for the last time.
413,Es difícil decirlo tú qué piensas.,It's hard to say what you think.
414,No os encanta esa mierda.,You don't love that shit.
415,Quiero saber si vas a venir.,I want to know if you're coming.
416,Lo vi en el albert hall.,I saw it in the albert hall.
417,Debemos salir de aquí viejo.,"We gotta get out of here, man."
418,Déjalo ya se siente bastante mal.,Let it feel bad enough.
419,Por que venir aquí a tomar el té y los snacks.,Why come here for tea and snacks.
420,Bien qué te gustaría saber.,"Well, what would you like to know."
421,Cuánto tiempo más cree que va a ser.,How much longer you think it's gonna be.
422,Vamos a concentrarnos en encontrar a scylla vale.,Let's focus on finding scylla okay.
423,Siempre hay algo que sigue adelante.,There's always something going on.
424,Usted sabe no me parece justo.,"You know, it doesn't seem fair to me."
425,De acuerdo tiene sentido supongo.,"Okay, that makes sense, I guess."
426,Mi esposa también estará de acuerdo.,"My wife will agree, too."
427,El segundo truco más viejo del manual.,The second oldest trick in the manual.
428,No es la pistola grande.,It's not the big gun.
429,Mi mi arma está por allá.,My gun's over there.
430,Te dije que tenía clase.,I told you I had class.
431,Bueno parece bastante estable lo cual es bueno.,"Well, it seems pretty stable, which is good."
432,Todas las personas son iguales ante la ley y en consecuencia.,All persons are equal before the law and accordingly.
433,Entonces es el momento del juego.,Then it's time for the game.
434,He tenido una mañana horrible.,I've had a horrible morning.
435,Tenía mucho en lo que pensar.,I had a lot to think about.
436,Ya no creo que pueda confiar en ti.,I don't think I can trust you anymore.
437,Hey cómo se supone que voy a saber.,Hey how am I supposed to know.
438,Entonces no eres mi doctor.,Then you're not my doctor.
439,Tu grupo es una mierda.,Your group sucks.
440,La he cuidado como a un bebé.,I've taken care of her like a baby.
441,Quieres decir que no sabes si yo sería suficiente para ti.,You mean you don't know if I'd be enough for you.
442,Hay coincidencia en la sangre.,There's a match in the blood.
443,El chico es tan pequeño bueno.,The boy's so little good.
444,Dijiste que querías verla verdad.,You said you wanted to see her right.
445,Sabes de qué se trata viejo.,"You know what it's about, old man."
446,Hasta haré que se limpie las gafas.,I'll even get her glasses cleaned.
447,Es nuestro último recurso señor.,"It's our last resort, sir."
448,En serio por qué sigues apareciendo frente a mí.,Seriously why you keep showing up in front of me.
449,Mira soy uno de tus admiradores más grandes.,"Look, I'm one of your biggest fans."
450,Bueno hay una mujer que puede que venga.,"Well, there's a woman who might come."
451,Cómo se llama el lugar a donde vamos.,What's the name of the place we're going.
452,La mayoría de las noches.,Most nights.
453,El capitán hawdon se toma su tiempo.,Captain hawdon takes his time.
454,Se necesita un guía en el reino unido.,A guide is needed in the united kingdom.
455,No le debes decir a nadie que te puse en el camino.,You mustn't tell anyone I put you on the road.
456,No deberías estar arriba con ella.,You shouldn't be upstairs with her.
457,Ahora estoy de vuelta al camino.,Now I'm back on the road.
458,Dónde está el maldito coche.,Where's the fucking car.
459,No y tampoco lo quiero ver.,"No, and I don't want to see it either."
460,Pues tenemos que trabajar rápido.,"Well, we have to work fast."
461,La mala no sabemos hasta cuándo.,The bad one doesn't know until when.
462,Eres la persona más fuerte que he conocido.,You're the strongest person I've ever met.
463,Agente de seguridad del estado.,State security agent.
464,Mas si conseguimos un montón de niños.,But if we get a lot of kids.
465,El apoyo tiene que entrar ahí.,Support has to go in there.
466,Es una forma de vivir para siempre.,It's a way of living forever.
467,Ahora mi corazón no me escucha.,Now my heart won't listen to me.
468,Déjame ver esta a mí.,Let me see this one.
469,La gente de este pueblo.,The people of this town.
470,Te quedas por los hijos.,You stay for the kids.
471,Luego el médico un hombre joven.,Then the doctor a young man.
472,Cuanto a uno de estos cada tres días.,As for one of these every three days.
473,Hago un mejor baile esta vez.,I'm doing a better dance this time.
474,Hoy no fue a la escuela.,He didn't go to school today.
475,Lo que quiero hacer tras esta noche.,What I want to do after tonight.
476,Cree que no fue intencional.,He thinks it wasn't intentional.
477,No yo no cambio nada.,I don't change anything.
478,Una luz contra la guerra.,A light against the war.
