rank,lemma,old_translation,new_translation,pass,reason
20130,condicionada,synonym of acondicionado (feminine singular),conditioned (feminine singular),pass3,learner-focused polish / artifact cleanup
21144,tipa,chick; woman; broad; female equivalent of tipo: broad (feminine singular),girl; woman,pass3,learner-focused polish / artifact cleanup
22881,dueñas,female equivalent of dueño: owner (plural),owners (feminine plural),pass3,learner-focused polish / artifact cleanup
23652,mejicano,compare mexiquense),Mexican,pass3,learner-focused polish / artifact cleanup
24180,conjura,synonym of conjuración,plot; conspiracy,pass3,learner-focused polish / artifact cleanup
25754,mejicanos,compare mexiquense) (masculine plural),Mexican (masculine plural),pass3,learner-focused polish / artifact cleanup
27526,tigresa,female equivalent of tigre: tigress,tigress,pass3,learner-focused polish / artifact cleanup
27912,roa,synonym of roda,Roa,pass3,learner-focused polish / artifact cleanup
28198,burra,she-ass; jenny-ass; female equivalent of burro: jenny (feminine singular),female donkey,pass3,learner-focused polish / artifact cleanup
28509,poetisa,poetess; female poet; female equivalent of poeta,poet,pass3,learner-focused polish / artifact cleanup
29184,mejicana,compare mexiquense) (feminine singular),Mexican (feminine singular),pass3,learner-focused polish / artifact cleanup
29939,sobrinas,female equivalent of sobrino: niece (plural),nieces,pass3,learner-focused polish / artifact cleanup
30159,neoyorquina,female equivalent of neoyorquino (feminine singular),New Yorker (feminine singular),pass3,learner-focused polish / artifact cleanup
30413,condicionados,synonym of acondicionado (masculine plural),conditioned (masculine plural),pass3,learner-focused polish / artifact cleanup
30555,ramones,breadnut,Ramones,pass3,learner-focused polish / artifact cleanup
31028,filipina,female equivalent of filipino (feminine singular),Filipina,pass3,learner-focused polish / artifact cleanup
32278,encierre,synonym of encierro,lock up (subjunctive/formal imperative),pass3,learner-focused polish / artifact cleanup
33415,calatrava,female equivalent of calatravo (feminine singular),Calatrava,pass3,learner-focused polish / artifact cleanup
34073,aquilino,synonym of aguileño,Aquilino,pass3,learner-focused polish / artifact cleanup
34106,miguelito,synonym of mí,Miguelito,pass3,learner-focused polish / artifact cleanup
34163,pinchada,synonym of pinchazo,puncture; jab,pass3,learner-focused polish / artifact cleanup
