rank,lemma,original_lemma,new_translation,variant_relation,reason
340,minutos,minuto,minute (masculine plural),masculine_plural_of_original,o_to_os
343,manos,mano,hand (masculine plural),masculine_plural_of_original,o_to_os
346,muchos,mucho,much; a lot of (masc. pl.),unknown,translation_already_has_brackets
357,fueron,ir,were; went (ser/ir),unknown,translation_already_has_brackets
358,ello,ello,id (neuter),unknown,translation_already_has_brackets
366,otras,otro,other; another (fem. pl.),unknown,translation_already_has_brackets
370,mujeres,mujer,woman (plural),plural_of_original,plus_es
373,nuestros,nuestro,our (masculine plural),masculine_plural_of_original,o_to_os
378,ninguna,ninguno,no; none (fem.),unknown,translation_already_has_brackets
383,juntos,junto,together (masculine plural),masculine_plural_of_original,o_to_os
384,algunas,alguno,some (fem. pl.),unknown,translation_already_has_brackets
387,ningún,ninguno,no; none (masc.),unknown,translation_already_has_brackets
389,ves,ve,v (plural),plural_of_original,plus_s
394,buenos,bueno,good (masculine plural),masculine_plural_of_original,o_to_os
395,eran,ser,were (ser),unknown,translation_already_has_brackets
396,haya,haber,have (haber),unknown,translation_already_has_brackets
397,hubiera,haber,had (haber),unknown,translation_already_has_brackets
399,unas,un,some (fem. pl.),unknown,translation_already_has_brackets
403,meses,mes,month (plural),plural_of_original,plus_es
407,última,último,last; final (feminine singular),feminine_of_original,o_to_a
409,os,os,you,base,same_form
443,grandes,grande,big; large (plural),plural_of_original,plus_s
446,noches,noche,night (plural),plural_of_original,plus_s
464,hijos,hijo,son (masculine plural),masculine_plural_of_original,o_to_os
494,ido,ir,went; gone,unknown,pos_not_supported
495,padres,padre,father (plural),plural_of_original,plus_s
496,vino,venir,he came; she came; it came,unknown,pos_not_supported
501,única,único,only; sole; single (feminine singular),feminine_of_original,o_to_a
505,dólares,dólar,dollar (plural),plural_of_original,plus_es
510,música,músico,music (feminine singular),feminine_of_original,o_to_a
518,sola,solo,one; sole; only; single (feminine singular),feminine_of_original,o_to_a
543,política,político,politics (feminine singular),feminine_of_original,o_to_a
551,palabras,palabra,word (plural),plural_of_original,plus_s
552,pequeña,pequeño,small; little (feminine singular),feminine_of_original,o_to_a
555,chicas,chico,small (feminine plural),feminine_plural_of_original,o_to_as
569,nuestras,nuestro,our (feminine plural),feminine_plural_of_original,o_to_as
581,propia,propio,own (feminine singular),feminine_of_original,o_to_a
587,segura,seguro,safe; secure (feminine singular),feminine_of_original,o_to_a
599,mucha,mucho,much; a lot of (fem.),unknown,translation_already_has_brackets
624,semanas,semana,week (plural),plural_of_original,plus_s
631,maldita,maldito,cursed (feminine singular),feminine_of_original,o_to_a
632,estados,estado,land; country (masculine plural),masculine_plural_of_original,o_to_os
666,mala,malo,bad (feminine singular),feminine_of_original,o_to_a
673,armas,arma,arm; weapon (plural),plural_of_original,plus_s
676,preguntas,pregunta,question (plural),plural_of_original,plus_s
681,unidos,unido,united (masculine plural),masculine_plural_of_original,o_to_os
682,segunda,segundo,second (feminine singular),feminine_of_original,o_to_a
684,mía,mío,mine; of mine (feminine singular),feminine_of_original,o_to_a
703,noticias,noticia,notice (plural),plural_of_original,plus_s
743,querida,querido,sweetheart (feminine singular),feminine_of_original,o_to_a
751,últimos,último,last; final (masculine plural),masculine_plural_of_original,o_to_os
752,mejores,mejor,better (plural),plural_of_original,plus_es
775,amiga,amigo,friend (feminine singular),feminine_of_original,o_to_a
788,carrera,carrero,race (feminine singular),feminine_of_original,o_to_a
793,partes,parte,genitalia (plural),plural_of_original,plus_s
805,próxima,próximo,near (feminine singular),feminine_of_original,o_to_a
812,diferentes,diferente,different (plural),plural_of_original,plus_s
826,casos,caso,case (masculine plural),masculine_plural_of_original,o_to_os
827,novia,novio,girlfriend (feminine singular),feminine_of_original,o_to_a
829,países,país,country (plural),plural_of_original,plus_es
842,pruebas,prueba,proof; evidence (plural),plural_of_original,plus_s
850,quienes,quien,who (plural),plural_of_original,plus_es
885,nuevos,nuevo,new (masculine plural),masculine_plural_of_original,o_to_os
890,formas,forma,form; shape; figure (plural),plural_of_original,plus_s
904,tipos,tipo,kind; type; sort; manner (masculine plural),masculine_plural_of_original,o_to_os
916,muertos,muerto,dead (masculine plural),masculine_plural_of_original,o_to_os
941,hablas,habla,speech (plural),plural_of_original,plus_s
945,pies,pie,foot (plural),plural_of_original,plus_s
962,caballeros,caballero,horseman (masculine plural),masculine_plural_of_original,o_to_os
964,datos,dato,data (masculine plural),masculine_plural_of_original,o_to_os
967,negocios,negocio,business; enterprise (masculine plural),masculine_plural_of_original,o_to_os
969,eras,era,age (plural),plural_of_original,plus_s
984,puntos,punto,point (masculine plural),masculine_plural_of_original,o_to_os
992,muchachos,muchacho,boy (masculine plural),masculine_plural_of_original,o_to_os
998,nuevas,nuevo,new (feminine plural),feminine_plural_of_original,o_to_as
999,fuerzas,fuerza,force (plural),plural_of_original,plus_s
1001,fotos,foto,photo; photograph (masculine plural),masculine_plural_of_original,o_to_os
1004,hermosa,hermoso,lovely; gorgeous; handsome; beautiful (feminine singular),feminine_of_original,o_to_a
1011,tiempos,tiempo,time (masculine plural),masculine_plural_of_original,o_to_os
1012,mismos,mismo,self (masculine plural),masculine_plural_of_original,o_to_os
1015,vieja,viejo,old (feminine singular),feminine_of_original,o_to_a
1018,libros,libro,book (masculine plural),masculine_plural_of_original,o_to_os
1030,primeros,primero,first; former; first one (masculine plural),masculine_plural_of_original,o_to_os
1031,humanos,humano,human (masculine plural),masculine_plural_of_original,o_to_os
1047,muerta,muerto,dead (feminine singular),feminine_of_original,o_to_a
1049,miembros,miembro,member (masculine plural),masculine_plural_of_original,o_to_os
1062,tía,tío,uncle (feminine singular),feminine_of_original,o_to_a
1065,resultados,resultado,result; upshot; outcome; finding (masculine plural),masculine_plural_of_original,o_to_os
1087,drogas,droga,drug (plural),plural_of_original,plus_s
1091,metros,metro,meter (masculine plural),masculine_plural_of_original,o_to_os
1097,varias,vario,various (feminine plural),feminine_plural_of_original,o_to_as
1104,segundos,segundo,second (masculine plural),masculine_plural_of_original,o_to_os
1115,medios,medio,media; mass media as a whole (masculine plural),masculine_plural_of_original,o_to_os
1121,servicios,servicio,service (masculine plural),masculine_plural_of_original,o_to_os
1124,momentos,momento,moment; instant (masculine plural),masculine_plural_of_original,o_to_os
1127,vidas,vida,life (plural),plural_of_original,plus_s
1139,pocos,poco,little; not much (masculine plural),masculine_plural_of_original,o_to_os
1147,flores,flor,flower (plural),plural_of_original,plus_es
1150,larga,largo,long (feminine singular),feminine_of_original,o_to_a
1151,vayas,vaya,expresses surprise (plural),plural_of_original,plus_s
1178,derechos,derecho,straight (masculine plural),masculine_plural_of_original,o_to_os
1184,hechos,hecho,done; completed (masculine plural),masculine_plural_of_original,o_to_os
1192,hermanos,hermano,brother (masculine plural),masculine_plural_of_original,o_to_os
1196,llamas,llama,flame (plural),plural_of_original,plus_s
1198,viva,vivo,alive; living (feminine singular),feminine_of_original,o_to_a
1210,obras,obra,work (plural),plural_of_original,plus_s
1220,importantes,importante,important; that cares; that matters (plural),plural_of_original,plus_s
1225,veras,vera,truth; reality (plural),plural_of_original,plus_s
1237,modos,modo,way; manner (masculine plural),masculine_plural_of_original,o_to_os
1249,cuántos,cuánto,how many (masculine plural),masculine_plural_of_original,o_to_os
1250,sueños,sueño,sleep; slumber (masculine plural),masculine_plural_of_original,o_to_os
1269,cartas,carta,letter (plural),plural_of_original,plus_s
1271,grupos,grupo,group (masculine plural),masculine_plural_of_original,o_to_os
1274,asuntos,asunto,issue; matter; business (masculine plural),masculine_plural_of_original,o_to_os
1275,nombres,nombre,name (plural),plural_of_original,plus_s
1277,listos,listo,smart; clever (masculine plural),masculine_plural_of_original,o_to_os
1279,brazos,brazo,arm (masculine plural),masculine_plural_of_original,o_to_os
1284,linda,lindo,pretty (feminine singular),feminine_of_original,o_to_a
1289,pequeños,pequeño,small; little (masculine plural),masculine_plural_of_original,o_to_os
1293,ganas,gana,wish; want; desire (plural),plural_of_original,plus_s
1301,bonita,bonito,cute; pretty (feminine singular),feminine_of_original,o_to_a
1319,reglas,regla,rule (plural),plural_of_original,plus_s
1328,empresas,empresa,company (plural),plural_of_original,plus_s
1331,piernas,pierna,leg (plural),plural_of_original,plus_s
1337,pública,público,public (feminine singular),feminine_of_original,o_to_a
1344,humana,humano,human (feminine singular),feminine_of_original,o_to_a
1345,lugares,lugar,place (plural),plural_of_original,plus_es
1346,recursos,recurso,writ (masculine plural),masculine_plural_of_original,o_to_os
1347,estudios,estudio,study (masculine plural),masculine_plural_of_original,o_to_os
1352,soldados,soldado,soldier (masculine plural),masculine_plural_of_original,o_to_os
1355,zapatos,zapato,shoe (masculine plural),masculine_plural_of_original,o_to_os
1359,perra,perro,female dog (feminine singular),feminine_of_original,o_to_a
1364,casas,casa,house (plural),plural_of_original,plus_s
1370,cuentas,cuenta,count; tally (plural),plural_of_original,plus_s
1390,llena,lleno,full (feminine singular),feminine_of_original,o_to_a
1399,luces,luz,light (plural),plural_of_original,z_to_ces
1411,cuales,cual,as; like; in the manner of (plural),plural_of_original,plus_es
1431,clases,clase,tuition (plural),plural_of_original,plus_s
1433,películas,película,film (plural),plural_of_original,plus_s
1439,puertas,puerta,door (plural),plural_of_original,plus_s
1440,sentimientos,sentimiento,feeling (masculine plural),masculine_plural_of_original,o_to_os
1448,políticos,político,political (masculine plural),masculine_plural_of_original,o_to_os
1454,calles,calle,street (plural),plural_of_original,plus_s
1455,estrellas,estrella,star (plural),plural_of_original,plus_s
1457,cierta,cierto,true (feminine singular),feminine_of_original,o_to_a
1461,pacientes,paciente,patient (plural),plural_of_original,plus_s
1466,mayores,mayor,big; large (plural),plural_of_original,plus_es
1467,señores,señor,sir; lord; mister (plural),plural_of_original,plus_es
1469,suya,suyo,his; its; hers (feminine singular),feminine_of_original,o_to_a
1478,clientes,cliente,client (plural),plural_of_original,plus_s
1491,dejes,deje,accent (plural),plural_of_original,plus_s
1497,molesta,molesto,vexed; annoyed (feminine singular),feminine_of_original,o_to_a
1500,viejos,viejo,old (masculine plural),masculine_plural_of_original,o_to_os
1503,cambios,cambio,shift; change (masculine plural),masculine_plural_of_original,o_to_os
1511,hayas,haya,beech; beech tree (plural),plural_of_original,plus_s
1519,verdadera,verdadero,true; real (feminine singular),feminine_of_original,o_to_a
1522,propios,propio,own (masculine plural),masculine_plural_of_original,o_to_os
1524,compañeros,compañero,companion (masculine plural),masculine_plural_of_original,o_to_os
1543,dientes,diente,tooth (plural),plural_of_original,plus_s
1566,productos,producto,item; product; commodity (masculine plural),masculine_plural_of_original,o_to_os
1574,kilómetros,kilómetro,kilometre; kilometer (masculine plural),masculine_plural_of_original,o_to_os
1578,perros,perro,dog (masculine plural),masculine_plural_of_original,o_to_os
1586,detalles,detalle,detail (plural),plural_of_original,plus_s
1587,carga,cargo,load (feminine singular),feminine_of_original,o_to_a
1590,policías,policía,polity; police; Civility; public order (plural),plural_of_original,plus_s
1595,trabajadores,trabajador,hard-working (plural),plural_of_original,plus_es
1598,despierta,despierto,awake (feminine singular),feminine_of_original,o_to_a
1603,fuentes,fuente,spring; fountain (plural),plural_of_original,plus_s
1607,cuya,cuyo,whose (feminine singular),feminine_of_original,o_to_a
1614,juegos,juego,play (masculine plural),masculine_plural_of_original,o_to_os
1619,abierta,abierto,open; unlocked (feminine singular),feminine_of_original,o_to_a
1638,vuestra,vuestro,your (feminine singular),feminine_of_original,o_to_a
1640,médicos,médico,doctor (masculine plural),masculine_plural_of_original,o_to_os
1643,dedos,dedo,finger (masculine plural),masculine_plural_of_original,o_to_os
1645,víctimas,víctima,victim (plural),plural_of_original,plus_s
1646,agentes,agente,agent (plural),plural_of_original,plus_s
1653,posibilidades,posibilidad,possibility (plural),plural_of_original,plus_es
1662,efectos,efecto,effect (masculine plural),masculine_plural_of_original,o_to_os
1664,económica,económico,economic (feminine singular),feminine_of_original,o_to_a
1670,negra,negro,black (feminine singular),feminine_of_original,o_to_a
1672,actividades,actividad,activity (plural),plural_of_original,plus_es
1677,tranquila,tranquilo,calm; quiet; peaceful; tranquil (feminine singular),feminine_of_original,o_to_a
1686,autoridades,autoridad,authority (plural),plural_of_original,plus_es
1691,elementos,elemento,element (masculine plural),masculine_plural_of_original,o_to_os
1693,medidas,medida,gauge; measure; measurement (plural),plural_of_original,plus_s
1697,quiénes,quién,who; whom (plural),plural_of_original,plus_es
1699,embarazada,embarazado,pregnant (feminine singular),feminine_of_original,o_to_a
1701,historias,historia,history (plural),plural_of_original,plus_s
1704,partidos,partido,broken (masculine plural),masculine_plural_of_original,o_to_os
1705,damas,dama,checkers; draughts (plural),plural_of_original,plus_s
1707,dura,duro,hard (feminine singular),feminine_of_original,o_to_a
1725,extraña,extraño,odd; weird; strange; unusual (feminine singular),feminine_of_original,o_to_a
1727,china,chino,pebble; small stone (feminine singular),feminine_of_original,o_to_a
1728,últimas,último,last; final (feminine plural),feminine_plural_of_original,o_to_as
1741,estudiantes,estudiante,student (plural),plural_of_original,plus_s
1742,llaves,llave,key (plural),plural_of_original,plus_s
1745,malas,malo,bad (feminine plural),feminine_plural_of_original,o_to_as
1747,roma,romo,dull; blunt (feminine singular),feminine_of_original,o_to_a
1749,carretera,carretero,road; highway (feminine singular),feminine_of_original,o_to_a
1753,huevos,huevo,guts; balls (masculine plural),masculine_plural_of_original,o_to_os
1755,leyes,ley,law (plural),plural_of_original,plus_es
1758,oficiales,oficial,official (plural),plural_of_original,plus_es
1764,trabajos,trabajo,job; work (masculine plural),masculine_plural_of_original,o_to_os
1774,llamadas,llamado,call (feminine plural),feminine_plural_of_original,o_to_as
1788,pequeñas,pequeño,small; little (feminine plural),feminine_plural_of_original,o_to_as
1802,caballos,caballo,horse (masculine plural),masculine_plural_of_original,o_to_os
1804,felices,feliz,happy; merry (plural),plural_of_original,z_to_ces
1805,pocas,poco,little; not much (feminine plural),feminine_plural_of_original,o_to_as
1806,perfecta,perfecto,perfect (feminine singular),feminine_of_original,o_to_a
1820,familias,familia,family (plural),plural_of_original,plus_s
1821,dejas,deja,rest (plural),plural_of_original,plus_s
1822,cuerpos,cuerpo,body (masculine plural),masculine_plural_of_original,o_to_os
1823,solos,solo,one; sole; only; single (masculine plural),masculine_plural_of_original,o_to_os
1828,roja,rojo,red (feminine singular),feminine_of_original,o_to_a
1838,principios,principio,principle (masculine plural),masculine_plural_of_original,o_to_os
1846,intereses,interese,I interest (plural),plural_of_original,plus_s
1848,vecinos,vecino,neighbour (masculine plural),masculine_plural_of_original,o_to_os
1849,valores,valor,value (plural),plural_of_original,plus_es
1851,locos,loco,mad; nuts; crazy; insane (masculine plural),masculine_plural_of_original,o_to_os
1855,equipos,equipo,team (masculine plural),masculine_plural_of_original,o_to_os
1857,españoles,español,Spanish (plural),plural_of_original,plus_es
1858,papeles,papel,paper (plural),plural_of_original,plus_es
1859,huellas,huella,footprint (plural),plural_of_original,plus_s
1860,mismas,mismo,self (feminine plural),feminine_plural_of_original,o_to_as
1872,seguros,seguro,safe; secure (masculine plural),masculine_plural_of_original,o_to_os
1884,militares,militar,to participate actively in a political organization (plural),plural_of_original,plus_es
1886,temas,tema,plot; theme (plural),plural_of_original,plus_s
1890,recuerdos,recuerdo,memory (masculine plural),masculine_plural_of_original,o_to_os
1895,pasos,paso,dried (masculine plural),masculine_plural_of_original,o_to_os
1896,primeras,primero,first; former; first one (feminine plural),feminine_plural_of_original,o_to_as
1899,secretos,secreto,secret (masculine plural),masculine_plural_of_original,o_to_os
1903,técnica,técnico,technique (feminine singular),feminine_of_original,o_to_a
1909,principales,principal,main; most important (plural),plural_of_original,plus_es
1910,fuertes,fuerte,strong (plural),plural_of_original,plus_s
1912,antigua,antiguo,old; former; quondam; erstwhile (feminine singular),feminine_of_original,o_to_a
1915,propias,propio,own (feminine plural),feminine_plural_of_original,o_to_as
1933,políticas,político,political (feminine plural),feminine_plural_of_original,o_to_as
1954,sistemas,sistema,system (plural),plural_of_original,plus_s
1961,líneas,línea,line (plural),plural_of_original,plus_s
1965,completa,completo,full; complete (feminine singular),feminine_of_original,o_to_a
1969,números,número,number (masculine plural),masculine_plural_of_original,o_to_os
1972,circunstancias,circunstancia,circumstance (plural),plural_of_original,plus_s
1974,programas,programa,program; programme (plural),plural_of_original,plus_s
1977,negros,negro,black (masculine plural),masculine_plural_of_original,o_to_os
1984,enferma,enfermo,ill; sick (feminine singular),feminine_of_original,o_to_a
1987,pobres,pobre,poor (plural),plural_of_original,plus_s
1991,física,físico,physics (feminine singular),feminine_of_original,o_to_a
1996,ángeles,ángel,angel (plural),plural_of_original,plus_es
2008,tonterías,tontería,something that is dumb (plural),plural_of_original,plus_s
2012,malos,malo,bad (masculine plural),masculine_plural_of_original,o_to_os
2017,tardes,tarde,late (plural),plural_of_original,plus_s
2024,seres,ser,to be (plural),plural_of_original,plus_es
2025,labios,labio,lip (masculine plural),masculine_plural_of_original,o_to_os
2036,argentina,argentino,Argentine; Argentinian (feminine singular),feminine_of_original,o_to_a
2037,estúpida,estúpido,stupid (feminine singular),feminine_of_original,o_to_a
2041,bella,bello,fair; beautiful (feminine singular),feminine_of_original,o_to_a
2074,cargos,cargo,charge; burden (masculine plural),masculine_plural_of_original,o_to_os
2087,términos,término,end; terminus (masculine plural),masculine_plural_of_original,o_to_os
2094,distintos,distinto,distinct (masculine plural),masculine_plural_of_original,o_to_os
2099,movimientos,movimiento,movement (masculine plural),masculine_plural_of_original,o_to_os
2109,especiales,especial,special (plural),plural_of_original,plus_es
2113,ciudadanos,ciudadano,living in a city (masculine plural),masculine_plural_of_original,o_to_os
2121,documentos,documento,paper; document (masculine plural),masculine_plural_of_original,o_to_os
2124,árboles,árbol,tree (plural),plural_of_original,plus_es
2130,enemigos,enemigo,adverse; hostile (masculine plural),masculine_plural_of_original,o_to_os
2134,votos,voto,vote (masculine plural),masculine_plural_of_original,o_to_os
2137,testigos,testigo,witness (masculine plural),masculine_plural_of_original,o_to_os
2141,lados,lado,side (masculine plural),masculine_plural_of_original,o_to_os
2149,niñas,niña,girl; female equivalent of niño (plural),plural_of_original,plus_s
2151,cámaras,cámara,room (plural),plural_of_original,plus_s
2161,tierras,tierra,land; ground (plural),plural_of_original,plus_s
2164,cientos,ciento,hundred (masculine plural),masculine_plural_of_original,o_to_os
2166,niveles,nivel,tier; level; height (plural),plural_of_original,plus_es
2171,fondos,fondo,bottom (masculine plural),masculine_plural_of_original,o_to_os
2180,bienvenidos,bienvenido,welcome (masculine plural),masculine_plural_of_original,o_to_os
2190,distintas,distinto,distinct (feminine plural),feminine_plural_of_original,o_to_as
2194,ciudades,ciudad,city (plural),plural_of_original,plus_es
2202,notas,nota,show-off (plural),plural_of_original,plus_s
2207,cura,curo,cure (feminine singular),feminine_of_original,o_to_a
2210,consecuencias,consecuencia,consequence (plural),plural_of_original,plus_s
2211,jugadores,jugador,player (plural),plural_of_original,plus_es
2213,preciosa,precioso,precious (feminine singular),feminine_of_original,o_to_a
2216,india,indio,Indian (feminine singular),feminine_of_original,o_to_a
2230,respuestas,respuesta,reply; answer; response (plural),plural_of_original,plus_s
2232,aspectos,aspecto,aspect (masculine plural),masculine_plural_of_original,o_to_os
2235,mensajes,mensaje,message (plural),plural_of_original,plus_s
2236,siguientes,siguiente,following (plural),plural_of_original,plus_s
2240,enfermera,enfermero,nurse (feminine singular),feminine_of_original,o_to_a
2245,zonas,zona,zone; area; district (plural),plural_of_original,plus_s
2249,características,característico,typical; characteristic (feminine plural),feminine_plural_of_original,o_to_as
2263,tonta,tonto,stupid (feminine singular),feminine_of_original,o_to_a
2269,entera,entero,whole; entire (feminine singular),feminine_of_original,o_to_a
2276,cuáles,cuál,which; what (plural),plural_of_original,plus_es
2281,dudas,duda,doubt (plural),plural_of_original,plus_s
2283,familiares,familiar,family; familial (plural),plural_of_original,plus_es
2284,amas,ama,lady of the house (plural),plural_of_original,plus_s
2292,precios,precio,price (masculine plural),masculine_plural_of_original,o_to_os
2295,colores,color,hue; colour (plural),plural_of_original,plus_es
2301,huesos,hueso,bone (masculine plural),masculine_plural_of_original,o_to_os
2306,juntas,junto,together (feminine plural),feminine_plural_of_original,o_to_as
2311,poderes,poder,to be able to (plural),plural_of_original,plus_es
2315,europea,europeo,European (feminine singular),feminine_of_original,o_to_a
2317,libres,libre,free (plural),plural_of_original,plus_s
2319,profesionales,profesional,professional (plural),plural_of_original,plus_es
2323,plantas,planta,plant (plural),plural_of_original,plus_s
2324,necesidades,necesidad,need (plural),plural_of_original,plus_es
2338,tomas,toma,taking; capture; conquest; takeover (plural),plural_of_original,plus_s
2341,invitados,invitado,invited (masculine plural),masculine_plural_of_original,o_to_os
2346,campos,campo,country; countryside (masculine plural),masculine_plural_of_original,o_to_os
2349,alimentos,alimento,food (masculine plural),masculine_plural_of_original,o_to_os
2356,amigas,amiga,friend (plural),plural_of_original,plus_s
2359,cansada,cansado,tired; weary; wearied (feminine singular),feminine_of_original,o_to_a
2362,páginas,página,page (plural),plural_of_original,plus_s
2363,dioses,dios,god (plural),plural_of_original,plus_es
2365,objetos,objeto,object (masculine plural),masculine_plural_of_original,o_to_os
2370,guapa,guapo,arrowroot (feminine singular),feminine_of_original,o_to_a
2372,objetivos,objetivo,objective (masculine plural),masculine_plural_of_original,o_to_os
2374,personajes,personaje,personage (plural),plural_of_original,plus_s
2377,fiestas,fiesta,party (plural),plural_of_original,plus_s
2379,puestos,puesto,job; position; employment (masculine plural),masculine_plural_of_original,o_to_os
2381,ciertas,cierto,true (feminine plural),feminine_plural_of_original,o_to_as
2388,blancos,blanco,white (masculine plural),masculine_plural_of_original,o_to_os
2390,maravillosa,maravilloso,wonderful; marvelous (feminine singular),feminine_of_original,o_to_a
2391,piezas,pieza,part; piece (plural),plural_of_original,plus_s
2401,vivos,vivo,alive; living (masculine plural),masculine_plural_of_original,o_to_os
2404,cerrada,cerrado,shut; closed (feminine singular),feminine_of_original,o_to_a
2407,vueltas,vuelta,go-back (plural),plural_of_original,plus_s
2410,paredes,pared,wall; especially of a house or room (plural),plural_of_original,plus_es
2417,disculpas,disculpa,excuse (plural),plural_of_original,plus_s
2426,cuantos,cuanto,as much; however much; whatever quantity (masculine plural),masculine_plural_of_original,o_to_os
2436,hecha,hecho,done; completed (feminine singular),feminine_of_original,o_to_a
2441,rara,raro,rare (feminine singular),feminine_of_original,o_to_a
2442,pura,puro,pure; clear (feminine singular),feminine_of_original,o_to_a
2446,solas,solo,one; sole; only; single (feminine plural),feminine_plural_of_original,o_to_as
2447,rápida,rápido,fast; rapid; quick (feminine singular),feminine_of_original,o_to_a
2449,maneras,manera,way; style; manner; method (plural),plural_of_original,plus_s
2453,proyectos,proyecto,plan; project (masculine plural),masculine_plural_of_original,o_to_os
2456,motivos,motivo,reason; ground; motive (masculine plural),masculine_plural_of_original,o_to_os
2457,normas,norma,rule; norm; standard; touchstone (plural),plural_of_original,plus_s
