lemma,count,lemma_original,lemma_normalized,lemma_lemmatized,lemma_translated,translated_flag,translation_source
también,715468,también,también,taelons,[UNTRANSLATED] taelons,FALSE,untranslated
tiempo,687892,tiempo,tiempo,thai,[UNTRANSLATED] thai,FALSE,untranslated
tan,686387,tan,tan,tailandés,thai,TRUE,dict
entonces,685644,entonces,entonces,entidad,entity,TRUE,dict
creo,683937,creo,creo,creer,believe / think,TRUE,dict
tienes,682238,tienes,tienes,their,[UNTRANSLATED] their,FALSE,untranslated
casa,672896,casa,casa,cartulina,cardboard,TRUE,dict
usted,668917,usted,usted,urbanización,urbanisation,TRUE,dict
esa,668819,esa,esa,erróneo,erroneous,TRUE,dict
voy,662485,voy,voy,volver,take / see / come,TRUE,dict
sabes,647130,sabes,sabes,rápido,fast / quick / rapid,TRUE,dict
eres,641438,eres,eres,equívoco,equivocal,TRUE,dict
verdad,629489,verdad,verdad,venganza,revenge / vengeance,TRUE,dict
hasta,626256,hasta,hasta,hartman,[UNTRANSLATED] hartman,FALSE,untranslated
solo,622353,solo,solo,solano,[UNTRANSLATED] solano,FALSE,untranslated
nunca,616936,nunca,nunca,nt,[UNTRANSLATED] nt,FALSE,untranslated
años,611574,años,años,añadir,add,TRUE,dict
hace,609859,hace,hace,hablar,gabble / talk / discuss,TRUE,dict
va,604495,va,va,usar,use,TRUE,dict
hola,603263,hola,hola,hobart,[UNTRANSLATED] hobart,FALSE,untranslated
mucho,599601,mucho,mucho,mover,move / shift,TRUE,dict
quién,596225,quién,quién,querer,to want,TRUE,override
mejor,577793,mejor,mejor,mediocre,mediocre,TRUE,dict
vida,577140,vida,vida,ver,to see,TRUE,override
decir,568965,decir,decir,decidir,rush / decide,TRUE,dict
mí,562903,mí,mí,márquez,márquez,TRUE,dict
dónde,560489,dónde,dónde,decir,to say/tell,TRUE,override
ni,555431,ni,ni,neuro,[UNTRANSLATED] neuro,FALSE,untranslated
están,551731,están,están,estar,to be (state/location),TRUE,override
favor,549447,favor,favor,fastidiar,[UNTRANSLATED] fastidiar,FALSE,untranslated
señor,542633,señor,señor,set,[UNTRANSLATED] set,FALSE,untranslated
hombre,540236,hombre,hombre,holandés,dutch / dutchman / dutchwoman,TRUE,dict
oh,536659,oh,oh,ofensivo,offensive,TRUE,dict
siempre,535920,siempre,siempre,sheriff,sheriff,TRUE,dict
ver,529254,ver,ver,venenoso,poisonous,TRUE,dict
uno,529067,uno,uno,unir,suit / join / unite,TRUE,dict
quieres,524005,quieres,quieres,querer,to want,TRUE,override
siento,521986,siento,siento,shinichi,[UNTRANSLATED] shinichi,FALSE,untranslated
había,512587,había,había,hablar,gabble / talk / discuss,TRUE,dict
dios,509312,dios,dios,dinero,money,TRUE,dict
has,507560,has,has,hart,[UNTRANSLATED] hart,FALSE,untranslated
antes,506316,antes,antes,anteproyecto,preliminary draft,TRUE,dict
día,506052,día,día,dejar,allow / give / quit,TRUE,dict
desde,502267,desde,desde,descubrir,discover / find / unveil,TRUE,dict
tenemos,498611,tenemos,tenemos,templo,temple,TRUE,dict
poco,489944,poco,poco,plinio,pliny / plinio,TRUE,dict
cosas,484381,cosas,cosas,cortázar,[UNTRANSLATED] cortázar,FALSE,untranslated
ti,483867,ti,ti,teté,[UNTRANSLATED] teté,FALSE,untranslated
otra,482966,otra,otra,oscurecer,darken / get,TRUE,dict
mismo,478580,mismo,mismo,mirilla,peephole,TRUE,dict
han,478219,han,han,halo,[UNTRANSLATED] halo,FALSE,untranslated
hecho,474909,hecho,hecho,hearst,[UNTRANSLATED] hearst,FALSE,untranslated
alguien,470767,alguien,alguien,algoritmo,algorithm,TRUE,dict
puedes,470464,puedes,puedes,publicidad,advert / advertising / publicity,TRUE,dict
ahí,456119,ahí,ahí,ahumado,[UNTRANSLATED] ahumado,FALSE,untranslated
dijo,451371,dijo,dijo,dignidad,dignity,TRUE,dict
estar,448651,estar,estar,estan,[UNTRANSLATED] estan,FALSE,untranslated
entre,448607,entre,entre,entrar,come / go / step,TRUE,dict
noche,446359,noche,noche,ninfa,nymph,TRUE,dict
trabajo,441225,trabajo,trabajo,toscano,[UNTRANSLATED] toscano,FALSE,untranslated
ir,439955,ir,ir,inyección,injection,TRUE,dict
después,433246,después,después,desprender,release / give,TRUE,dict
mis,429362,mis,mis,mirar,look / glance / watch,TRUE,dict
sea,421711,sea,sea,saul,[UNTRANSLATED] saul,FALSE,untranslated
acuerdo,418814,acuerdo,acuerdo,acordar,agree / remember / remind,TRUE,dict
otro,412548,otro,otro,oscurecer,darken / get,TRUE,dict
parece,410169,parece,parece,paralizar,paralyse,TRUE,dict
donde,409601,donde,donde,donación,donation,TRUE,dict
ellos,408528,ellos,ellos,elite,[UNTRANSLATED] elite,FALSE,untranslated
estamos,402058,estamos,estamos,estafar,[UNTRANSLATED] estafar,FALSE,untranslated
mundo,399953,mundo,mundo,mujerzuela,[UNTRANSLATED] mujerzuela,FALSE,untranslated
gente,399821,gente,gente,generar,generate,TRUE,dict
nosotros,398706,nosotros,nosotros,nora,[UNTRANSLATED] nora,FALSE,untranslated
padre,396287,padre,padre,oír,hear,TRUE,dict
estado,392772,estado,estado,estacionar,[UNTRANSLATED] estacionar,FALSE,untranslated
nadie,389461,nadie,nadie,nabo,turnip,TRUE,dict
tal,389345,tal,tal,súplica,[UNTRANSLATED] súplica,FALSE,untranslated
les,380802,les,les,leni,[UNTRANSLATED] leni,FALSE,untranslated
parte,377788,parte,parte,paridad,parity,TRUE,dict
sido,376857,sido,sido,shelley,shelley,TRUE,dict
momento,376691,momento,momento,molestar,bother / annoy / pester,TRUE,dict
podría,369129,podría,podría,pobre,poor,TRUE,dict
menos,367335,menos,menos,mena,ore,TRUE,dict
mira,366113,mira,mira,ministerial,ministerial,TRUE,dict
quiere,365883,quiere,quiere,querella,[UNTRANSLATED] querella,FALSE,untranslated
fuera,365550,fuera,fuera,fräulein,[UNTRANSLATED] fräulein,FALSE,untranslated
gran,364639,gran,gran,graduado,[UNTRANSLATED] graduado,FALSE,untranslated
lugar,358565,lugar,lugar,luchar,fight / struggle,TRUE,dict
hablar,357328,hablar,hablar,habitar,live / inhabit,TRUE,dict
tener,350961,tener,tener,temporada,season,TRUE,dict
tenía,350059,tenía,tenía,tener,to have/possess,TRUE,override
tres,349324,tres,tres,tratar,deal / treat,TRUE,dict
nuevo,347157,nuevo,nuevo,novela,novel,TRUE,dict
pasa,339032,pasa,pasa,participar,participate / take,TRUE,dict
vas,336124,vas,vas,valoración,assessment / estimation,TRUE,dict
cada,334232,cada,cada,cachetada,[UNTRANSLATED] cachetada,FALSE,untranslated
claro,331173,claro,claro,clarence,[UNTRANSLATED] clarence,FALSE,untranslated
dinero,330904,dinero,dinero,dimisión,resignation,TRUE,dict
madre,325343,madre,madre,machista,male chauvinist / male chauvinistic,TRUE,dict
mañana,324759,mañana,mañana,maxine,[UNTRANSLATED] maxine,FALSE,untranslated
sr.,321637,sr.,sr,southern,[UNTRANSLATED] southern,FALSE,untranslated
tipo,318946,tipo,tipo,tiempo,time,TRUE,override
hoy,318874,hoy,hoy,hospitalizar,[UNTRANSLATED] hospitalizar,FALSE,untranslated
días,318147,días,días,dejar,allow / give / quit,TRUE,dict
luego,316333,luego,luego,lucha,fight / struggle,TRUE,dict
allí,313986,allí,allí,allie,[UNTRANSLATED] allie,FALSE,untranslated
mujer,311563,mujer,mujer,muela,[UNTRANSLATED] muela,FALSE,untranslated
nuestro,310353,nuestro,nuestro,novedad,novelty,TRUE,dict
tanto,308198,tanto,tanto,talco,talc,TRUE,dict
cosa,305321,cosa,cosa,cortocircuito,[UNTRANSLATED] cortocircuito,FALSE,untranslated
sabe,305253,sabe,sabe,ryan,[UNTRANSLATED] ryan,FALSE,untranslated
todas,302663,todas,todas,titulación,degree,TRUE,dict
haciendo,298899,haciendo,haciendo,hacer,to do/make,TRUE,override
hijo,298154,hijo,hijo,hiena,hyena,TRUE,dict
dice,297048,dice,dice,dibujar,draw / pencil,TRUE,dict
seguro,296087,seguro,seguro,sediento,[UNTRANSLATED] sediento,FALSE,untranslated
podemos,294383,podemos,podemos,plumero,feather duster,TRUE,dict
debe,292452,debe,debe,deanna,[UNTRANSLATED] deanna,FALSE,untranslated
espera,289591,espera,espera,especulador,[UNTRANSLATED] especulador,FALSE,untranslated
vale,288283,vale,vale,utopía,utopia,TRUE,dict
será,287967,será,será,sergei,[UNTRANSLATED] sergei,FALSE,untranslated
estas,285915,estas,estas,estaras,[UNTRANSLATED] estaras,FALSE,untranslated
toda,283994,toda,toda,titulación,degree,TRUE,dict
haber,283752,haber,haber,génesis,origin / genesis,TRUE,dict
tus,283696,tus,tus,tubérculo,tubercle / tuber,TRUE,dict
amigo,277532,amigo,amigo,amigo,friend / fellow,TRUE,dict
nuestra,273824,nuestra,nuestra,novato,novice / inexperienced,TRUE,dict
buena,272089,buena,buena,buddha,[UNTRANSLATED] buddha,FALSE,untranslated
aún,269890,aún,aún,añejo,[UNTRANSLATED] añejo,FALSE,untranslated
quien,269688,quien,quien,caber,fit,TRUE,dict
estos,267930,estos,estos,estirpe,lineage,TRUE,dict
nombre,264690,nombre,nombre,niñero,nanny,TRUE,dict
tienen,264360,tienen,tienen,theatre,[UNTRANSLATED] theatre,FALSE,untranslated
veces,262197,veces,veces,vapor,steam / vapour,TRUE,dict
mamá,258225,mamá,mamá,malnacido,[UNTRANSLATED] malnacido,FALSE,untranslated
mal,255988,mal,mal,magníficamente,magnificently / superbly,TRUE,dict
buen,255558,buen,buen,budd,[UNTRANSLATED] budd,FALSE,untranslated
durante,252007,durante,durante,dupont,dupont,TRUE,dict
papá,251063,papá,papá,panecillo,bun,TRUE,dict
quería,249429,quería,quería,quemar,burn,TRUE,dict
dije,249282,dije,dije,digestivo,digestive,TRUE,dict
unos,249272,unos,unos,unanimidad,unanimity,TRUE,dict
pasado,249247,pasado,pasado,partidario,adherent / backer,TRUE,dict
forma,247915,forma,forma,for,[UNTRANSLATED] for,FALSE,untranslated
gusta,246115,gusta,gusta,guisante,pea,TRUE,dict
hizo,245925,hizo,hizo,historia,history / story,TRUE,dict
caso,245252,caso,caso,cash,[UNTRANSLATED] cash,FALSE,untranslated
contra,240888,contra,contra,continuo,continuous,TRUE,dict
tarde,240846,tarde,tarde,tandy,[UNTRANSLATED] tandy,FALSE,untranslated
necesito,240791,necesito,necesito,neal,[UNTRANSLATED] neal,FALSE,untranslated
oye,239741,oye,oye,otorgar,award,TRUE,dict
alguna,238669,alguna,alguna,alguacil,bailiff,TRUE,dict
hemos,236016,hemos,hemos,helga,[UNTRANSLATED] helga,FALSE,untranslated
cuenta,235082,cuenta,cuenta,colar,[UNTRANSLATED] colar,FALSE,untranslated
visto,234626,visto,visto,virtual,virtual,TRUE,dict
conmigo,233733,conmigo,conmigo,conjunto,body / group / pool,TRUE,dict
mientras,233013,mientras,mientras,micky,[UNTRANSLATED] micky,FALSE,untranslated
otros,231669,otros,otros,oscuridad,dark / darkness,TRUE,dict
realmente,231221,realmente,realmente,reaccionar,react,TRUE,dict
hora,230432,hora,hora,honolulu,[UNTRANSLATED] honolulu,FALSE,untranslated
problema,230258,problema,problema,prisión,jail / prison / lockup,TRUE,dict
crees,229737,crees,crees,creer,believe / think,TRUE,dict
año,229700,año,año,añadir,add,TRUE,dict
razón,229371,razón,razón,rastrear,track,TRUE,dict
primera,228538,primera,primera,pretexto,pretext,TRUE,dict
cierto,227632,cierto,cierto,ciera,[UNTRANSLATED] ciera,FALSE,untranslated
saber,227254,saber,saber,rábano,radish,TRUE,dict
dicho,225969,dicho,dicho,dibujar,draw / pencil,TRUE,dict
hacerlo,225440,hacerlo,hacerlo,haber,to have (aux.)/there is,TRUE,override
mierda,224926,mierda,mierda,microbio,microbe,TRUE,dict
pues,223512,pues,pues,puck,[UNTRANSLATED] puck,FALSE,untranslated
idea,222982,idea,idea,iberio,[UNTRANSLATED] iberio,FALSE,untranslated
mío,220959,mío,mío,matar,kill,TRUE,dict
e,220351,e,e,decir,to say/tell,TRUE,override
aunque,220211,aunque,aunque,aumentar,boost / increase / raise,TRUE,dict
familia,215124,familia,familia,falso,false / dud,TRUE,dict
hacia,215122,hacia,hacia,hacer,to do/make,TRUE,override
amor,214016,amor,amor,amoniaco,[UNTRANSLATED] amoniaco,FALSE,untranslated
esos,212421,esos,esos,esfínter,sphincter,TRUE,dict
pueden,212072,pueden,pueden,publicar,issue / publish,TRUE,dict
importa,211642,importa,importa,implicación,implication / involvement,TRUE,dict
todavía,208416,todavía,todavía,titulado,[UNTRANSLATED] titulado,FALSE,untranslated
personas,207355,personas,personas,perrito,[UNTRANSLATED] perrito,FALSE,untranslated
policía,207069,policía,policía,podrido,addled / rotten,TRUE,dict
casi,206579,casi,casi,casero,owner / home-made,TRUE,dict
contigo,206465,contigo,contigo,contestar,answer,TRUE,dict
cualquier,206307,cualquier,cualquier,cuajo,rennet,TRUE,dict
demasiado,205046,demasiado,demasiado,demandado,[UNTRANSLATED] demandado,FALSE,untranslated
ven,203236,ven,ven,ver,to see,TRUE,override
serio,202946,serio,serio,separar,part / separate,TRUE,dict
algún,199354,algún,algún,alguno,any / some,TRUE,dict
ve,198486,ve,ve,vanidad,vanity,TRUE,dict
nueva,197917,nueva,nueva,novedoso,new,TRUE,dict
eh,196607,eh,eh,egeo,[UNTRANSLATED] egeo,FALSE,untranslated
lado,196477,lado,lado,l,5,TRUE,dict
manera,195856,manera,manera,mandar,tell / command,TRUE,dict
cabeza,195520,cabeza,cabeza,cabecera,header,TRUE,dict
hombres,194191,hombres,hombres,holder,[UNTRANSLATED] holder,FALSE,untranslated
historia,193715,historia,historia,hipócrita,[UNTRANSLATED] hipócrita,FALSE,untranslated
dentro,190519,dentro,dentro,dar,to give,TRUE,override
sería,188040,sería,sería,serial,serial,TRUE,dict
salir,188038,salir,salir,sala,hall / room / living room,TRUE,dict
debería,186785,debería,debería,debe,[UNTRANSLATED] debe,FALSE,untranslated
van,186422,van,van,valenciano,valencian,TRUE,dict
ciudad,185759,ciudad,ciudad,citar,cite / quote,TRUE,dict
ustedes,184390,ustedes,ustedes,urbanización,urbanisation,TRUE,dict
muchas,183573,muchas,muchas,movilizar,[UNTRANSLATED] movilizar,FALSE,untranslated
poder,182146,poder,poder,plummer,[UNTRANSLATED] plummer,FALSE,untranslated
algunos,181159,algunos,algunos,algun,[UNTRANSLATED] algun,FALSE,untranslated
amigos,181053,amigos,amigos,amigable,amicable,TRUE,dict
chica,179295,chica,chica,chet,[UNTRANSLATED] chet,FALSE,untranslated
mayor,177873,mayor,mayor,matías,[UNTRANSLATED] matías,FALSE,untranslated
sabía,175312,sabía,sabía,saavedra,saavedra,TRUE,dict
chicos,174510,chicos,chicos,chiapas,[UNTRANSLATED] chiapas,FALSE,untranslated
hermano,174414,hermano,hermano,heredar,inherit,TRUE,dict
esas,174267,esas,esas,erróneamente,wrongly,TRUE,dict
primer,174056,primer,primer,pretensión,pretence,TRUE,dict
país,173107,país,país,patti,[UNTRANSLATED] patti,FALSE,untranslated
vaya,172489,vaya,vaya,vance,[UNTRANSLATED] vance,FALSE,untranslated
agua,172356,agua,agua,agrupar,group,TRUE,dict
misma,171495,misma,misma,mireya,[UNTRANSLATED] mireya,FALSE,untranslated
veo,171364,veo,veo,venenoso,poisonous,TRUE,dict
haces,170177,haces,haces,haber,to have (aux.)/there is,TRUE,override
camino,169922,camino,camino,caminante,[UNTRANSLATED] caminante,FALSE,untranslated
persona,169741,persona,persona,perpetuo,perpetual,TRUE,dict
iba,169636,iba,iba,házlo,[UNTRANSLATED] házlo,FALSE,untranslated
realidad,168677,realidad,realidad,raza,breed / race,TRUE,dict
fin,168510,fin,fin,filmoteca,film library,TRUE,dict
importante,167574,importante,importante,implícitamente,implicitly,TRUE,dict
primero,167530,primero,primero,pretzel,[UNTRANSLATED] pretzel,FALSE,untranslated
digo,166604,digo,digo,decir,to say/tell,TRUE,override
horas,166262,horas,horas,honor,honour,TRUE,dict
semana,165909,semana,semana,seguir,be / keep / monitor,TRUE,dict
puerta,165036,puerta,puerta,publicar,issue / publish,TRUE,dict
somos,164983,somos,somos,soltar,drop / release,TRUE,dict
pensé,164934,pensé,pensé,penique,penny,TRUE,dict
bajo,164484,bajo,bajo,bajar,fall / drop / go,TRUE,dict
muerte,164398,muerte,muerte,mudar,[UNTRANSLATED] mudar,FALSE,untranslated
problemas,163433,problemas,problemas,prisma,prism,TRUE,dict
punto,163199,punto,punto,puf,pouffe,TRUE,dict
ah,163190,ah,ah,agarrar,hold,TRUE,dict
pasó,162454,pasó,pasó,pasear,stroll,TRUE,dict
quizá,162117,quizá,quizá,querer,to want,TRUE,override
buenas,161279,buenas,buenas,buddy,[UNTRANSLATED] buddy,FALSE,untranslated
supuesto,161065,supuesto,supuesto,superstición,superstition,TRUE,dict
cuatro,160375,cuatro,cuatro,cuarentena,quarantine,TRUE,dict
da,159390,da,da,cúbico,cubic,TRUE,dict
mano,159322,mano,mano,manifestar,manifest,TRUE,dict
niños,159305,niños,niños,niles,[UNTRANSLATED] niles,FALSE,untranslated
volver,157907,volver,volver,vocablo,word,TRUE,dict
además,157835,además,además,ademán,demeanour,TRUE,dict
señora,157598,señora,señora,seta,mushroom,TRUE,dict
cariño,157329,cariño,cariño,caridad,charity,TRUE,dict
ayuda,157073,ayuda,ayuda,ayacucho,[UNTRANSLATED] ayacucho,FALSE,untranslated
ojos,156143,ojos,ojos,ofrecimiento,[UNTRANSLATED] ofrecimiento,FALSE,untranslated
cinco,155815,cinco,cinco,cigarro,cigar,TRUE,dict
pasar,155741,pasar,pasar,partitura,score,TRUE,dict
general,155361,general,general,gemelo,twin,TRUE,dict
pronto,155069,pronto,pronto,prolongar,prolong,TRUE,dict
debo,154548,debo,debo,deber,homework / duty / have,TRUE,dict
minutos,153924,minutos,minutos,minero,miner / mining,TRUE,dict
sino,153281,sino,sino,simpático,nice,TRUE,dict
gobierno,153247,gobierno,gobierno,glóbulo,globule,TRUE,dict
manos,152657,manos,manos,manifiesto,self-evident,TRUE,dict
presidente,152440,presidente,presidente,presentar,feature / table / introduce,TRUE,dict
muerto,152117,muerto,muerto,mudanza,[UNTRANSLATED] mudanza,FALSE,untranslated
muchos,151773,muchos,muchos,mover,move / shift,TRUE,dict
chico,150641,chico,chico,chiang,[UNTRANSLATED] chiang,FALSE,untranslated
guerra,150278,guerra,guerra,guardián,guardian,TRUE,dict
hice,150151,hice,hice,hervir,boil,TRUE,dict
incluso,149589,incluso,incluso,incitar,incite / prompt,TRUE,dict
medio,149551,medio,medio,med,[UNTRANSLATED] med,FALSE,untranslated
cuál,149002,cuál,cuál,cut,[UNTRANSLATED] cut,FALSE,untranslated
hablando,147959,hablando,hablando,habitación,room / dwelling,TRUE,dict
adiós,147325,adiós,adiós,adivino,[UNTRANSLATED] adivino,FALSE,untranslated
siquiera,147214,siquiera,siquiera,sinclair,[UNTRANSLATED] sinclair,FALSE,untranslated
genial,146594,genial,genial,generalidad,generality,TRUE,dict
fueron,146401,fueron,fueron,frío,cold / chill,TRUE,dict
ello,145509,ello,ello,eliseo,[UNTRANSLATED] eliseo,FALSE,untranslated
rápido,145063,rápido,rápido,rumania,romania,TRUE,dict
equipo,144798,equipo,equipo,epr,[UNTRANSLATED] epr,FALSE,untranslated
dejar,144278,dejar,dejar,dejada,[UNTRANSLATED] dejada,FALSE,untranslated
significa,144035,significa,significa,shultz,[UNTRANSLATED] shultz,FALSE,untranslated
jefe,143984,jefe,jefe,jaula,cage,TRUE,dict
millones,143875,millones,millones,milagroso,[UNTRANSLATED] milagroso,FALSE,untranslated
suerte,143636,suerte,suerte,sucre,[UNTRANSLATED] sucre,FALSE,untranslated
otras,143352,otras,otras,oscurecer,darken / get,TRUE,dict
ayer,143323,ayer,ayer,axl,[UNTRANSLATED] axl,FALSE,untranslated
cuerpo,142880,cuerpo,cuerpo,contar,count / explain / have,TRUE,dict
llegar,142773,llegar,llegar,llamativo,striking,TRUE,dict
mujeres,141630,mujeres,mujeres,mueller,[UNTRANSLATED] mueller,FALSE,untranslated
posible,141531,posible,posible,porteño,[UNTRANSLATED] porteño,FALSE,untranslated
según,141086,según,según,seducir,seduce,TRUE,dict
nuestros,140807,nuestros,nuestros,novedad,novelty,TRUE,dict
quizás,140555,quizás,quizás,querer,to want,TRUE,override
tierra,140549,tierra,tierra,these,[UNTRANSLATED] these,FALSE,untranslated
único,140434,único,único,ésto,[UNTRANSLATED] ésto,FALSE,untranslated
hija,140247,hija,hija,hidráulico,hydraulic,TRUE,dict
ninguna,140049,ninguna,ninguna,nicole,nicole,TRUE,dict
final,139803,final,final,filo,cut / edge,TRUE,dict
cara,139709,cara,cara,capturar,capture,TRUE,dict
niño,139669,niño,niño,nikolai,[UNTRANSLATED] nikolai,FALSE,untranslated
supongo,138657,supongo,supongo,superintendencia,[UNTRANSLATED] superintendencia,FALSE,untranslated
juntos,138569,juntos,juntos,julian,[UNTRANSLATED] julian,FALSE,untranslated
algunas,138298,algunas,algunas,alguien,anybody / anyone / somebody,TRUE,dict
entiendo,138296,entiendo,entiendo,enterrar,bury,TRUE,dict
número,138168,número,número,numérico,numerical / numeric,TRUE,dict
ningún,138155,ningún,ningún,nicotina,nicotine,TRUE,dict
deja,138097,deja,deja,degeneración,degeneration,TRUE,dict
ves,137917,ves,ves,vergonzoso,shameful,TRUE,dict
tío,137775,tío,tío,tener,to have/possess,TRUE,override
cerca,137185,cerca,cerca,cenar,dine,TRUE,dict
corazón,137016,corazón,corazón,coquetear,flirt,TRUE,dict
miedo,136673,miedo,miedo,micah,[UNTRANSLATED] micah,FALSE,untranslated
buenos,135945,buenos,buenos,budín,pudding,TRUE,dict
eran,135785,eran,eran,equivocar,[UNTRANSLATED] equivocar,FALSE,untranslated
haya,135257,haya,haya,hassan,[UNTRANSLATED] hassan,FALSE,untranslated
hubiera,135227,hubiera,hubiera,how,[UNTRANSLATED] how,FALSE,untranslated
feliz,134886,feliz,feliz,fela,[UNTRANSLATED] fela,FALSE,untranslated
