rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,past_relation,past_tense,past_person,past_number,past_context,past_confidence,past_reason,tags
490,dio,dar,he gave; she gave; it gave,he gave; she gave; it gave (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_dar_preterite,past|preterite|third|singular
496,vino,venir,he came; she came; it came,he came; she came; it came (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
497,hiciste,hacer,you did,you did; you made (completed past),yes,manual_english_past_override,past_tense_detected,preterite,second,singular,completed past,high,manual_hacer_preterite,past|preterite|second|singular
498,estaban,estar,they were (state/location/result),they were (state/location/result; ongoing habitual/background past),yes,rewritten_manual_be,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|third|plural
506,esté,estar,I am (present subjunctive; state/location/result),I am (present subjunctive; state/location/result),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|singular_ambiguous
508,tuvo,tener,he had; she had; it had (possession/age/state/obligation),he had; she had; it had (possession/age/state/obligation; completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
527,necesitamos,necesitar,we needed,we needed,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
541,estabas,estar,you were (state/location/result),you were (state/location/result; ongoing habitual/background past),yes,rewritten_manual_be,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|second|singular
547,estuvo,estar,he was; she was; it was (state/location/result),he was; she was; it was (state/location/result; completed past),yes,rewritten_manual_be,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
564,tuve,tener,I had (possession/age/state/obligation),I had (possession/age/state/obligation; completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
611,habían,haber,they had (auxiliary/existence),they had (auxiliary/existence; ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|third|plural
620,di,dar,you say,I gave (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_dar_preterite,past|preterite|first|singular
628,murió,morir,he died; she died; it died,he died; she died; it died (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,medium,ir_stem_change_preterite_3sg,past|preterite|third|singular
651,llegó,llegar,he arrived; she arrived; it arrived,he arrived; she arrived; it arrived (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
672,dejó,dejar,he left; she left; it left,he left; she left; it left (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
690,hacía,hacer,I did,I did; he did; she did; it did; I made; he made; she made; it made (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
718,pudo,poder,he was able to; she was able to; it was able to,he could; she could; it could (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
725,vio,ver,he saw; she saw; it saw,he saw; she saw; it saw (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_ver_preterite,past|preterite|third|singular
753,hubo,haber,there was; there were (auxiliary/existence),there was; there were (auxiliary/existence; completed past),yes,existential_translation_kept,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
764,decía,decir,I said,I said; he said; she said; it said (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
770,sean,ser,they are (present subjunctive; identity/essence/origin/time),they are (present subjunctive; identity/essence/origin/time),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|third|plural
783,pensaba,pensar,I thought,I thought; he thought; she thought; it thought (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
825,seas,ser,you are (present subjunctive; identity/essence/origin/time),you are (present subjunctive; identity/essence/origin/time),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
836,estábamos,estar,we were (state/location/result),we were (state/location/result; ongoing habitual/background past),yes,rewritten_manual_be,past_tense_detected,imperfect,first,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|first|plural
841,parecía,parecer,I seemed,I seemed; he seemed; she seemed; it seemed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
852,hicieron,hacer,they did,they did; they made (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,plural,completed past,high,manual_hacer_preterite,past|preterite|third|plural
855,estuve,estar,I was (state/location/result),I was (state/location/result; completed past),yes,rewritten_manual_be,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
860,encontré,encontrar,I met,I met (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
862,haz,hacer,do (imperative),do (imperative),no,blocked_by_existing_mood_tag,,,,,,,,tú|2nd_person|singular|imperative|affirmative
886,salió,salir,he went out; she went out; it went out,he went out; she went out; it went out (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
903,fuiste,ir,you went,you went (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,manual_ser_ir_preterite,past|preterite|second|singular
908,dijeron,decir,they said,they said (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,plural,completed past,high,manual_j_stem_preterite,past|preterite|third|plural
913,mató,matar,he killed; she killed; it killed,he killed; she killed; it killed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
923,puso,poner,he put; she put; it put,he put; she put; it put (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
933,viste,ver,you saw,you saw (completed past),yes,manual_english_past_override,past_tense_detected,preterite,second,singular,completed past,high,manual_ver_preterite,past|preterite|second|singular
939,pude,poder,I was able to,I could (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
942,creí,creer,I believed,I believed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,y_preterite_family,past|preterite|first|singular
946,tenías,tener,you had (possession/age/state/obligation),you had (possession/age/state/obligation; ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|second|singular
977,llamó,llamar,he summoned; she summoned; it summoned,he summoned; she summoned; it summoned (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
988,tenían,tener,they had (possession/age/state/obligation),they had (possession/age/state/obligation; ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|third|plural
1026,acabó,acabar,he finished; she finished; it finished,he finished; she finished; it finished (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1037,volvió,volver,he returned; she returned; it returned,he returned; she returned; it returned (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
1044,encontramos,encontrar,we met,we met,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
1045,esperaba,esperar,I hoped,I hoped; he hoped; she hoped; it hoped (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
1050,llevó,llevar,he took; she took; it took,he tooked; she tooked; it tooked (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1077,estés,estar,you are (present subjunctive; state/location/result),you are (present subjunctive; state/location/result),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
1099,debía,deber,I owed,I owed; he owed; she owed; it owed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
1103,ocurrió,ocurrir,he happened; she happened; it happened,he happened; she happened; it happened (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
1119,encontró,encontrar,he met; she met; it met,he met; she met; it met (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1130,querías,querer,you desired,you wanted (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|second|singular
1138,quedó,quedar,he was; she was; it was,he was; she was; it was (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1153,creía,creer,I believed,I believed; he believed; she believed; it believed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
1170,estuviera,estar,I was (past subjunctive; state/location/result),I was (past subjunctive; state/location/result),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|imperfect_ra|singular_ambiguous
1182,sucedió,suceder,he happened; she happened; it happened,he happened; she happened; it happened (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
1183,vine,venir,I came,I came (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
1190,empezó,empezar,he started; she started; it started,he started; she started; it started (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1200,hicimos,hacer,we did,we did; we made (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,plural,completed past,high,manual_hacer_preterite,past|preterite|first|plural
1246,tomó,tomar,he took; she took; it took,he tooked; she tooked; it tooked (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1265,hablamos,hablar,we talked,we talked,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
1278,solía,soler,I tended to,I tended to; he tended to; she tended to; it tended to (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
1299,teníamos,tener,we had (possession/age/state/obligation),we had (possession/age/state/obligation; ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,first,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|first|plural
1306,sabías,saber,you knew,you knew (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|second|singular
1316,quise,querer,I desired,I wanted (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
1351,podamos,podar,we are able to,we are able to,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
1353,necesitaba,necesitar,I needed,I needed; he needed; she needed; it needed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
1360,comenzó,comenzar,he began; she began; it began,he began; she began; it began (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1361,dieron,dar,they gave,they gave (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,plural,completed past,high,manual_dar_preterite,past|preterite|third|plural
1392,dejé,dejar,I left,I left (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
1432,llevaba,llevar,I took,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),yes,inflected_english_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
1436,terminó,terminar,he finished; she finished; it finished,he finished; she finished; it finished (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1446,tuvimos,tener,we had (possession/age/state/obligation),we had (possession/age/state/obligation; completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,plural,completed past,high,manual_strong_preterite,past|preterite|first|plural
1474,vayan,ir,they go (present subjunctive),they go (present subjunctive),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|third|plural
1501,hubiese,haber,I had; he had; she had; there was; there were (past subjunctive; auxiliary/existence),I had; he had; she had; there was; there were (past subjunctive; auxiliary/existence),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|imperfect_se|singular_ambiguous
1540,estén,estar,they are (present subjunctive; state/location/result),they are (present subjunctive; state/location/result),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|third|plural
1548,sentía,sentir,I felt,I felt; he felt; she felt; it felt (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
1549,fuimos,ir,we went,we went (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,plural,completed past,high,manual_ser_ir_preterite,past|preterite|first|plural
1556,perdió,perder,he lost; she lost; it lost,he lost; she lost; it lost (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
1565,conocí,conocer,I knew,I knew (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
1581,cayó,caer,he fell; she fell; it fell,he felled; she felled; it felled (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,y_preterite_family,past|preterite|third|singular
1627,escuché,escuchar,I listened to,I listened to (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
1636,quiso,querer,he desired; she desired; it desired,he wanted; she wanted; it wanted (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_strong_preterite,past|preterite|third|singular
1650,perdí,perder,I lost,I lost (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
1673,iban,ir,they went,they went (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,manual_ir_imperfect,past|imperfect|third|plural
1708,habías,haber,you had (auxiliary/existence),you had (auxiliary/existence; ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|second|singular
1711,sentí,sentir,you feel,I felt (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
1733,conocía,conocer,I knew,I knew; he knew; she knew; it knew (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
1739,habló,hablar,he talked; she talked; it talked,he talked; she talked; it talked (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1743,debió,deber,he owed; she owed; it owed,he owed; she owed; it owed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
1744,hayan,haber,they have; they are (present subjunctive; auxiliary/existence),they have; they are (present subjunctive; auxiliary/existence),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|third|plural
1748,entró,entrar,he entered; she entered; it entered,he entered; she entered; it entered (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1750,fuese,ir,I went (past subjunctive),I went (past subjunctive),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|imperfect_se|singular_ambiguous
1757,preguntó,preguntar,he asked; she asked; it asked,he asked; she asked; it asked (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1763,encontraron,encontrar,they met,they met (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
1769,llegamos,llegar,we arrived,we arrived,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
1778,gustaba,gustar,I tasted,I tasted; he tasted; she tasted; it tasted (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
1854,llame,llamar,he summons; she summons; it summons,he summons; she summons; it summons,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|singular_ambiguous
1865,pensó,pensar,he thought; she thought; it thought,he thought; she thought; it thought (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1891,ibas,ir,you went,you went (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,manual_ir_imperfect,past|imperfect|second|singular
1900,vayamos,ir,we go (present subjunctive),we go (present subjunctive),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|first|plural
1905,envió,enviar,he sent; she sent; it sent,he sent; she sent; it sent (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
1908,tuvieron,tener,they had (possession/age/state/obligation),they had (possession/age/state/obligation; completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,plural,completed past,high,manual_strong_preterite,past|preterite|third|plural
1926,dé,dar,he gives; she gives; it gives (present subjunctive),he gives; she gives; it gives (present subjunctive),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|singular_ambiguous
1927,pareció,parecer,he seemed; she seemed; it seemed,he seemed; she seemed; it seemed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
1930,pedí,pedir,you ask for something,I asked for something (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
1932,puse,poner,I put,I put (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
1951,llegaron,llegar,they arrived,they arrived (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
1960,trajo,traer,he brought; she brought; it brought,he brought; she brought; it brought (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_j_stem_preterite,past|preterite|third|singular
1983,llegué,llegar,I arrived,I arrived (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,orthographic_gar_preterite_1sg,past|preterite|first|singular
1998,hablaba,hablar,I talked,I talked; he talked; she talked; it talked (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
2014,llamaba,llamar,I summoned,I summoned; he summoned; she summoned; it summoned (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
2018,supe,saber,I knew,I knew (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,manual_strong_preterite,past|preterite|first|singular
2029,debí,deber,I owed,I owed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
2038,recibió,recibir,he received; she received; it received,he received; she received; it received (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
2051,contó,contar,he counted; she counted; it counted,he counted; she counted; it counted (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
2053,escribió,escribir,he wrote; she wrote; it wrote,he wrote; she wrote; it wrote (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
