count,spanish,pos,flags,usage,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
4116902,hacer,v,,890471:hacer|609859:hace|298899:haciendo|245925:hizo|225440:hacerlo|170177:haces|150151:hice|119359:haré|109515:hago|105315:hacen|103778:hiciste|96236:haga|81124:hagas|70083:hacemos|69106:hacía|68452:hará|67342:haría|55234:hicieron|47539:haremos|38617:hicimos|38133:hazlo|34178:harás|31082:hacerle|30570:hagan|30235:hacerte|27207:hacerme|24124:hiciera|23846:hacerse|23462:hagamos|20955:harán|17029:harías|14958:hacían|12036:hazme|11198:hagámoslo|8625:hacerla|7808:hacernos|7276:ho|7275:hacías|6985:harían|6947:hicieras|6613:haciéndolo|6176:hacéis|5361:hacerles|5178:hágalo|4974:hacíamos|4879:hicieran|4331:hazte|3808:hacerlos|3645:haríamos|2844:haciéndose|2744:hazle|2570:haced|2547:hiciese|2521:hagáis|2485:hacerlas|2361:háganlo|2031:haciéndole|1991:haciéndome|1938:hi|1922:hiciéramos|1876:hágame|1773:hágase|1622:her|1573:hicisteis|1424:hacés|1317:haciéndote|1302:házmelo|1200:hazla|1107:haceros|1002:haréis|967:face|913:hacérselo|869:haznos|851:hacedlo|779:far|687:hágale|673:haciéndola|657:haciéndonos|590:háganse|588:fer|581:háganme|527:hicistes|507:hacérmelo|503:hazlos|500:jace|497:haciéndoles|459:hacértelo|441:hazles|430:fed|426:hicieses|411:haciéndolos|410:haríais|400:hize|394:hágala|388:hágamelo|384:hacíais|336:hiciesen|335:háganle|334:hacedme|321:hacé|286:haciéndolas|277:fo|274:fas|249:hacedle|246:háganos|243:hagámosle|239:fad|231:hizó|225:farías|209:hacelo|194:hiciésemos|191:hazlas|190:fate|186:hágalos|183:hagámosla|181:haceme|176:hacérsela|169:hicierais|169:hágales|158:hen|157:jago|156:hame|153:fen|151:hagámonos|148:fagan|145:fes|129:háganlos|114:jaga|111:fete|111:háganla|109:haceos|106:hacete|101:háganmelo|98:jaz|96:hagás|81:haciéndoselo|81:hacérselas|79:háganoslo|77:hacérnoslo|76:háznoslo|75:fago|75:hacérsele|72:hiciere|72:háztelo|64:hacérmela|61:hacedla|61:hacértela|58:hacérselos|56:hagámosles|54:fanlo|54:háganles|52:fando|49:hágalas|48:fales|48:fazer|48:hacedlos|47:hase|46:hagámoslos|46:hágaselo|44:fala|44:hacedles|43:fare|43:heros|43:házmela|42:hacednos|39:hacédmelo|39:háganlas|36:hacele|34:faron|34:jagan|33:facer|32:hacérmelas|32:hicieseis|31:hágannos|30:haciéndoos|28:hacértelas|27:hido|26:fais|26:hacedlas|25:hicieren|24:fizo|24:haciéndomelo|21:hagámoslas|19:ferme|19:hida|19:háztela|18:faría|17:fice|17:hio|16:faga|16:hacéroslo|16:hicieres|15:faced|15:hacérmelos|15:hamos|14:hacela|14:jizo|13:hacértelos|13:hanse|12:haciéndotelo|12:hacérnosla|12:hágamela|12:házmelas|11:faran|11:faste|11:haziendo|11:herte|11:háganselo|11:hágasela|10:fale|10:hacérseles|10:hieron|9:famos|9:faren|9:fares|9:háganmela|8:facen|8:fería|8:haciéndosela|8:hacédnoslo|8:hanme|8:heremos|8:hágaselas|8:jarán|7:herme|6:hacelos|6:haciéndoselas|6:hacémelo|6:hiciereis|6:hágamelas|6:hágannoslo|6:isiste|5:farla|5:feis|5:hacelas|5:haciéndosele|5:hais|5:hágansela|5:házmelos|5:háztelas|4:faré|4:fazen|4:fese|4:ficieron|4:haciéndoselos|4:hacédmela|4:hacérnoslos|4:hernos|4:hiciéremos|4:háganosla|4:hía|4:jecho,spanish,hacer,hacer,hacer,hacer,to do/make,TRUE,override
3989371,poder,v,,825278:puedo|792545:puede|470464:puedes|369129:podría|294383:podemos|212072:pueden|132930:podía|122548:pueda|83204:podrías|66937:pudo|63447:podríamos|50340:pudiera|49743:pude|48930:podrían|42890:podido|39718:podrá|35242:puedas|33781:podamos|28490:puedan|21083:podrás|20677:podremos|20034:podré|19296:podían|18256:podrán|16520:pudiste|15535:podías|14720:podéis|13096:pudieron|11538:podíamos|10108:pudieras|9695:pudimos|9162:pudieran|7183:pudiéramos|5323:pudiese|2216:pudiendo|2182:podés|2088:podríais|1509:podáis|1410:podréis|973:pudiésemos|907:pudiesen|759:pudieses|356:podíais|321:poderse|302:pudierais|295:poderlo|278:pudiéndose|210:pudisteis|190:poderte|161:poderme|160:poderle|145:poderla|124:podernos|103:poderlos|64:pudiere|63:pudieseis|53:poderlas|50:poderles|33:poderos|22:pudiéndolo|19:podé|15:podérselo|11:pudieren|9:podeos|6:pudiéndosele|6:pudiéremos|5:podida|5:podás|5:podérmelo|5:pudiéndole|5:pudiéndome|5:pudiéndonos|4:podérselos,spanish,poder,poder,poder,poder,to be able to/can,TRUE,override
3894308,para,prep,,3894252:para|56:pora,spanish,para,para,para,para,for (purpose),TRUE,override
3505097,del,contraction,,3505097:del,spanish,del,del,del,del,of the/from the,TRUE,override
3481333,decir,v,,568965:decir|451371:dijo|297048:dice|249282:dije|225969:dicho|166604:digo|120417:dijiste|107034:dices|97488:diciendo|95693:dicen|85896:dime|79843:di|74285:diga|70106:digas|64158:diré|62440:decía|61976:decirle|54567:decirte|52136:dile|51125:dijeron|44179:decirme|44026:diría|32726:decirlo|21605:digamos|18597:dígame|16727:dirá|16014:decirles|14099:decírselo|14076:dijera|12447:dímelo|12230:dilo|11551:digan|11282:dígale|11134:diles|11068:decían|10941:decirnos|10840:decírtelo|10472:dirás|10291:decimos|8726:dijimos|6560:decías|6466:decírmelo|6064:dirías|6012:decirse|5806:dirán|5011:dinos|4959:dichos|4936:diremos|3548:dijeras|3416:decís|3298:diciéndome|3252:diciéndole|2409:díganme|2398:dirían|2375:dígales|2158:díganos|2053:deciros|1989:dígamelo|1825:decíamos|1493:díganle|1477:decidme|1404:dijese|1385:dígaselo|1383:dijeran|1363:dígalo|1130:diciéndote|1012:decid|1007:decidle|990:digáis|929:diríamos|755:dijisteis|739:decírnoslo|731:diciéndoles|722:decime|546:diciéndolo|522:dila|498:diciéndonos|493:digámoslo|492:decirla|457:díganles|456:dínoslo|451:decile|448:dijéramos|402:decirlas|343:díganlo|324:decírselos|278:dijeses|261:diréis|241:decíroslo|224:díganmelo|219:diciéndose|212:decídmelo|203:diz|194:dímela|187:decí|166:dígannos|164:decidles|156:decíais|155:digámosle|152:diciéndoselo|145:díganoslo|138:decidlo|129:díganselo|119:diciéndotelo|113:diríais|112:dijesen|105:dígase|98:decidnos|87:diciéndomelo|84:decirlos|76:decilo|74:dilas|69:dígala|61:decírsela|60:dímelas|54:dite|52:decírmela|49:dígamela|46:decírselas|45:dijerais|43:decímelo|43:decírtela|42:digiste|41:dige|41:digámonos|40:dijésemos|38:digás|34:digámosles|31:dímelos|30:decírtelas|26:diciéndola|25:decírmelas|24:decinos|24:diciéndoos|23:dígaselos|20:dilos|19:diciéndolas|19:dixo|19:dize|18:díganse|17:dezir|16:dijere|15:dígamelas|14:decídnoslo|14:decírnosla|14:dizen|12:decite|12:digeron|12:díganla|11:dítelo|10:dixeron|10:diziendo|10:dínosla|9:decírmelos|9:decírsele|8:decidla|8:dijeseis|8:dígalas|8:dígasela|7:decírtelos|7:dezían|7:digimos|7:díganmela|7:dígaselas|6:dixe|6:dígamelos|4:decila|4:decíos|4:decírnoslas|4:diciéndolos|4:díganosla,spanish,decir,decir,decir,decir,to say/tell,TRUE,override
2989065,este,determiner,,1290741:esta|1144392:este|285915:estas|267930:estos|44:aquesta|27:aqueste|9:aquestos|7:aquestas,spanish,este,este,este,este,this,TRUE,override
2975754,todo,determiner,,1544237:todo|844860:todos|302663:todas|283994:toda,spanish,todo,todo,todo,todo,everything/all,TRUE,override
2824214,mío,determiner,,2589564:mi|220959:mío|13691:míos,spanish,mío,mío,mío,mío,my / mine,TRUE,dict
2819996,pero,conj,,2819996:pero,spanish,pero,pero,pero,pero,but,TRUE,override
2676145,si,conj,,2676145:si,spanish,si,si,si,si,if,TRUE,override
2669267,querer,v,,822885:quiero|524005:quieres|365883:quiere|249429:quería|104978:quieren|71689:querido|71159:queremos|60870:quieras|54110:quiera|49009:quisiera|40682:querías|34787:quise|27718:querer|27473:quiso|20000:querían|19567:querría|13242:queréis|12623:quieran|11806:queríamos|9592:querrá|8791:querrás|8347:queridos|6414:quisieras|6249:querrías|5440:quisiste|5164:queriendo|3709:querés|3481:quisieron|3451:querrán|3318:queramos|2969:quisieran|2577:quisiéramos|2132:queráis|1827:querrían|1756:quisimos|1391:quererte|1352:querré|1223:quererlo|973:quererme|962:querríamos|780:quisiese|736:queríais|576:quererla|373:quizo|306:quererle|258:quiéreme|254:querréis|243:quererse|223:querremos|219:querernos|211:quier|192:querríais|183:quererlos|160:queriéndote|156:quisieses|129:queriéndome|109:queriéndolo|89:quisierais|88:quisiesen|66:queriéndole|64:quisisteis|63:queriéndola|60:quererlas|56:quiérase|53:quiéralo|52:kiero|51:queriéndose|49:queriéndonos|40:quisiésemos|38:quererles|32:quereros|31:quisiere|27:querámoslo|25:quiérelo|23:quiérela|17:queriéndolos|15:quiéranlo|15:quiérete|14:queredme|14:queré|12:queriéndoles|12:quisieres|11:quisieren|10:querás|9:quereme|9:quereos|9:quiéranme|9:quiérele|8:querámonos|8:quisto|8:quiérame|7:querelo|6:querete|6:queriéndoos|6:quisiéremos|5:quiéranse|5:quiérelos|4:queriéndolas,spanish,querer,querer,querer,querer,to want,TRUE,override
2500543,al,contraction,,2500543:al,spanish,al,al,al,al,to the,TRUE,override
2459145,sí,pron,,2459145:sí,spanish,sí,sí,sí,sí,yes,TRUE,override
2404116,como,conj,,2404116:como,spanish,como,como,como,como,like/as,TRUE,override
2217507,ése,pron,,2144243:eso|36324:ése|26328:ésa|3833:ésas|3569:ésos|3048:éso|162:esso,spanish,ése,ése,ése,ése,that,TRUE,dict
2176247,bien,adv,,2176247:bien,spanish,bien,bien,bien,bien,well,TRUE,override
2165223,más,adv,,2165223:más,spanish,más,más,más,más,more,TRUE,override
2102216,ver,v,,529254:ver|234626:visto|203236:ven|171364:veo|131170:vi|74715:verte|67350:vemos|66090:vio|54712:verlo|50008:viste|41186:viendo|35880:verás|33747:veremos|33728:veré|33636:veamos|32788:verme|31709:verla|31151:vea|25534:veía|23719:verá|19934:vieron|18152:vimos|16501:verle|14533:vean|12521:vernos|11934:verlos|10863:veas|10360:verán|10124:verse|8677:viera|6689:vería|5254:verlas|4984:vió|4662:veían|4300:veis|2830:véase|2654:vieras|2637:vistos|2447:vieran|2331:veíamos|2060:veías|1994:veréis|1559:verles|1367:veríamos|1313:verías|1299:verían|1204:viéndolo|1078:viéndote|1075:viese|806:viéramos|746:veer|734:viéndola|700:visteis|695:viéndose|608:veámoslo|608:viéndome|591:viéndonos|469:ved|464:vee|448:véalo|435:veáis|366:veámonos|344:viéndole|306:viéndolos|295:véanse|233:viesen|225:véanlo|199:vieses|152:veámosla|120:vértelas|114:viéndolas|109:véame|95:véanme|90:vido|86:vierais|86:viésemos|78:vérmelas|70:véala|64:veíais|62:viéndoles|55:véanla|54:veámoslas|53:veen|51:viéndoos|47:vedlo|42:veámoslos|40:veríais|39:vieres|37:vérsele|36:véanlos|36:vértelo|35:vérselo|26:vees|24:véalos|23:veredes|23:véanlas|22:vérsela|18:véanos|17:vérnoslas|16:véalas|16:véannos|15:veámosle|14:vértela|13:vedla|13:viere|13:vieseis|11:véale|10:veos|9:vedme|9:vérmelo|9:vérseles|8:vérmela|8:vérselos|7:vedle|6:vieren|6:véanle|5:veelo|5:veí|4:veámoste|4:viéndomelas,spanish,ver,ver,ver,ver,to see,TRUE,override
1949499,tuyo,determiner,,1665803:tu|283696:tus,spanish,tuyo,tuyo,tuyo,tuyo,your / yours,TRUE,dict
1890762,saber,v,,647130:sabes|305253:sabe|227254:saber|175312:sabía|96930:sabemos|88320:saben|40017:saberlo|35156:sabías|31866:sepa|22612:sabido|21976:supe|19937:sepas|15882:supo|15173:sabéis|14787:supiera|13546:sabrá|13167:sabían|10168:sabíamos|10151:sabría|9649:sabiendo|8716:sepan|7987:sabrás|7158:sabremos|6231:supiste|6160:supieras|5165:sabré|5119:sabrán|4377:sepamos|3905:sabés|2942:sabrías|2694:supieran|2624:supimos|2457:supieron|1566:supiese|1437:saberse|1116:supiéramos|954:sabrían|868:sabríamos|771:sabíais|744:sepáis|498:sabréis|451:supieses|328:sabed|296:saberla|273:sabiéndolo|207:supiesen|166:supierais|144:saberlas|132:supiésemos|128:sabiéndose|99:saberme|94:sabríais|84:saberlos|63:supisteis|57:saberte|47:sabé|41:sabernos|40:sabidos|39:sépanlo|36:sábelo|28:sabiéndome|28:supieseis|27:sabelo|23:sépase|22:saberle|20:sabiéndola|13:sabedlo|13:sábete|9:sabiéndole|8:sabiéndote|7:sabiéndonos|7:sabérselas|7:sabérselo|6:sabela|6:sabértelo|6:sepo|6:supiere|5:saberles|5:sabértela|4:saberos|4:sabiéndolos|4:sepámoslo|4:sábetelo,spanish,saber,saber,saber,saber,to know (a fact),TRUE,override
1864980,bueno,adj,,1039956:bueno|272089:buena|255558:buen|161279:buenas|135945:buenos|139:bona|7:wena|7:weno,spanish,bueno,bueno,bueno,bueno,good/well,TRUE,override
1807688,ese,determiner,,752181:ese|668819:esa|212421:esos|174267:esas,spanish,ese,ese,ese,ese,this / that,TRUE,dict
1757245,aquí,adv,,1691911:aquí|65334:aqui,spanish,aquí,aquí,aquí,aquí,here,TRUE,override
1593697,éste,pron,,1379826:esto|94130:éste|73379:ésta|19792:éstos|15279:éstas|11283:ésto|8:aquesto,spanish,éste,éste,éste,éste,this,TRUE,dict
1443869,nosotros,pron,,1021380:nos|398706:nosotros|23783:nosotras,spanish,nosotros,nosotros,nosotros,nosotros,we/us,TRUE,override
1435943,creer,v,,683937:creo|229737:crees|109380:cree|92453:creer|49603:creí|39775:creía|39149:creen|20179:creemos|19059:creerlo|19002:crea|18223:créeme|11859:creas|9592:creyó|7172:creído|6853:crean|5126:creerme|5058:créame|4654:creías|4506:creyendo|4423:creíste|4260:creéis|4219:creían|3741:creerá|3296:creería|3123:creyeron|2970:creíamos|2914:creamos|2763:creerás|2498:creerte|2198:creerán|2138:creyera|2069:creímos|2052:creerías|1896:créanme|1677:creerle|1570:creeme|1542:creé|1031:creeré|801:creerse|698:creedme|680:creés|662:créelo|634:creerían|611:creed|588:creyeras|453:creáis|431:creyeran|420:creérmelo|330:creerla|328:creyese|257:creernos|248:creértelo|238:creyéndose|222:creerles|178:créalo|170:créanlo|162:creíais|147:creyéramos|139:creyéndolo|137:créetelo|106:creelo|105:creeréis|103:creeremos|101:créase|86:creeros|78:creeríais|71:creídos|68:creyesen|67:creyéndote|63:creyéndome|61:creerlas|57:creísteis|51:creeríamos|44:créele|43:creerlos|42:créanos|42:créenos|33:creyeses|31:créemelo|29:creyéndola|26:creyéndole|25:creyésemos|25:créamelo|21:créete|18:creérsela|17:creyerais|16:creérnoslo|15:creértela|14:creedlo|14:créela|13:creyéndoselo|13:créanle|12:creás|12:creéroslo|12:créale|11:creyere|11:creyeseis|11:créaselo|10:creedle|10:creyéndolas|10:creémelo|10:creérmelas|9:creyéndonos|9:créannos|8:creele|8:creenos|8:creérselas|8:creételo|8:créanmelo|7:creednos|7:créeles|6:creyéndoles|5:creyéndotelo|5:creérmela|5:créala|4:creyéndolos|4:créanse|4:créanselo,spanish,creer,creer,creer,creer,believe,TRUE,dict
1389542,ya,adv,,1389442:ya|100:yas,spanish,ya,ya,ya,ya,already,TRUE,override
1386260,o,conj,,1386256:o|4:ò,spanish,o,o,o,o,or,TRUE,override
1363983,dar,v,,159390:da|133102:dar|104868:dio|100541:dado|88513:dame|60442:darle|60427:dan|42212:das|39424:doy|38932:dale|37363:dando|35142:daré|33462:dieron|31909:darme|30345:darte|24749:daba|23343:dará|23172:dé|20090:diste|19785:date|15981:den|15489:daría|14153:darse|12542:darles|12069:damos|11740:darnos|10031:diera|9991:dada|9369:deme|8383:darán|7802:daremos|7780:dimos|7115:dámelo|6859:dió|6801:daban|5785:dándole|5304:dados|5153:danos|5042:darás|4850:demos|4102:dadas|3316:denme|3296:dámela|2844:dieran|2779:denle|2660:dárselo|2554:dales|2552:dele|2350:dese|2293:darías|2256:darían|2106:démosle|1998:dense|1895:daros|1753:dieras|1664:dadme|1633:dándome|1602:dais|1505:daos|1494:dad|1455:darlo|1277:dándose|1220:diese|1186:darla|1090:dándoles|1010:dabas|1007:dadle|978:denos|931:dártelo|901:dándote|867:démelo|781:démonos|690:dábamos|688:dela|663:dándonos|641:dalo|630:deis|618:dármelo|600:dámelas|523:dámelos|484:daríamos|469:diéramos|464:démela|455:dárselos|454:dennos|443:dárselas|391:dártela|376:denles|340:démosles|333:dármela|331:disteis|298:diesen|288:dadnos|279:déselo|262:deles|243:darlas|233:daréis|229:darlos|202:dadles|201:delos|157:dieses|156:delo|148:dártelas|140:dándolo|135:dármelas|130:désela|119:dársele|119:dártelos|119:démelas|114:dala|113:dánoslo|93:démelos|91:dármelos|77:dárnoslo|75:dénselo|70:diésemos|70:dénmelo|69:déselas|58:dierais|58:dánosle|54:dándoselo|51:daríais|49:dándola|47:denlo|46:dádmelo|45:dabais|43:dárnosla|43:déselos|41:dándosela|41:dánosla|39:delas|39:dándoselas|37:démoslo|36:dalas|33:diere|33:dándolas|33:dénmela|31:dadlo|31:dándoos|30:dádmela|29:dárseles|27:dénsela|25:dénmelos|23:dénmelas|18:dádmelos|18:dándosele|18:dénselos|17:dároslo|15:dándolos|15:dénoslo|12:dalos|12:dándomelo|12:dándoselos|12:dárosla|11:dieseis|11:dándomelas|11:dárnoslas|11:dárnoslos|11:dénselas|9:denlos|9:dándotelas|9:dénosla|8:dadla|8:dándotelo|8:démosla|7:dádnoslo|7:dámele|6:dieren|6:dádmelas|6:dándotela|6:dánoslos|5:denla|5:denlas|5:dándoseles|5:dánoslas|4:dándomela|4:dándomelos|4:dároslos|4:dénnoslo|4:dénoslos,spanish,dar,dar,dar,dar,to give,TRUE,override
