rank,lemma,translation
244,año,year
245,razón,reason
246,primera,first
247,cierto,true
248,saber,to know
249,dicho,said; mentioned; aforementioned
250,hacerlo,to do it (masculine)
251,mierda,shit
252,pues,well; so; since; then
253,idea,idea
254,mío,mine; of mine
255,e,and (when next wordd starts with i)
256,aunque,although; even though
257,familia,family
258,hacia,toward; towards
259,amor,love
260,esos,those (masculine plural)
261,pueden,they are able to
262,importa,matters; is important
263,todavía,still; yet (continuation; remaining)
264,personas,person (plural)
265,policía,police officer; police
266,casi,almost; nearly
267,contigo,with you
268,cualquier,any; any kind of
269,demasiado,too; too much
270,ven,come (imperative); they see
271,serio,sober; solemn; serious; earnest
272,algún,some; any (masculine)
273,ve,go (imperative)
274,nueva,new (feminine singular)
275,eh,hey!
276,lado,side
277,manera,way; style; manner; method
278,cabeza,head
279,hombres,man (plural)
280,historia,history
281,dentro,inside
282,sería,I would be (identity/essence/origin/time)
283,salir,to go out
284,debería,I would owe
285,van,they go
286,ciudad,city
287,ustedes,you (formal plural)
288,muchas,much; a lot of (feminine plural)
289,poder,to be able to
290,algunos,some (masculine plural)
291,amigos,friend (masculine plural)
292,chica,female equivalent of chico: girl (feminine singular)
293,mayor,big; large
294,sabía,I knew; he knew; she knew; it knew (ongoing habitual/background past)
295,chicos,small (masculine plural)
296,hermano,brother
297,esas,those (feminine plural)
298,primer,first
299,país,country
300,vaya,expresses surprise
301,agua,water
302,misma,self (feminine singular)
303,veo,I see
304,haces,you do
305,camino,way; route
306,persona,person
307,iba,I went; he went; she went; it went (ongoing habitual/background past)
308,realidad,reality
309,fin,end
310,importante,important
311,primero,first
312,digo,I mean
313,horas,hour (plural)
314,semana,week
315,puerta,door
316,somos,we are (identity/essence/origin/time)
317,pensé,I thought (completed past)
318,bajo,under; below
319,muerte,death
320,problemas,issue; problem; challenge (plural)
321,punto,point
322,pasó,he passed; she passed; it passed (completed past)
323,quizá,maybe; perhaps
324,buenas,hi; hello
325,supuesto,alleged; supposed; self-styled
326,cuatro,four
327,da,gives
328,mano,hand
329,volver,to return
330,además,further; moreover; furthermore; in addition
331,señora,lady
332,cariño,fondness; affection
333,ayuda,aid; help
334,ojos,eye (masculine plural)
335,cinco,five
336,pasar,to happen
337,general,general; overall
338,pronto,soon; quickly
339,debo,I owe
340,minutos,minute (masculine plural)
341,sino,but rather; but instead
342,gobierno,government
343,manos,hand (masculine plural)
344,presidente,president
345,muerto,dead
346,muchos,much; a lot of (masculine plural)
347,chico,small
348,guerra,war; warfare
349,hice,I did; I made (completed past)
350,incluso,even; including
351,medio,half
352,cuál,which; what
353,hablando,talking
354,adiós,goodbye; farewell
355,siquiera,at least; at the least
356,genial,pleasant
357,fueron,they were; they went (ser/ir; completed past)
358,ello,id (neuter)
359,rápido,fast; rapid; quick
360,equipo,team
361,dejar,to leave
362,significa,means
363,jefe,head; chief; president; leader of a business
364,millones,million
365,suerte,luck; fortune
366,otras,other; another (feminine plural)
367,ayer,yesterday
368,cuerpo,body
369,llegar,to arrive
370,mujeres,woman (plural)
371,posible,possible
372,según,according to
373,nuestros,our (masculine plural)
374,quizás,maybe; perhaps
375,tierra,land; ground
376,único,only; sole; single
377,hija,daughter; female equivalent of hijo
378,ninguna,no; none (feminine)
379,final,end
380,cara,face
381,niño,boy; child
382,supongo,I suppose
383,juntos,together (masculine plural)
384,algunas,some (feminine plural)
385,entiendo,I understand
386,número,number
387,ningún,no; none (masculine)
388,deja,leaves; lets
389,ves,you see
390,tío,uncle
391,cerca,near; nigh; close; around
392,corazón,heart
393,miedo,fear
394,buenos,good (masculine plural)
395,eran,they were (identity/essence/origin/time; ongoing habitual/background past)
396,haya,I have; he has; she has; there is; there are (present subjunctive; auxiliary/existence)
397,hubiera,I had; he had; she had; there was; there were (past subjunctive; auxiliary/existence)
398,feliz,happy; merry
399,unas,some (feminine plural)
400,espero,I hope
401,igual,same; equal
402,viene,he comes; she comes; it comes
403,meses,month (plural)
404,sigue,continues; follows
405,dar,to give
406,podía,I could; he could; she could; it could (ongoing habitual/background past)
407,última,last; final (feminine singular)
408,difícil,hard; tough; difficult; challenging
409,os,you all (pronoun)
410,venir,to come
411,vi,I saw (completed past)
412,viejo,old
413,bastante,enough; quite; rather
414,tomar,to take
415,gustaría,I would like
416,cuánto,how much; how many
417,encontrar,to meet
418,adelante,forward
419,justo,just; right
420,sentido,sense; meaning
421,esposa,wife
422,segundo,second
423,grande,big; large
424,allá,over there; there
425,clase,lecture
426,cual,as; like; in the manner of
427,ante,before; in front of
428,juego,play
429,tenido,had (possession/age/state/obligation; past participle masculine singular)
430,pensar,to think
431,pueda,I am able to
432,doctor,physician
433,grupo,group
434,cuidado,watch out!
435,suficiente,enough; sufficient
436,sangre,blood
437,pequeño,small; little
438,dijiste,you said (completed past)
439,trata,deals with; is about; tries
440,haré,I will do
441,último,last; final
442,frente,brow; forehead
443,grandes,big; large (plural)
444,venga,come on; come here
445,llama,calls; flame; llama
446,noches,night (plural)
447,toma,taking; capture; conquest; takeover
448,necesita,you need
449,debes,you owe
450,arriba,over; above
451,vuelta,turn
452,coche,car; automobile
453,tampoco,neither; not either
454,trabajar,to work
455,cuándo,when
456,fuerte,strong
457,seguridad,safety; security
458,mas,but
459,entrar,to enter
460,vivir,to live
461,escucha,listens; listen
462,déjame,leave me
463,pueblo,town; village
464,hijos,son (masculine plural)
465,joven,young; youthful
466,cuanto,as much; however much; whatever quantity
467,hago,I do
468,escuela,school
469,tras,after; behind
470,cree,he creates; she creates; it creates
471,cambio,shift; change
472,luz,light
473,oportunidad,opportunity
474,fui,I went (completed past)
475,sistema,system
476,embargo,distraint
477,teléfono,telephone
478,dices,you say
479,seis,six
480,alto,tall
481,habla,speech
482,fiesta,party
483,loco,mad; nuts; crazy; insane
484,atrás,behind
485,debemos,we owe
486,pregunta,question
487,hacen,they do
488,seguir,to follow
489,quieren,they want
490,dio,he gave; she gave; it gave (completed past)
491,paso,step
492,falta,lack; shortage
493,fácil,easy; facile; simple
494,ido,went; gone (past participle masculine singular)
495,padres,father (plural)
496,vino,he came; she came; it came (completed past)
497,hiciste,you did; you made (completed past)
498,estaban,they were (state/location/result; ongoing habitual/background past)
499,situación,picture; scenario; situation
500,abajo,down; downwards
501,única,only; sole; single (feminine singular)
502,siendo,being (identity/essence/origin/time)
503,modo,way; manner
504,información,information
505,dólares,dollar (plural)
506,esté,I am (present subjunctive; state/location/result)
507,hermana,sister; female equivalent of hermano
508,tuvo,he had; she had; it had (possession/age/state/obligation; completed past)
509,dado,given
510,música,music (feminine singular)
511,paz,peace
512,culpa,fault
513,queda,remains; stays
514,real,royal; regal
515,auto,car; automobile
516,palabra,word
517,deberías,you would owe
518,sola,one; sole; only; single (feminine singular)
519,derecho,straight
520,lista,list; roll
521,partido,broken
522,orden,order
523,exactamente,exactly
524,nacional,national; nationwide
525,listo,smart; clever
526,comida,food
527,necesitamos,we need
528,habría,there would be (auxiliary/existence)
529,libro,book
530,capitán,captain
531,diciendo,saying
532,comer,to eat
533,sabemos,we know
534,lejos,far
535,pasando,passing
536,morir,to die
537,haga,do; make (subjunctive/formal imperative)
538,puesto,job; position; employment
539,calle,street
540,dicen,they say
541,estabas,you were (state/location/result; ongoing habitual/background past)
542,par,even
543,política,politics (feminine singular)
544,malo,bad
545,habitación,room
546,probablemente,likely; probably
547,estuvo,he was; she was; it was (state/location/result; completed past)
548,éste,this one
549,plan,scheme
550,especial,special
551,palabras,word (plural)
552,pequeña,small; little (feminine singular)
553,creer,to believe
554,relación,relation
555,chicas,small (feminine plural)
556,ley,law
557,bebé,baby
558,pensando,thinking
559,conozco,I know
560,simplemente,simply
561,acerca,about; near
562,diez,ten
563,esperar,to wait
564,tuve,I had (possession/age/state/obligation; completed past)
565,centro,center
566,largo,long
567,buscando,seeking
568,cama,bed
569,nuestras,our (feminine plural)
570,recuerdo,memory
571,rey,king
572,voz,voice
573,demás,other; remaining
574,saben,they know
575,mil,one thousand
576,lleva,carries; wears; takes
577,tenga,I have (possession/age/state/obligation)
578,necesitas,you need
579,conseguir,to achieve
580,amo,master
581,propia,own (feminine singular)
582,propio,own
583,sitio,site; place
584,resto,rest; remainder
585,oficina,office
586,libre,free
587,segura,safe; secure (feminine singular)
588,peor,comparative degree of malo: worse
589,estará,he will be; she will be; it will be (state/location/result)
590,poner,to put
591,fuerza,force
592,marido,husband
593,arma,arm; weapon
594,puta,slut; whore; prostitute
595,oído,hearing
596,llevar,to take
597,podrías,you would be able to
598,ejemplo,example
599,mucha,much; a lot of (feminine)
600,control,control
601,esperando,hoping
602,atención,attention
603,don,gift; present
604,fuego,fire
605,llamado,call
606,viaje,voyage
607,dormir,to sleep
608,cuarto,fourth
609,siguiente,following
610,matar,to kill
611,habían,they had (auxiliary/existence; ongoing habitual/background past)
612,hagas,you do
613,ambos,both
614,habrá,there will be (auxiliary/existence)
615,perdido,lost
616,prueba,proof; evidence
617,futuro,future
618,campo,country; countryside
619,deben,they owe
620,di,say (imperative); I gave
621,ellas,they; them
622,vivo,alive; living
623,piensa,thinks
624,semanas,week (plural)
625,edad,age
626,ayudar,to help
627,venido,come (past participle masculine singular)
628,murió,he died; she died; it died (completed past)
629,película,film
630,san,holy; godly
631,maldita,cursed (feminine singular)
632,estados,land; country (masculine plural)
633,niña,girl; female equivalent of niño
634,vista,sight; vision; eyesight
635,junto,together
636,correcto,right; correct
637,llamar,to summon
638,basta,stop!; enough!
639,aire,air
640,encima,on top
641,cielo,sky
642,iré,I will go
643,buscar,to seek
644,programa,program; programme
645,personal,staff; personnel
646,café,coffee; café
647,detrás,behind; at the rear
648,público,public
649,minuto,minute
650,director,conductor
651,llegó,he arrived; she arrived; it arrived (completed past)
652,demonios,the hell; on earth
653,pienso,I think
654,verte,to see you
655,acaba,finishes; ends; just did
656,boca,mouth; oral cavity
657,diga,say; tell (subjunctive/formal imperative)
658,anoche,last night
659,vuelve,you return
660,dirección,direction
661,llamada,call
662,servicio,service
663,ésta,this one
664,idiota,idiot
665,jugar,to play
666,mala,bad (feminine singular)
667,médico,doctor
668,mes,month
669,obra,work
670,asunto,issue; matter; business
671,perder,to lose
672,dejó,he left; she left; it left (completed past)
673,armas,arm; weapon (plural)
674,duro,hard
675,querido,sweetheart
676,preguntas,question (plural)
677,queremos,we want
678,perdón,sorry; pardon me
679,pie,foot
680,mayoría,majority
681,unidos,united (masculine plural)
682,segunda,second (feminine singular)
683,empezar,to start
684,mía,mine; of mine (feminine singular)
685,digas,you say
686,hacemos,we do
687,perro,dog
688,señorita,young woman
689,ropa,robes; garment; clothes; clothing
690,hacía,I did; he did; she did; it did; I made; he made; she made; it made (ongoing habitual/background past)
691,papel,paper
692,sueño,sleep; slumber
693,oficial,official
694,extraño,odd; weird; strange; unusual
695,negro,black
696,jamás,never; ever
697,hará,he will do; she will do; it will do
698,afuera,out; outside
699,sol,sun
700,media,half
701,diablos,hell; heck; damn it
702,necesario,necessary; requisite
703,noticias,news
704,increíble,incredible; unbelievable
705,principio,principle
706,respuesta,reply; answer; response
707,llegado,arrived; received; delivered
708,universidad,college
709,maldito,cursed
710,vemos,we see
711,haría,I would do
712,compañía,company
713,cambiar,to change
714,dolor,pain; ache; tenderness; aching soreness
715,mesa,table
716,mensaje,message
717,nivel,tier; level; height
718,pudo,he could; she could; it could (completed past)
719,decisión,decision
720,línea,line
721,diferente,different
722,aquel,that; that one over there
723,libertad,liberty; freedom
724,alrededor,surroundings
725,vio,he saw; she saw; it saw (completed past)
726,mitad,half
727,espacio,space
728,respecto,regard; respect; relation; connection
729,pena,punishment
730,trabajando,working
731,agente,agent
732,sexo,sex
733,sociedad,society; social order
734,salud,health
735,investigación,investigation
736,suena,sounds
737,proceso,process
738,encontrado,found
739,tratando,treating
740,usar,to use
741,trato,treatment
742,querida,sweetheart (feminine singular)
743,siete,seven
744,blanco,white
745,supone,he supposes; she supposes; it supposes
746,raro,rare
747,consejo,advice; counsel; piece of advice
748,diré,I will say
749,zona,zone; area; district
750,últimos,last; final (masculine plural)
751,mejores,better (plural)
752,hubo,there was; there were (auxiliary/existence; completed past)
753,perfecto,perfect
754,tema,plot; theme
755,reunión,meeting; session; appointment
756,piensas,you think
757,sucede,happens
758,podríamos,we would be able to
759,carta,letter
760,secreto,secret
761,siente,feels; is sorry
762,gusto,taste
763,decía,I said; he said; she said; it said (ongoing habitual/background past)
764,ganar,to gain
765,base,basis
766,odio,hate; hatred; loathing
767,decirle,to say to him or her
768,ocurre,you happen
769,sean,they are (present subjunctive; identity/essence/origin/time)
770,maría,María
771,suelo,dirt; soil; earth; ground
772,silencio,silence
773,daño,damage
774,amiga,friend (feminine singular)
775,pobre,poor
776,partir,to divide
777,asesino,murderous; homicidal
778,entiendes,you understand
779,encuentra,you meet
780,quieras,you want
781,fondo,bottom
782,pensaba,I thought; he thought; she thought; it thought (ongoing habitual/background past)
783,existe,exists
784,darle,to give to him or her
785,dan,they give
786,baño,bath
787,carrera,race (feminine singular)
788,conoces,you know
789,acción,act; deed; action
790,duda,doubt
791,vuelto,returned; come back
792,partes,genitalia (plural)
793,interior,inner
794,tendrá,he will have; she will have; it will have (possession/age/state/obligation)
795,imposible,impossible
796,pagar,to pay
797,mente,mind; intellect
798,divertido,funny; amusing; entertaining
799,sala,room
800,acabo,I just finished; I end
801,negocio,business; enterprise
802,apenas,barely; scarcely
803,ocho,eight
804,próxima,near (feminine singular)
805,ejército,army
806,mar,sea
807,estaré,I will be (state/location/result)
808,cita,date
809,pelo,hair
810,abogado,lawyer; counsel; solicitor
811,diferentes,different (plural)
812,conoce,knows; meets
813,recuerda,you remember
814,asesinato,assassination
815,recuerdas,you remember
816,vive,lives
817,ay,ah!; alas!
818,energía,energy
819,banco,bank
820,arte,art
821,empresa,company
822,foto,photo; photograph
823,normal,fine; regular; standard
824,seas,you are (present subjunctive; identity/essence/origin/time)
825,casos,case (masculine plural)
826,novia,girlfriend (feminine singular)
827,totalmente,totally
828,países,country (plural)
829,izquierda,left
830,conocer,to know
831,proyecto,plan; project
832,estaría,I would be (state/location/result)
833,cámara,camera; chamber
834,causa,cause
835,estábamos,we were (state/location/result; ongoing habitual/background past)
836,cállate,shut up!
837,capaz,able; capable
838,pesar,to weigh
839,iglesia,church
840,parecía,I seemed; he seemed; she seemed; it seemed (ongoing habitual/background past)
841,pruebas,proof; evidence (plural)
842,derecha,right
843,siglo,century
844,mantener,to keep
845,ministro,minister
846,sentir,to feel
847,salvo,safe
848,baja,low; drop; casualty
849,quienes,who (plural)
850,dejado,lax; sloppy
851,hicieron,they did; they made (completed past)
852,caja,box; case
853,profesor,professor
854,estuve,I was (state/location/result; completed past)
855,cargo,charge; burden
856,opinión,opinion
857,verlo,to see it (masculine)
858,decirte,to say to you
859,encontré,I met (completed past)
860,desarrollo,development
861,haz,do; make (imperative)
862,aquella,that; that one over there
863,accidente,accident
864,quiera,wants; want (subjunctive)
865,terminado,finished
866,mercado,market
867,próximo,near
868,total,complete; outright
869,sal,salt; table salt
870,varios,various; several
871,pase,pass; permit
872,cualquiera,anyone; whoever; whomever
873,oro,gold
874,encuentro,meeting; encounter
875,valor,value
876,cena,supper; dinner
877,deseo,wish; desire
878,funciona,works
879,comprar,to buy
880,posición,position
881,estudio,study
882,movimiento,movement
883,finalmente,finally; in the end
884,nuevos,new (masculine plural)
885,salió,he went out; she went out; it went out (completed past)
886,hambre,hunger
887,completamente,completely
888,encanta,you charm
889,formas,form; shape; figure (plural)
890,norte,north; northern
891,aun,even; including; despite (addition; concession)
892,adónde,whither; whereto; to where
893,lamento,lament
894,experiencia,experience
895,debido,owed
896,loca,a madwoman; female equivalent of loco
897,tuyo,yours
898,llega,you arrive
899,vosotros,you all
900,alta,high; tall
901,fuiste,you went (completed past)
902,tipos,kind; type; sort; manner (masculine plural)
903,contacto,contact
904,alma,soul
905,tranquilo,calm; quiet; peaceful; tranquil
906,dijeron,they said (completed past)
907,color,hue; colour
908,justicia,justice
909,placer,to like
910,disculpe,excuse me; pardon me
911,mató,he killed; she killed; it killed (completed past)
912,radio,radio
913,busca,looks for; searches for
914,muertos,dead (masculine plural)
915,pone,he puts; she puts; it puts
916,imagen,image
917,especie,species
918,pudiera,I was able to
919,ex,ex; former
920,llamo,I call; my name is
921,puso,he put; she put; it put (completed past)
922,entra,you enter
923,montón,heap; pile
924,cárcel,prison
925,tienda,tent
926,corte,cut
927,carne,flesh
928,éxito,success
929,conocido,known
930,muchacho,boy
931,viste,you saw (completed past)
932,peligro,peril; danger
933,principal,main; most important
934,delante,before; in front of
935,interesante,interesting
936,sale,leaves; goes out; turns out
937,pude,I could (completed past)
938,común,common; ordinary
939,hablas,speech (plural)
940,creí,I believed (completed past)
941,barco,boat
942,sientes,you feel
943,pies,foot (plural)
944,tenías,you had (possession/age/state/obligation; ongoing habitual/background past)
945,bonito,cute; pretty
946,traje,suit
947,sur,south
948,ataque,attack
949,entendido,understood
950,quisiera,I desired
951,podrían,they would be able to
952,maestro,master
953,jóvenes,young; youthful
954,posibilidad,possibility
955,escuchar,to listen to
956,terminar,to finish
957,diferencia,difference
958,escena,scene
959,humano,human
960,caballeros,horseman (masculine plural)
961,departamento,department
962,datos,data (masculine plural)
963,defensa,defense
964,evitar,to avoid
965,negocios,business; enterprise (masculine plural)
966,simple,simple
967,eras,you were
968,objetivo,objective
969,cabo,end; edge; extremity
970,verdadero,true; real
971,abuela,grandmother; female equivalent of abuelo
972,prensa,press
973,novio,boyfriend
974,canción,song
975,llamó,he summoned; she summoned; it summoned (completed past)
976,haremos,we will do
977,rato,bit; a while
978,gustan,they taste
979,juicio,reason; good judgement
980,estúpido,stupid
981,tonto,stupid
982,puntos,point (masculine plural)
983,relaciones,relation
984,cine,cinema; moviehouse
985,aquellos,those over there
986,tenían,they had (possession/age/state/obligation; ongoing habitual/background past)
987,río,river
988,uso,use
989,condiciones,condition
990,muchachos,boy (masculine plural)
991,especialmente,specially
992,destino,fate; destiny
993,serie,series
994,juez,judge
995,quédate,stay
996,nuevas,new (feminine plural)
997,fuerzas,force (plural)
998,entender,to understand
999,fotos,photo; photograph (masculine plural)
1000,contrario,contrary; opposite
1001,avión,plane; airplane; aeroplane
1002,hermosa,lovely; gorgeous; handsome; beautiful (feminine singular)
1003,matrimonio,marriage
1004,ninguno,none; no one; neither
1005,serán,they will be (identity/essence/origin/time)
1006,televisión,television
1007,cocina,kitchen
1008,edificio,building
1009,tiempos,time (masculine plural)
1010,mismos,self (masculine plural)
1011,dulce,sweet
1012,frío,cold
1013,vieja,old (feminine singular)
1014,sorpresa,surprise
1015,boda,wedding
1016,libros,book (masculine plural)
1017,marcha,march
1018,prisa,rush; hurry; urgency
1019,intento,attempt
1020,piso,floor; ground
1021,interés,interest
1022,precio,price
1023,luis,louis
1024,acabó,he finished; she finished; it finished (completed past)
1025,salida,exit; way out
1026,acá,here
1027,terrible,awful; horrible
1028,primeros,first; former; first one (masculine plural)
1029,humanos,human (masculine plural)
1030,época,era; age; time; epoch
1031,llevo,I take
1032,luna,moon
1033,cuestión,issue; matter; question
1034,resulta,it turns out; results
1035,volvió,he returned; she returned; it returned (completed past)
1036,presencia,presence
1037,entrada,entrance
1038,cumpleaños,birthday
1039,informe,report
1040,central,headquarter
1041,efecto,effect
1042,encontramos,we met
1043,esperaba,I hoped; he hoped; she hoped; it hoped (ongoing habitual/background past)
1044,culo,ass; arse; rear; booty
1045,muerta,dead (feminine singular)
1046,mirando,looking at
1047,miembros,member (masculine plural)
1048,llevó,he/she took; carried
1049,tren,train
1050,decirme,to say to me
1051,abre,you open
1052,necesidad,need
1053,muestra,sample; sampling
1054,caballo,horse
1055,diría,I would say
1056,naturaleza,nature
1057,triste,sad; blue; gloomy; saddened
1058,presente,present
1059,intentando,trying
1060,tía,aunt
1061,teniente,lieutenant
1062,reina,queen
1063,resultados,result; upshot; outcome; finding (masculine plural)
1064,cantidad,amount
1065,español,Spanish
1066,apoyo,support
1067,regalo,gift; present
1068,tengas,you have (possession/age/state/obligation)
1069,misión,quest; mission
1070,carajo,cock
1071,lucha,fray; fight; fighting
1072,paciente,patient
1073,crimen,violent crime
1074,tendrás,you will have (possession/age/state/obligation)
1075,estés,you are (present subjunctive; state/location/result)
1076,broma,joke; prank; practical joke
1077,podido,been able to (past participle masculine singular)
1078,anda,come on; go on; walk
1079,santa,saintess; female equivalent of santo
1080,vestido,dressed
1081,vienen,they come
1082,militar,to participate actively in a political organization
1083,navidad,Christmas
1084,cerebro,brain
1085,drogas,drug (plural)
1086,sacar,to put out
1087,ciento,one hundred
1088,tendría,I would have (possession/age/state/obligation)
1089,metros,meter (masculine plural)
1090,permiso,permission
1091,amable,kind; amiable; gracious
1092,menor,small; little
1093,resultado,result; upshot; outcome; finding
1094,das,you give
1095,varias,various (feminine plural)
1096,víctima,victim
1097,debía,I owed; he owed; she owed; it owed (ongoing habitual/background past)
1098,basura,trash; waste; garbage; rubbish
1099,señal,sign
1100,abuelo,grandfather
1101,ocurrió,he happened; she happened; it happened (completed past)
1102,segundos,second (masculine plural)
1103,temo,I fear
1104,esposo,husband
1105,mirar,to look at
1106,estilo,style
1107,nave,ship; vessel
1108,internacional,international
1109,respeto,respect
1110,maldición,curse
1111,siéntate,sit down
1112,pensado,thought
1113,medios,media; mass media as a whole (masculine plural)
1114,locura,madness; craziness
1115,juro,I swear
1116,prisión,prison
1117,encontró,he met; she met; it met (completed past)
1118,viendo,seeing
1119,servicios,service (masculine plural)
1120,parís,Paris
1121,anterior,former; earlier; previous
1122,momentos,moment; instant (masculine plural)
1123,escribir,to write
1124,prometo,I promise
1125,vidas,life (plural)
1126,miles,thousands
1127,bar,pub; café; coffee shop
1128,querías,you wanted (ongoing habitual/background past)
1129,trabaja,you work
1130,ventana,window
1131,permite,you allow
1132,político,political
1133,memoria,memory
1134,animales,animals
1135,enfermedad,illness; disease
1136,quedó,he was; she was; it was (completed past)
