rank,lemma,original_lemma
453,tampoco,tampoco
454,trabajar,trabajar
455,cuándo,cuándo
456,fuerte,fuerte
457,seguridad,seguridad
458,mas,mas
459,entrar,entrar
460,vivir,vivir
461,escucha,escucha
462,déjame,dejar
463,pueblo,pueblo
464,hijos,hijo
465,joven,joven
466,cuanto,cuanto
467,hago,hacer
468,escuela,escuela
469,tras,tras
470,cree,crear
471,cambio,cambio
472,luz,luz
473,oportunidad,oportunidad
474,fui,ir
475,sistema,sistema
476,embargo,embargo
477,teléfono,teléfono
478,dices,decir
479,seis,seis
480,alto,alto
481,habla,habla
482,fiesta,fiesta
483,loco,loco
484,atrás,atrás
485,debemos,deber
486,pregunta,pregunta
487,hacen,hacer
488,seguir,seguir
489,quieren,querer
490,dio,dar
491,paso,paso
492,falta,falta
493,fácil,fácil
494,ido,ir
495,padres,padre
496,vino,venir
497,hiciste,hacer
498,estaban,estar
499,situación,situación
500,abajo,abajo
501,única,único
502,siendo,ser
503,modo,modo
504,información,información
505,dólares,dólar
506,esté,estar
507,hermana,hermana
508,tuvo,tener
509,dado,dado
510,música,músico
511,paz,paz
512,culpa,culpa
513,queda,queda
514,real,real
515,auto,auto
516,palabra,palabra
517,deberías,deber
518,sola,solo
519,derecho,derecho
520,lista,lista
521,partido,partido
522,orden,orden
523,exactamente,exactamente
524,nacional,nacional
525,listo,listo
526,comida,comida
527,necesitamos,necesitar
528,habría,haber
529,libro,libro
530,capitán,capitán
531,diciendo,decir
532,comer,comer
533,sabemos,saber
534,lejos,lejos
535,pasando,pasar
536,morir,morir
537,haga,hacer
538,puesto,puesto
539,calle,calle
540,dicen,decir
541,estabas,estar
542,par,par
543,política,político
544,malo,malo
545,habitación,habitación
546,probablemente,probablemente
547,estuvo,estar
548,éste,éste
549,plan,plan
550,especial,especial
551,palabras,palabra
552,pequeña,pequeño
553,creer,creer
554,relación,relación
555,chicas,chico
556,ley,ley
557,bebé,bebé
558,pensando,pensar
559,conozco,conocer
560,simplemente,simplemente
561,acerca,acercar
562,diez,diez
563,esperar,esperar
564,tuve,tener
565,centro,centro
566,largo,largo
567,buscando,buscar
568,cama,cama
569,nuestras,nuestro
570,recuerdo,recuerdo
571,rey,rey
572,voz,voz
573,demás,demás
574,saben,saber
575,mil,mil
576,lleva,llevar
577,tenga,tener
578,necesitas,necesitar
579,conseguir,conseguir
580,amo,amo
581,propia,propio
582,propio,propio
583,sitio,sitio
584,resto,resto
585,oficina,oficina
586,libre,libre
587,segura,seguro
588,peor,malo
589,estará,estar
590,poner,poner
591,fuerza,fuerza
592,marido,marido
593,arma,arma
594,puta,puta
595,oído,oído
596,llevar,llevar
597,podrías,poder
598,ejemplo,ejemplo
599,mucha,mucho
600,control,control
601,esperando,esperar
602,atención,atención
603,don,don
604,fuego,fuego
605,llamado,llamado
606,viaje,viaje
607,dormir,dormir
608,cuarto,cuarto
609,siguiente,siguiente
610,matar,matar
611,habían,haber
612,hagas,hacer
613,ambos,ambos
614,habrá,haber
615,perdido,perder
616,prueba,prueba
617,futuro,futuro
618,campo,campo
619,deben,deber
620,di,dar
621,ellas,ellas
622,vivo,vivo
623,piensa,pensar
624,semanas,semana
625,edad,edad
626,ayudar,ayudar
627,venido,venir
628,murió,morir
629,película,película
630,san,santo
631,maldita,maldito
632,estados,estado
633,niña,niña
634,vista,vista
635,junto,junto
636,correcto,correcto
637,llamar,llamar
638,basta,basta
639,aire,aire
640,encima,encima
641,cielo,cielo
642,iré,ir
643,buscar,buscar
644,programa,programa
645,personal,personal
646,café,café
647,detrás,detrás
648,público,público
649,minuto,minuto
650,director,director
651,llegó,llegar
652,demonios,demonios
653,pienso,pienso
654,verte,ver
655,acaba,acabar
656,boca,boca
657,diga,diga
658,anoche,anoche
659,vuelve,volver
660,dirección,dirección
661,llamada,llamada
662,servicio,servicio
663,ésta,éste
664,idiota,idiota
665,jugar,jugar
666,mala,malo
667,médico,médico
668,mes,mes
669,obra,obra
670,asunto,asunto
671,perder,perder
672,dejó,dejar
673,armas,arma
674,duro,duro
675,querido,querido
676,preguntas,pregunta
677,queremos,querer
678,perdón,perdón
679,pie,pie
680,mayoría,mayoría
681,unidos,unido
682,segunda,segundo
683,empezar,empezar
684,mía,mío
685,digas,decir
686,hacemos,hacer
687,perro,perro
688,señorita,señorita
689,ropa,ropa
690,hacía,hacer
691,papel,papel
692,sueño,sueño
693,oficial,oficial
694,extraño,extraño
695,negro,negro
696,jamás,jamás
697,hará,hacer
698,afuera,afuera
699,sol,sol
700,media,media
701,diablos,diablos
702,necesario,necesario
703,noticias,noticia
704,increíble,increíble
705,principio,principio
706,respuesta,respuesta
707,llegado,llegado
708,universidad,universidad
709,maldito,maldito
710,vemos,ver
711,haría,hacer
712,compañía,compañía
713,cambiar,cambiar
714,dolor,dolor
715,mesa,mesa
716,mensaje,mensaje
717,nivel,nivel
718,pudo,poder
719,decisión,decisión
720,línea,línea
721,diferente,diferente
722,aquel,aquel
723,libertad,libertad
724,alrededor,alrededor
725,vio,ver
726,mitad,mitad
727,espacio,espacio
728,respecto,respecto
729,pena,pena
730,trabajando,trabajar
731,agente,agente
732,sexo,sexo
733,sociedad,sociedad
734,salud,salud
735,investigación,investigación
736,suena,sonar
737,proceso,proceso
738,encontrado,encontrado
739,tratando,tratar
740,usar,usar
741,trato,trato
742,querida,querido
743,siete,siete
744,blanco,blanco
745,supone,suponer
746,raro,raro
747,consejo,consejo
748,diré,decir
749,zona,zona
750,últimos,último
751,mejores,mejor
752,hubo,haber
753,perfecto,perfecto
754,tema,tema
755,reunión,reunión
756,piensas,pensar
757,sucede,suceder
758,podríamos,poder
759,carta,carta
760,secreto,secreto
761,siente,sentar
762,gusto,gusto
763,decía,decir
764,ganar,ganar
765,base,base
766,odio,odio
767,decirle,decir
768,ocurre,ocurrir
769,sean,ser
770,maría,marihuana
771,suelo,suelo
772,silencio,silencio
773,daño,daño
774,amiga,amigo
775,pobre,pobre
776,partir,partir
777,asesino,asesino
778,entiendes,entender
779,encuentra,encontrar
780,quieras,querer
781,fondo,fondo
782,pensaba,pensar
783,existe,existir
784,darle,dar
785,dan,dar
786,baño,baño
787,carrera,carrero
788,conoces,conocer
789,acción,acción
790,duda,duda
791,vuelto,vuelto
792,partes,parte
793,interior,interior
794,tendrá,tener
795,imposible,imposible
796,pagar,pagar
797,mente,mente
798,divertido,divertido
799,sala,sala
800,acabo,acabo
801,negocio,negocio
802,apenas,apenas
803,ocho,ocho
804,próxima,próximo
805,ejército,ejército
806,mar,mar.
807,estaré,estar
808,cita,cita
809,pelo,pelo
810,abogado,abogado
811,diferentes,diferente
812,conoce,conocer
813,recuerda,recordar
814,asesinato,asesinato
815,recuerdas,recordar
816,vive,vivir
817,ay,ay
818,energía,energía
819,banco,banco
820,arte,arte
821,empresa,empresa
822,foto,foto
823,normal,normal
824,seas,ser
825,casos,caso
826,novia,novio
827,totalmente,totalmente
828,países,país
829,izquierda,izquierda
830,conocer,conocer
831,proyecto,proyecto
832,estaría,estar
833,cámara,cámara
834,causa,causa
835,estábamos,estar
836,cállate,cállate
837,capaz,capaz
838,pesar,pesar
839,iglesia,iglesia
840,parecía,parecer
841,pruebas,prueba
842,derecha,derecha
843,siglo,siglo
844,mantener,mantener
845,ministro,ministro
846,sentir,sentir
847,salvo,salvo
848,baja,baja
849,quienes,quien
850,dejado,dejado
851,hicieron,hacer
852,caja,caja
853,profesor,profesor
854,estuve,estar
855,cargo,cargo
856,opinión,opinión
857,verlo,ver
858,decirte,decir
859,encontré,encontrar
860,desarrollo,desarrollo
861,haz,hacer
862,aquella,aquel
863,accidente,accidente
864,quiera,querer
865,terminado,terminado
866,mercado,mercado
867,próximo,próximo
868,total,total
869,sal,sal
870,varios,varios
871,pase,pase
872,cualquiera,cualquiera
873,oro,oro
874,encuentro,encuentro
875,valor,valor
876,cena,cena
877,deseo,deseo
878,funciona,funcionar
879,comprar,comprar
880,posición,posición
881,estudio,estudio
882,movimiento,movimiento
883,finalmente,finalmente
884,nuevos,nuevo
885,salió,salir
886,hambre,hambre
887,completamente,completamente
888,encanta,encantar
889,formas,forma
890,norte,norte
891,aun,aun
892,adónde,adónde
893,lamento,lamento
894,experiencia,experiencia
895,debido,debido
896,loca,loca
897,tuyo,tuyo
898,llega,llegar
899,vosotros,vosotros
900,alta,alta
901,fuiste,ir
902,tipos,tipo
903,contacto,contacto
904,alma,alma
905,tranquilo,tranquilo
906,dijeron,decir
907,color,color
908,justicia,justicia
909,placer,placer
910,disculpe,disculpe
911,mató,matar
912,radio,radio
913,busca,busca
914,muertos,muerto
915,pone,poner
916,imagen,imagen
917,especie,especie
918,pudiera,poder
919,ex,ex
920,llamo,llamar
921,puso,poner
922,entra,entrar
923,montón,montón
924,cárcel,cárcel
925,tienda,tienda
926,corte,corte
927,carne,carne
928,éxito,éxito
929,conocido,conocido
930,muchacho,muchacho
931,viste,ver
932,peligro,peligro
933,principal,principal
934,delante,delante
935,interesante,interesante
936,sale,sale
937,pude,poder
938,común,común
939,hablas,habla
940,creí,creer
941,barco,barco
942,sientes,sentar
943,pies,pie
944,tenías,tener
945,bonito,bonito
946,traje,traje
947,sur,sur
948,ataque,ataque
949,entendido,entendido
950,quisiera,querer
951,podrían,poder
952,maestro,maestro
953,jóvenes,joven
954,posibilidad,posibilidad
955,escuchar,escuchar
956,terminar,terminar
957,diferencia,diferencia
958,escena,escena
959,humano,humano
960,caballeros,caballero
961,departamento,departamento
962,datos,dato
963,defensa,defensa
964,evitar,evitar
965,negocios,negocio
966,simple,simple
967,eras,era
968,objetivo,objetivo
969,cabo,cabo
970,verdadero,verdadero
971,abuela,abuela
972,prensa,prensa
973,novio,novio
974,canción,canción
975,llamó,llamar
976,haremos,hacer
977,rato,rato
978,gustan,gustar
979,juicio,juicio
980,estúpido,estúpido
981,tonto,tonto
982,puntos,punto
983,relaciones,relación
984,cine,cine
985,aquellos,aquel
986,tenían,tener
987,río,río
988,uso,uso
989,condiciones,condición
990,muchachos,muchacho
991,especialmente,especialmente
992,destino,destino
993,serie,serie
994,juez,juez
995,quédate,quedar
996,nuevas,nuevo
997,fuerzas,fuerza
998,entender,entender
999,fotos,foto
1000,contrario,contrario
1001,avión,avión
1002,hermosa,hermoso
1003,matrimonio,matrimonio
1004,ninguno,ninguno
1005,serán,ser
1006,televisión,televisión
1007,cocina,cocina
1008,edificio,edificio
1009,tiempos,tiempo
1010,mismos,mismo
1011,dulce,dulce
1012,frío,frío
1013,vieja,viejo
1014,sorpresa,sorpresa
1015,boda,boda
1016,libros,libro
1017,marcha,marcha
1018,prisa,prisa
1019,intento,intento
1020,piso,piso
1021,interés,interés
1022,precio,precio
1023,luis,luis
1024,acabó,acabar
1025,salida,salida
1026,acá,acá
1027,terrible,terrible
1028,primeros,primero
1029,humanos,humano
1030,época,época
1031,llevo,llevar
1032,luna,luna
1033,cuestión,cuestión
1034,resulta,resultar
1035,volvió,volver
1036,presencia,presencia
1037,entrada,entrada
1038,cumpleaños,cumpleaños
1039,informe,informe
1040,central,central
1041,efecto,efecto
1042,encontramos,encontrar
1043,esperaba,esperar
1044,culo,culo
1045,muerta,muerto
1046,mirando,mirar
1047,miembros,miembro
1048,llevó,llevar
1049,tren,tren
1050,decirme,decir
1051,abre,abrir
1052,necesidad,necesidad
1053,muestra,muestra
1054,caballo,caballo
1055,diría,decir
1056,naturaleza,naturaleza
1057,triste,triste
1058,presente,presente
1059,intentando,intentar
1060,tía,tío
1061,teniente,teniente
1062,reina,reina
1063,resultados,resultado
1064,cantidad,cantidad
1065,español,español
1066,apoyo,apoyo
1067,regalo,regalo
1068,tengas,tener
1069,misión,misión
1070,carajo,carajo
1071,lucha,lucha
1072,paciente,paciente
1073,crimen,crimen
1074,tendrás,tener
1075,estés,estar
1076,broma,broma
1077,podido,poder
1078,anda,anda
1079,santa,santa
1080,vestido,vestido
1081,vienen,venir
1082,militar,militar
1083,navidad,navidad
1084,cerebro,cerebro
1085,drogas,droga
1086,sacar,sacar
1087,ciento,ciento
1088,tendría,tener
1089,metros,metro
1090,permiso,permiso
1091,amable,amable
1092,menor,pequeño
1093,resultado,resultado
1094,das,dar
1095,varias,vario
1096,víctima,víctima
1097,debía,deber
1098,basura,basura
1099,señal,señal
1100,abuelo,abuelo
1101,ocurrió,ocurrir
1102,segundos,segundo
1103,temo,temer
1104,esposo,esposo
1105,mirar,mirar
1106,estilo,estilo
1107,nave,nave
1108,internacional,internacional
1109,respeto,respeto
1110,maldición,maldición
1111,siéntate,sentar
1112,pensado,pensar
1113,medios,medio
1114,locura,locura
1115,juro,juro
1116,prisión,prisión
1117,encontró,encontrar
1118,viendo,ver
1119,servicios,servicio
1120,parís,parir
1121,anterior,anterior
1122,momentos,momento
1123,escribir,escribir
1124,prometo,prometer
1125,vidas,vida
1126,miles,miles
1127,bar,bar
1128,querías,querer
1129,trabaja,trabajar
1130,ventana,ventana
1131,permite,permitir
1132,político,político
1133,memoria,memoria
1134,animales,animar
1135,enfermedad,enfermedad
1136,quedó,quedar
1137,pocos,poco
1138,infierno,infierno
1139,piel,piel
1140,doble,doble
1141,caliente,caliente
1142,comunidad,comunidad
1143,cambiado,cambiado
1144,saberlo,saber
1145,flores,flor
1146,gracioso,gracioso
1147,contar,contar
1148,larga,largo
1149,vayas,vaya
1150,guardia,guardia
1151,creía,creer
1152,visita,visita
1153,regresar,regresar
1154,debajo,debajo
1155,podrá,poder
1156,natural,natural
1157,enseguida,enseguida
1158,teatro,teatro
1159,tratar,tratar
1160,oír,oír
1161,mundial,mundial
1162,riesgo,riesgo
1163,leer,leer
1164,inteligente,inteligente
1165,parecer,parecer
1166,nueve,nueve
1167,espalda,espalda
1168,estuviera,estar
1169,operación,operación
1170,coronel,coronel
1171,compañero,compañero
1172,tuya,tuya
1173,doy,dar
1174,verano,verano
1175,maravilloso,maravilloso
1176,derechos,derecho
1177,ideas,idear
1178,esperanza,esperanza
1179,adentro,adentro
1180,sucedió,suceder
1181,vine,venir
1182,hechos,hecho
1183,baile,baile
1184,creen,crear
1185,blanca,blanca
1186,golpe,golpe
1187,educación,educación
1188,empezó,empezar
1189,tendré,tener
1190,hermanos,hermano
1191,pedir,pedir
1192,santo,santo
1193,dale,dale
1194,llamas,llama
1195,beber,beber
1196,viva,vivo
1197,agradable,agradable
1198,hicimos,hacer
1199,julio,julio
1200,domingo,domingo
1201,disculpa,disculpa
1202,isla,isla
1203,azul,azul
1204,pregunto,preguntar
1205,excelente,excelente
1206,completo,completo
1207,victoria,victoria
1208,obras,obra
1209,hablado,hablado
1210,medida,medida
1211,hazlo,hacer
1212,alegro,alegrar
1213,deje,dejo
1214,regreso,regreso
1215,trae,traer
1216,nota,nota
1217,lleno,lleno
1218,importantes,importante
1219,temprano,temprano
1220,superior,superior
1221,hogar,hogar
1222,planeta,planeta
1223,veras,vera
1224,actual,actual
1225,producción,producción
1226,solamente,solamente
1227,cultura,cultura
1228,unidad,unidad
1229,motivo,motivo
1230,hermoso,hermoso
1231,estación,estación
1232,banda,banda
1233,comisión,comisión
1234,dando,dar
1235,modos,modo
1236,cerveza,cerveza
1237,salvar,salvar
1238,bolsa,bolsa
1239,espíritu,espíritu
1240,confianza,confianza
1241,necesitan,necesitar
1242,hablo,hablar
1243,presión,presión
1244,tomó,tomar
1245,cliente,cliente
1246,abrir,abrir
1247,cuántos,cuánto
1248,sueños,sueño
1249,rojo,rojo
1250,enfermo,enfermo
1251,calor,calor
1252,crisis,crisis
1253,estrella,estrella
1254,ojo,ojo
1255,escrito,escrito
1256,pareja,pareja
1257,diario,diario
1258,lindo,lindo
1259,órdenes,orden
1260,peso,peso
1261,importancia,importancia
1262,red,red
1263,hablamos,hablar
1264,acto,acto
1265,ése,ése
1266,cartas,carta
1267,acaso,acaso
1268,grupos,grupo
1269,peligroso,peligroso
1270,vuelva,volver
1271,asuntos,asunto
1272,nombres,nombre
1273,verás,ver
1274,listos,listo
1275,solía,soler
1276,brazos,brazo
1277,teniendo,tener
1278,pista,pista
1279,área,área
1280,sargento,sargento
1281,linda,lindo
1282,empieza,empezar
1283,actividad,actividad
1284,organización,organización
1285,calma,calma
1286,pequeños,pequeño
1287,excepto,excepto
1288,suyo,suyo
1289,té,té
1290,ganas,gana
1291,pelea,pelea
1292,cenar,cenar
1293,capacidad,capacidad
1294,popular,popular
1295,enorme,enorme
1296,teníamos,tener
1297,propósito,propósito
1298,bonita,bonito
1299,puedas,poder
1300,lee,leer
1301,cuello,cuello
1302,brazo,brazo
1303,sabías,saber
1304,mirada,mirada
1305,daré,dar
1306,obtener,obtener
1307,porqué,porqué
1308,llave,llave
1309,población,población
1310,copa,copa
1311,ayudarte,ayudar
1312,recordar,recordar
1313,quise,querer
1314,modelo,modelo
1315,rico,rico
1316,reglas,regla
1317,aprender,aprender
1318,responsable,responsable
1319,calidad,calidad
1320,fe,fe
1321,local,local
1322,quedar,quedar
1323,española,español
1324,leche,leche
1325,empresas,empresa
1326,inglés,inglés
1327,quedan,quedar
1328,piernas,pierna
1329,joder,joder
1330,profesional,profesional
1331,sector,sector
1332,comandante,comandante
1333,costa,costa
1334,pública,público
1335,noticia,noticia
1336,harás,hacer
1337,parar,parar
1338,pan,pan
1339,alguno,alguno
1340,distancia,distancia
1341,humana,humano
1342,lugares,lugar
1343,recursos,recurso
1344,estudios,estudio
1345,definitivamente,definitivamente
1346,fiscal,fiscal
1347,corre,correr
1348,podamos,podar
1349,soldados,soldado
1350,necesitaba,necesitar
1351,veré,ver
1352,zapatos,zapato
1353,equivocado,equivocado
1354,acciones,acción
1355,familiar,familiar
1356,perra,perro
1357,comenzó,comenzar
1358,dieron,dar
1359,razones,razón
1360,parecen,parecer
1361,casas,casa
1362,opción,opción
1363,carácter,carácter
1364,inmediatamente,inmediatamente
1365,caer,caer
1366,máquina,máquina
1367,cuentas,cuenta
1368,figura,figura
1369,líder,líder
1370,intentar,intentar
1371,elección,elección
1372,vienes,venir
1373,batalla,batalla
1374,aspecto,aspecto
1375,voluntad,voluntad
1376,trasero,trasero
1377,colegio,colegio
1378,llaman,llamar
1379,tocar,tocar
1380,vuelo,vuelo
1381,ocupado,ocupado
1382,apuesto,apuesto
1383,verme,verme
1384,tratamiento,tratamiento
1385,depende,depender
1386,decirlo,decir
1387,llena,lleno
1388,diablo,diablo
1389,dejé,dejar
1390,fútbol,fútbol
1391,viernes,viernes
1392,ganado,ganado
1393,jugando,jugar
1394,enemigo,enemigo
1395,verde,verde
1396,luces,luz
1397,grave,grave
1398,campaña,campaña
1399,correr,correr
1400,culpable,culpable
1401,entiende,entender
1402,fecha,fecha
1403,mediante,mediante
1404,tribunal,tribunal
1405,pedido,pedido
1406,bomba,bomba
1407,volveré,volver
1408,cuales,cual
1409,darme,dar
1410,artículo,artículo
1411,absolutamente,absolutamente
1412,análisis,análisis
1413,sepa,sepa
1414,absoluto,absoluto
1415,velocidad,velocidad
1416,conversación,conversación
1417,bailar,bailar
1418,pasada,pasada
1419,tanta,tanto
1420,tuviera,tener
1421,usa,usar
1422,verla,ver
1423,iremos,ir
1424,directamente,directamente
1425,escúchame,escuchar
1426,tomado,tomado
1427,decidido,decidido
1428,clases,clase
1429,llevaba,llevar
1430,películas,película
1431,acceso,acceso
1432,teoría,teoría
1433,terminó,terminar
1434,responsabilidad,responsabilidad
1435,ciencia,ciencia
1436,puertas,puerta
1437,sentimientos,sentimiento
1438,economía,economía
1439,congreso,congreso
1440,comunicación,comunicación
1441,habéis,haber
1442,preocupa,preocupar
1443,tuvimos,tener
1444,intenta,intentar
1445,políticos,político
1446,preparado,preparado
1447,menudo,menudo
1448,vea,ver
1449,hacerle,hacer
1450,objeto,objeto
1451,calles,calle
1452,estrellas,estrella
1453,unión,unión
1454,cierta,cierto
1455,fuente,fuente
1456,repente,repente
1457,tarjeta,tarjeta
1458,pacientes,paciente
1459,confiar,confiar
1460,acabado,acabado
1461,conocimiento,conocimiento
