row_number,column,value
14361,definitions,"Apego excesivo hacia alguna cosa en particular, particularmente a una fuente de dinero fácil.^([cita requerida])"
14361,english_definition,"I attach excessive to something in particular, particularly an easy source of money.^([citation required])"
14683,definitions,Expresión de alegría o sorpresa.^([cita requerida])
14683,english_definition,Expression of joy or surprise.^([required quote])
15593,definitions,"En un proceso aleatorio discreto, la señal que resulta de sustraer al valor del proceso en un instante de tiempo toda la información conocida a partir de los valores del proceso en los instantes previos del cual se quiere calcular la innovación, a saber, se define la innovación de X[n] como V_X[n]=X[n]-𝔼[X[n]|X[n-1],X[n-2],...]."
15593,english_definition,"In a discrete random process, the signal that results from subtracting all known information from the values of the process in a moment of time from the previous moments of which innovation is calculated, namely, X[n] innovation is defined as V_X[n]=X[n]-E[X[n]X[n-1],X[n-2],...]."
16435,definitions,Un tipo de motor.^([definición imprecisa])
16435,english_definition,An engine type.^([imprecise definition])
16517,definitions,Anonimato.^([cita requerida])
16517,english_definition,Anonymity.^([date required])
16537,definitions,"Árbol silvestre, leguminoso el cual alcanza hasta 6 metros de altura. Posee una madera compacta de color pardo amarillento, el cual se emplea en la construcción.^([cita requerida])"
16537,english_definition,"Wild, legume tree, which reaches up to 6 meters high. It has a compact wood of yellowish brown colour, which is used in the construction.^([citation required])"
16606,translation,tired; fed up; fed up [with de]
16759,definitions,Que continúa en el tiempo.^([cita requerida])
16759,english_definition,That continues in time.^([date required])
17419,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
17419,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
17657,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
17657,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
17670,translation,to flirt; to flirt [with con ‘with someone’]
17848,definitions,"Enfermedad crónica del sistema nervioso, en la cual una excitación anormal de la corteza cerebral produce ataques o convulsiones, altera la función cerebral y provoca cambios en el comportamiento^([cita requerida])."
17848,english_definition,"Chronic nervous system disease, in which abnormal excitation of the cerebral cortex causes seizures or seizures, alters brain function and causes changes in behavior^([required quote])."
18733,definitions,"Infortunio, desdicha, suerte infausta, estado o situación triste o deplorable.^([definición imprecisa])"
18733,english_definition,"Informance, misfortune, infamy, sad or deplorable state or situation.^([imprecise definition])"
18772,definitions,"una hoja o carilla, dos planas^([definición imprecisa])."
18772,english_definition,"a sheet or a caribbean, two flat^([imprecise definition])."
20276,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
20276,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
20490,definitions,Animal disecado u otros restos cuidadosamente compuestos con diversas partes de varias especies animales diferentes y que se intentan hacer pasar por los de una especie real.^([cita requerida]).
20490,english_definition,A stuffed animal or other remains carefully composed of various parts of various different animal species and which are intended to be passed on to a real species.^([required quote]).
20817,definitions,"Palabra o conjunto de palabras que son ofensivas, insultantes u obscenas en un determinado ámbito.^([cita requerida])"
20817,english_definition,"Word or set of words that are offensive, insulting or obscene in a certain field.^([citation required])"
20964,definitions,"Árbol silvestre, leguminoso el cual alcanza hasta 6 metros de altura. Posee una madera compacta de color pardo amarillento, el cual se emplea en la construcción.^([cita requerida])"
20964,english_definition,"Wild, legume tree, which reaches up to 6 meters high. It has a compact wood of yellowish brown colour, which is used in the construction.^([citation required])"
21109,definitions,"Insignia militar, especialmente la de las fuerzas montadas, de forma cuadrada o triangular en la que se une el escudo nacional con el símbolo de ese cuerpo y que se lleva en un palo. ^([cita requerida])"
21109,english_definition,"Military badge, especially that of the mounted forces, square or triangular in which the national shield is joined with the symbol of that body and worn on a stick. ^([required quote])"
22897,definitions,"Dicho de una actividad o tarea, extremadamente fácil o sencilla.^([cita requerida])"
22897,english_definition,"Saying an activity or task, extremely easy or simple.^([required quote])"
23319,definitions,"Persona retenida por breve lapso por la autoridad policial en averiguación, o constatación de una circunstancia ^([cita requerida])."
23319,english_definition,"Person held for a short period by the police authority in investigation, or finding a circumstance ^([required quote])."
23550,definitions,Dicho de una planta o de un animal: Que es capaz de desarrollarse bien con pocos recursos o en condiciones adversas.^([cita requerida]).
23550,english_definition,Says a plant or an animal: That is capable of developing well with few resources or under adverse conditions.^([required quote]).
23749,definitions,"Ser mítico -especie de bruja- del folclore argentino, en especial el de la provincia de Entre Ríos. ^([cita requerida])"
23749,english_definition,"Be mythical -a species of witch- of Argentine folklore, especially that of the province of Entre Ríos. ^([required quote])"
23897,definitions,"Joven (usualmente varón) perteneciente a la clase alta o alta-media urbana en España, frecuentemente asociado al conservadurismo cultural, hábitos tradicionales, y estética pulcra. Se identifica por un estilo de vida acomodado, educación en centros privados, vestimenta de marca clásica (como polos, mocasínes, pantalones beige), y modales refinados. El término puede utilizarse de forma irónica o crítica para señalar actitudes elitistas o alejadas de la realidad social mayoritaria. Los cayetanos normalmente tienen nombres comunes españoles como Javier o Pablo^([cita requerida])."
23897,english_definition,"Young (usually male) belonging to the upper or upper-middle urban class in Spain, often associated with cultural conservatism, traditional habits, and neat aesthetics. It is identified by a well-off lifestyle, education in private centers, classical brand clothing (such as poles, mocasins, beige pants), and refined manners. The term can be used ironically or critically to point out elitist or remote attitudes from the mainstream social reality. Cayetans usually have Spanish common names such as Javier or Pablo^([required quote])."
24482,definitions,"Se dice de aparatos, cosas y software fáciles de comprender y utilizar. ^([cita requerida])"
24482,english_definition,"It is said of devices, things and software easy to understand and use. ^([required quote])"
24565,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
24565,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
24974,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
24974,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
25342,definitions,Anonimato.^([cita requerida])
25342,english_definition,Anonymity.^([date required])
25460,definitions,"hooker, whore; toss, shit, flying fuck (used in the phrase ""[no] importar una chingada"")"
25460,english_definition,"hooker, whore; toss, shit, flying fuck (used in the phrase ""[no] importar una chingada"")"
26050,translation,to [with de ‘something’] to supply with
26676,definitions,Copiar y pegar un texto de Internet sin modificarlo.^([cita requerida]).
26676,english_definition,Copy and paste an Internet text without modification.^([date required]).
26867,definitions,Dicho de una planta o de un animal: Que es capaz de desarrollarse bien con pocos recursos o en condiciones adversas.^([cita requerida]).
26867,english_definition,Says a plant or an animal: That is capable of developing well with few resources or under adverse conditions.^([required quote]).
27241,definitions,Que disfruta de un beneficio simple ^([cita requerida]).
27241,english_definition,Enjoying a simple benefit ^([required quote]).
27271,definitions,"Comida preparada con carne de cerdo hervida que se sumerge en una salsa, más o menos caldosa, hecha a base de chile y jitomate.^([cita requerida])."
27271,english_definition,"Food prepared with boiled pork that is immersed in a sauce, more or less broth, made from chili and tomato.^([required quote])."
27611,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
27611,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
28204,definitions,"(Diomedeidae) Familia de aves marinas,de la cual se reconocen 22 especies diferentes de grandes dimensiones del orden de los Procellariiformes. Se pueden encontrar principalmente cerca de la costa antártica, en el Atlántico Sur y en el océano Pacífico.^([definición imprecisa])"
28204,english_definition,"(Diomedeidae) Family of seabirds, of which 22 different species of large size are recognized in the order of Procellariiformes. They can be found mainly near the Antarctic coast, in the South Atlantic and in the Pacific Ocean.^([imprecise definition])"
29440,definitions,Involucrarse en un asunto que conlleva responsabilidad.^([cita requerida])
29440,english_definition,Engage in a matter involving responsibility.^([required])
30022,translation,prone; [with a ‘something’] inclined
30128,definitions,Tipo de montura de factura sencilla usada por los gauchos en la región pampeana.^([cita requerida]).
30128,english_definition,Simple invoice mount type used by gauchos in the Pampean region.^([required quote]).
30147,definitions,"Ser mítico -especie de bruja- del folclore argentino, en especial el de la provincia de Entre Ríos. ^([cita requerida])"
30147,english_definition,"Be mythical -a species of witch- of Argentine folklore, especially that of the province of Entre Ríos. ^([required quote])"
30153,english_definition,"to propel; [with sobre ‘something’] to pounce on, swoop down on"
30622,translation,to graduate; to graduate [with de ‘from’ and en ‘in’]
30744,definitions,"Infortunio, desdicha, suerte infausta, estado o situación triste o deplorable.^([definición imprecisa])"
30744,english_definition,"Informance, misfortune, infamy, sad or deplorable state or situation.^([imprecise definition])"
30803,definitions,"Conformarse, someterse, entregar [alguien] su voluntad, condescender."
30803,english_definition,"To conform, submit, surrender [someone] his will, condescend."
32042,definitions,Cosa inútil y destinada al descarte.^([cita requerida])
32042,english_definition,Useless and discardable.^([required quote])
32515,definitions,Que continúa en el tiempo.^([cita requerida])
32515,english_definition,That continues in time.^([date required])
32517,definitions,Que tiene afición por el comercio o habilidad para realizarlo.^([cita requerida]).
32517,english_definition,Who has a hobby for trade or ability to do so.^([citation required]).
32564,definitions,Prueba deportiva de natación o buceo sin respirar.^([cita requerida])
32564,english_definition,Sport test for uninspired swimming or diving.^([required]]
32656,definitions,Regente de un prostíbulo.^([cita requerida])
32656,english_definition,Regent of a brothel.^([required quote])
33067,definitions,"Llevar₁, transportar₁ [algo o a alguien] de una parte a otra."
33067,english_definition,"Take 1, transport 1 [something or someone] from one side to another."
33517,definitions,"Joven (usualmente varón) perteneciente a la clase alta o alta-media urbana en España, frecuentemente asociado al conservadurismo cultural, hábitos tradicionales, y estética pulcra. Se identifica por un estilo de vida acomodado, educación en centros privados, vestimenta de marca clásica (como polos, mocasínes, pantalones beige), y modales refinados. El término puede utilizarse de forma irónica o crítica para señalar actitudes elitistas o alejadas de la realidad social mayoritaria. Los cayetanos normalmente tienen nombres comunes españoles como Javier o Pablo^([cita requerida])."
33517,english_definition,"Young (usually male) belonging to the upper or upper-middle urban class in Spain, often associated with cultural conservatism, traditional habits, and neat aesthetics. It is identified by a well-off lifestyle, education in private centers, classical brand clothing (such as poles, mocasins, beige pants), and refined manners. The term can be used ironically or critically to point out elitist or remote attitudes from the mainstream social reality. Cayetans usually have Spanish common names such as Javier or Pablo^([required quote])."
33763,definitions,"Insignia militar, especialmente la de las fuerzas montadas, de forma cuadrada o triangular en la que se une el escudo nacional con el símbolo de ese cuerpo y que se lleva en un palo. ^([cita requerida])"
33763,english_definition,"Military badge, especially that of the mounted forces, square or triangular in which the national shield is joined with the symbol of that body and worn on a stick. ^([required quote])"
34035,definitions,"una hoja o carilla, dos planas^([definición imprecisa])."
34035,english_definition,"a sheet or a caribbean, two flat^([imprecise definition])."
34329,definitions,"Bocadillo de salchicha de Viena.^([cita requerida]) Se prepara con la salchicha frita, escabeche, repollo curtido, chile jalapeño y salsas."
34329,english_definition,"Sausage sandwich from Vienna.^([date required]) It is prepared with fried sausage, pickle, tanned cabbage, jalapeno pepper and sauces."
35166,definitions,"Conjunto de los hinchas del Club Colo Colo, o el club mismo.^([cita requerida])."
35166,english_definition,"Set of fans of Club Colo Colo, or the club itself.^([required quote])."
35528,translation,prone; [with a ‘something’] inclined
35597,definitions,"(Zepelio, Torreblanca) Medicamento que contiene el principio activo paliperidona. Se presenta en forma de suspensión inyectable de liberación prolongada en jeringas precargadas.^([cita requerida])"
35597,english_definition,"(Zepelio, Torreblanca) A medicine containing the active substance paliperidone. It is available as a prolonged-release suspension for injection in pre-filled syringes.^([required quote])"
35774,definitions,(Papio) Género de primates catarrinos de la familia Cercopithecidae. Llegan a una longevidad de 30 a 45 años.^([definición imprecisa])
35774,english_definition,(Papio) Catarrine primates of the family Cercopithecidae. They reach longevity of 30 to 45 years.^([imprecise definition])
