rank,lemma,translation_original,translation_pass4
1079,santa,saintess; female equivalent of santo,saint; holy
1083,navidad,Christmas present,Christmas
1097,debía,I owed; he owed; she owed; it owed (ongoing habitual/background past),had to; was supposed to; owed
1103,temo,I have an obsession,I fear
1113,medios,media; mass media as a whole (masculine plural),means; media
1115,juro,ownership,I swear
1120,parís,you give birth (vosotros present indicative),Paris
1127,bar,pub; café; coffee shop,bar; pub
1134,animales,you inspire,animals
1145,flores,flower (plural),flowers
1149,vayas,expresses surprise (plural),you go (subjunctive)
1172,tuya,thuja,yours
1177,ideas,you devise,ideas
1182,hechos,done; completed (masculine plural),facts; deeds; events
1185,blanca,minim; half note,white (feminine singular)
1190,hermanos,brother (masculine plural),brothers; siblings
1192,santo,holy; godly,saint; holy
1193,dale,OK; right; okey dokey,come on; go ahead; give it to him/her
1201,disculpa,excuse,excuse me; sorry
1212,alegro,I make happy,I make happy; I'm glad (in me alegro)
1213,deje,accent,leave; let (subjunctive/formal imperative)
1223,veras,truth; reality (plural),you will see
1244,tomó,he tooked; she tooked; it tooked (completed past),he/she took; drank
1248,sueños,sleep; slumber (masculine plural),dreams
1252,crisis,fit; attack,crisis
1262,red,web; mesh,network; net; web
1269,peligroso,perilous; dangerous,dangerous
1270,vuelva,he returns; she returns; it returns,return; come back (subjunctive)
1294,popular,Pertaining to PP; a Spanish political party,popular
1307,porqué,a reason,reason; why
1310,copa,glass; stemmed glass; goblet or its content,glass; cup
1323,española,a female Spaniard,Spanish; Spanish woman
1343,recursos,writ (masculine plural),resources
1346,fiscal,prosecuting,prosecutor; tax-related; fiscal
1378,llaman,they summon,call
1383,verme,worm,to see me
1385,depende,you depend,depends
1413,sepa,dunno; who knows,know (subjunctive/formal imperative)
1418,pasada,transit; crossing,past; last; passing
1426,tomado,drunk,taken; drunk
1428,clases,tuition (plural),classes
1429,llevaba,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past)
1447,menudo,what,what a...; small; tiny
1456,repente,attack; upsurge,sudden moment (in de repente)
1460,acabado,worn-out,finished; done
1477,tercera,a third,third
1480,salido,sticking out,gone out; left
1488,dejes,accent (plural),leave; let (subjunctive)
1490,llegue,stab; stabbing,arrive (subjunctive)
1494,molesta,vexed; annoyed (feminine singular),bothers; annoys
1495,matado,fugly; hideous,killed
1508,hayas,beech; beech tree (plural),you have (present subjunctive; auxiliary/existence)
1515,interesa,you interest,interests
1531,alegra,you make happy,makes happy; gladdens
1538,toca,kerchief; turban cloth,touches; it's time; plays
1540,aparece,you appear,appears
1549,traído,used; worn,brought
1558,deberían,they would owe,should
1564,estáis,stay,you are (vosotros; state/location/result)
1577,cayó,he felled; she felled; it felled (completed past),fell
1586,policías,polity; police; Civility; public order (plural),police officers; police
1587,dejo,accent,I leave
1594,despierta,awake (feminine singular),awake; wakes up
1611,quedado,been,stayed; remained
1612,llamaré,I will summon,I will call
1616,pido,I ask for something,I ask for; request
1623,escuché,I listened to (completed past),I listened; I heard
1628,caballero,horseman,gentleman
1638,periódico,periodic,newspaper
1648,clara,the white,clear; light
1652,imbécil,dumb,idiot
1655,tamaño,so big; so small; equivalent in size; as big or small,size
1659,llevado,taken,taken; carried
1665,privado,privy; private,private
1675,gana,desire,desire; urge; wins
1681,antiguo,old; former; quondam; erstwhile,old; ancient; former
1692,recién,just,just; newly
1712,nervioso,nerve,nervous
1722,come,you eat,eats
1723,china,pebble; small stone (feminine singular),China; Chinese woman
1737,estudiantes,student (plural),students
1739,debió,he owed; she owed; it owed (completed past),had to; must have
1770,llamadas,call (feminine plural),calls; called (feminine plural)
1774,gustaba,I tasted; he tasted; she tasted; it tasted (ongoing habitual/background past),liked; used to like; was pleasing to
1777,ocurrido,unexpected,happened
1793,sujeto,held; grasped,subject
1808,cuesta,slope,costs; is difficult
1817,dejas,rest (plural),leave; let
1829,alcohol,galena,alcohol
1842,intereses,I interest (plural),interests
1850,llame,he summons; she summons; it summons,call (subjunctive/formal imperative)
1859,plata,argent,silver; money
1866,encantaría,I would charm,I would love
1874,coño,guy; dude; bastard,fuck; damn
1882,temas,plot; theme (plural),topics; themes
1894,bebe,baby,baby; he/she drinks
1901,envió,he sent; she sent; it sent (completed past),sent
1908,antigua,old; former; quondam; erstwhile (feminine singular),old; ancient; former
1930,merece,you deserve,deserves
1945,detente,détente,stop
1966,disco,club; discotheque,disc; record
1984,legal,statutory,legal
1985,siga,he follows; she follows; it follows,continue; follow
2001,paga,payment,pays; payment
2009,federal,Amblyramphus holosericeus; the scarlet-headed blackbird,federal
2010,llamaba,I summoned; he summoned; she summoned; it summoned (ongoing habitual/background past),called; used to call
2023,rayos,heck; goddammit; dang it,damn; heck
2024,déjeme,I leave,let me; excuse me
2025,debí,I owed (completed past),had to; owed
2027,considera,you consider,considers
2028,cerdo,dirty,pig
2050,contento,content,happy; pleased
2055,deber,to owe,to have to; should; duty
2061,tales,story,such; tales
2066,espada,stab; sword; slash and; which is designed to cut,sword
2069,charles,hi-hat,Charles
2077,fantasma,ghost; wraith; phantom,ghost; phantom
2078,fernando,fernet with Coca-Cola,Fernando
2081,leo,I read,I read; Leo
2083,términos,end; terminus (masculine plural),terms
2097,canal,flume; waterway,channel; canal
2122,cuba,barrel,Cuba
2123,metido,nosy,put in; involved
2138,acuerdas,you agree,remember; agree
2145,niñas,girl; female equivalent of niño (plural),girls
2147,cámaras,room (plural),cameras; chambers
2149,privada,cul-de-sac,private
2153,mata,shrub,kills
2171,sienta,you seat,feels; sits
2172,tomé,I tooked (completed past),I took; I drank
2193,saca,bag; large sack,takes out; pulls out
2198,notas,show-off (plural),notes
2203,cura,cure (feminine singular),cure; priest
2204,actor,defendant,actor
2231,mensajes,message (plural),messages
2239,llamé,I summoned (completed past),I called
2243,motor,moving,motor; engine
2245,características,typical; characteristic (feminine plural),characteristics
2262,aguas,be careful!,waters; watch out!
2283,llamando,summoning,calling
2286,gustó,he tasted; she tasted; it tasted (completed past),liked; was pleasing to
2287,finales,you pass on,finals; endings
2290,efectivo,real; true,cash; effective
2293,llámame,be called,call me
2309,mínimo,minimal,minimum; minimal
2331,elegido,chosenness; selectness,chosen; elected
2334,tomas,taking; capture; conquest; takeover (plural),you take
2343,llevaron,they tooked (completed past),they took (completed past)
2344,pongo,orangutan,I put
2351,créeme,I believe,believe me
2356,guapo,arrowroot,handsome; good-looking
2365,chocolate,hashish,chocolate
2366,guapa,arrowroot (feminine singular),pretty; attractive
2374,olvidé,I forgeted (completed past),I forgot (completed past)
2382,ladrón,thievish,thief
2396,doctora,doctor's wife,doctor; female doctor
2403,vueltas,go-back (plural),turns; laps
2407,término,end; terminus,term
2412,vehículo,vehicle,vehicle; car
2430,móvil,mobile,mobile phone; mobile
2433,mama,mamma; breast,mom; breast
2448,mio,meow,mine
2453,normas,rule; norm; standard; touchstone (plural),rules; norms; standards
2455,seria,sober; solemn; serious; earnest (feminine singular),serious (feminine singular)
2463,california,californium (feminine singular),California
2480,rica,fenugreek,rich; tasty; lovely
2482,lisa,mullet; white mullet,smooth; plain; Lisa
2484,muchacha,young lady; female equivalent of muchacho: girl (feminine singular),girl; young woman
2507,libras,you save,pounds
2521,limpia,cleaning; cleansing,clean
2524,señoras,sir; lord; mister,ladies
2538,suponía,I supposed; he supposed; she supposed; it supposed (ongoing habitual/background past),I supposed; was supposed to
2556,franco,franc,frank; candid; Franco
2563,masa,dough,mass; dough; crowd
2577,pete,binky; pacifier,pacifier
2613,ira,ire; anger,anger; wrath
2623,compras,buying; purchase (plural),shopping; purchases
2637,celular,cellular,cell phone; mobile phone
2643,aplicación,rollout; deployment; implementation,application
2647,nerviosa,nerve (feminine singular),nervous
2663,molesto,vexed; annoyed,annoying; bothered
2671,presupuesto,estimated,budget
2681,ocupada,pregnant (feminine singular),busy; occupied
2683,cabrón,billy goat,bastard; asshole; jerk
2722,escucho,to i'm all ears awaiting an explanation,I listen; I hear
2723,puesta,clutch,set; put on; setting
2725,tenia,tapeworm,had
2750,hermanas,sister; female equivalent of hermano (plural),sisters
2761,whisky,cheese,whisky
2768,deberá,he will owe; she will owe; it will owe,will have to; must
2778,menores,small; little (plural),minors; younger
2780,asistente,attendee,assistant
2802,parada,station (feminine singular),stop
2808,directa,high gear,direct
2815,ruego,plea; appeal,plea; request
2823,quedas,quiet; still (feminine plural),you stay
2837,significado,significant,meaning
2859,ja,ha; representation of laughter,ha; haha
2866,caras,dear (feminine plural),faces; expensive (feminine plural)
2889,dicha,luck,said; bliss; happiness
2932,ramón,breadnut,Ramón
2942,considerado,considerate,considered
2943,cobarde,craven; gutless; cowardly; spineless,cowardly; coward
2991,habitual,beans,usual; habitual
2992,ciego,blind person,blind
3000,médica,doctor (feminine singular),doctor; female doctor
3011,ganador,winning,winner
3019,gustas,you taste,you like; are pleasing to
3031,habitantes,inhabiting; said of something that inhabits (plural),inhabitants
3034,miras,target (plural),looks; aims; intentions
3037,pretende,you intend,intends; claims
3043,llamamos,we summoned,call; called
3058,petición,request,request; petition
3059,actualidad,present,present day; current times
3077,plena,a plain; plural plains,full
3085,cheque,checkmark,cheque; check
3101,cometido,mission,mistake; task; offense
3120,entrado,into; after the start of,entered; gone in
3147,recuperación,retrieval,recovery
3150,mentiroso,having the qualities of a liar,liar
3157,pleno,plenary or joint session,full; plenary
3161,mires,resident (plural),look (subjunctive); watch
3169,césar,caesar,César
3170,pánico,pertaining to the god Pan,panic
3184,hijas,daughter; female equivalent of hijo (plural),daughters
3199,gustado,tasted,liked
3207,asqueroso,gross; repulsive; disgusting; distasteful,gross; disgusting
3210,aléjate,estrange you,go away; get away
3227,quita,debt relief,removes; takes away
3231,global,aggregate,global; overall
3234,llamarme,to be called,to call me
3251,coma,comma,comma; coma
3252,individuo,indivisible,individual; person
3269,comprado,buyed,bought
3276,bombas,having a mild temperature (feminine plural),bombs
3281,rumores,you rumor,rumours
3286,cia,you back water,CIA
3299,miss,beauty queen,Miss
3313,santos,holy; godly (masculine plural),saints; holy
3325,bases,you base on,bases
3328,nuclear,to join up,nuclear
3343,fantasmas,ghost; wraith; phantom (plural),ghosts; phantoms
3358,muera,cooking salt,die (subjunctive)
3369,áfrica,African (feminine singular),Africa
3373,prometido,engaged,fiancé; promised
3389,suéltame,I release,let me go
3394,canta,song; singing,sings; sing
3399,peores,comparative degree of malo: worse (plural),worse
3412,género,kind,genre; gender; kind
3413,sufrido,painstaking,suffered
3425,cantante,singing; who sings,singer
3435,llamaste,you summoned (completed past),called
3439,paro,stagnation; freeze up,strike; unemployment; stop
3443,manda,vow,sends; orders; rules
3452,aguanta,that's crazy,hold on; endure
3455,policial,police force; Related to the police,police; police-related
3458,desagradable,unpleasant; distasteful; off-putting; disagreeable,unpleasant; disagreeable
3459,asistencia,audience,assistance; attendance
3467,vehículos,vehicle (masculine plural),vehicles
3468,metas,goal; target (plural),goals; targets
3472,abra,inlet; small bay,open (subjunctive)
3484,jo,stop; whoa,damn; wow
3490,bolas,bowling pin (feminine plural),balls
3507,mato,bushes,I kill
3508,hacienda,ranch,estate; farm; treasury
3519,afecta,prone; affected (feminine singular),affects
3520,eléctrica,electric company,electric; electrical
3522,emocionante,touching,exciting
3523,vengas,you avenge,come (subjunctive)
3542,esposas,handcuffs (plural),wives; handcuffs
3545,cumplido,polite,fulfilled; compliment
3550,buscamos,we seeked,we look for; we search for
3565,dígale,he says; she says; it says,tell him/her; say to him/her
3566,factor,a truth; a trufax; an opinion considered a true fact,factor
3571,miro,portia tree,I look
3573,dispara,you shoot,shoots; shoot
3583,hagámoslo,I do,let's do it
3588,ayudante,auxiliary,assistant; helper
3589,vegas,meadow (plural),plains; meadows
3590,adivina,seer; fortune-teller (feminine singular),guess
3591,ladrones,thievish,thieves
3596,tetas,silly; immature; childishly foolish (feminine plural),tits; breasts
3597,contesta,reply; answer,answers; answer
3610,asegura,you secure,assures; ensures
3623,amén,so be it),amen
3626,criminales,you incriminate,criminals
3627,canto,singing,song; singing; I sing
3634,jefes,parents (plural),bosses; chiefs
3640,guerrero,warlike; bellicose,warrior
3641,sierra,saw,mountain range; saw
3651,salvado,bran,saved; bran
3663,discúlpeme,I excuse,excuse me
3677,buscaba,I seeked; he seeked; she seeked; it seeked (ongoing habitual/background past),was looking for
3685,ma,mum; mom,mom
3693,añadió,he augmented; she augmented; it augmented (completed past),added
3701,tocado,off,touched; headdress
3720,buscas,search (plural),you look for
3721,escolar,to go through a narrow place,school; school-related
3726,adonde,whither; to where,where; to where
3732,sabia,learned (feminine singular),wise (feminine singular); knew (without accent: sabía)
3743,cuarta,synonym of disciplina,fourth
3744,calla,you calm,shut up; be quiet
3755,pare,stop; an act of stopping,stop (formal imperative/subjunctive)
3761,debiste,you owed (completed past),had to; owed
3762,apesta,you stink,stinks
3770,cuestiones,issue; matter; question,issues; matters; questions
3773,berlín,donut,Berlin
3788,olvidó,he forgeted; she forgeted; it forgeted (completed past),forgot
3816,vende,he bandages; she bandages; it bandages,sells
3834,rocas,old (feminine plural),rocks
3844,agenda,planner,diary; planner; agenda
3847,norma,rule; norm; standard; touchstone,rule; norm; standard
3848,pinta,look; appearance,look; appearance; paints
3859,parejas,level (feminine plural),couples; pairs
3861,valencia,valency; valence,Valencia
3874,bebidas,drunk (feminine plural),drinks; beverages
3876,mexicano,compare mexiquense),Mexican
3883,buscado,seeked,searched for
3905,peligrosa,perilous; dangerous (feminine singular),dangerous (feminine singular)
3931,diana,bullseye,target; bullseye
3935,pausa,rest; break; pause,pause
3939,solicitud,request; solicitation,request; application
3950,recurso,writ,resource
3958,llamaron,they summoned (completed past),called
3968,penal,a kind of prison,criminal; penal
3971,tiendas,tent (plural),shops
3980,retiro,retirement,retirement; retreat
4001,dispuesta,game; down; ready; willing (feminine singular),willing; ready
4006,discos,club; discotheque (masculine plural),discs; records
4013,bolsas,dickweed; shithead; dickhead (plural),bags
4016,cuéntame,I count,tell me
4018,considerando,recital,considering
4040,dispositivo,regulatory; dispositive,device
4062,horario,hourly,schedule
4065,disparado,shooted,shot; fired
4071,marta,marten,Marta
4073,rosas,hairless (plural),roses; pink (feminine plural)
4083,resuelto,determined,resolved; settled
4106,repito,I repeat ),I repeat
4126,vendido,sellout,sold
4145,cojones,fuck!; shit!; damn!; damn it!,balls; guts; fucking hell
4158,sida,acquired immune deficiency syndrome,AIDS
4159,tirado,easy-peasy,thrown; lying around
4200,apuestas,handsome; good-looking (feminine plural),bets
4201,directora,head,director; manager
4211,grasa,nutritional fat,fat; grease
4214,as,an ace,ace; as
4237,luce,you shine,shines; looks
4248,importe,cost; price,amount
4253,man,guy; dude,man
4299,repetir,to repeat ),to repeat
4301,llamarte,to be called,to call you
4372,tomaron,they tooked (completed past),they took (completed past)
4420,tomaste,you tooked (completed past),you took (completed past)
4446,llevé,I tooked (completed past),I took (completed past)
4471,copas,glass; stemmed glass; goblet or its content (plural),glasses; cups
4500,llamarlo,to summon it (masculine),to call it (masculine)
4518,deberán,they will owe,will have to
4598,accidentes,accident (plural),accidents
4667,debían,they owed (ongoing habitual/background past),had to; were supposed to
4684,avanzar,to advance happen at an earlier time or date),to advance; to move forward
4719,llamados,call (masculine plural),called; named
4727,cargar,to load ),to load; to carry
4808,cogió,he tooked; she tooked; it tooked (completed past),he took; she took; it took (completed past)
4816,deberes,to owe (plural),homework; duties
4868,gustar,to taste,to like; to be pleasing
4899,nelson,synonym of nel,Nelson
4944,antiguas,old; former; quondam; erstwhile (feminine plural),old; ancient; former
4950,escritores,writer (plural),writers
4973,mexicana,compare mexiquense) (feminine singular),Mexican (feminine singular)
5083,privadas,privy; private (feminine plural),private (feminine plural)
5121,privados,privy; private (masculine plural),private (masculine plural)
5169,mexicanos,compare mexiquense) (masculine plural),Mexican (masculine plural)
5198,vientos,synonym of bien,winds
5272,llevaban,they tooked (ongoing habitual/background past),they took (ongoing habitual/background past)
5315,gustará,he will taste; she will taste; it will taste,will like; will be pleasing to
5385,sobrina,female equivalent of sobrino: niece (feminine singular),niece
5630,olvidaste,you forgeted (completed past),you forgot (completed past)
5810,llamaban,they summoned (ongoing habitual/background past),called; used to call
5899,tomaba,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past)
6120,llamarla,to summon it (feminine),to call her/it
6154,dueña,female equivalent of dueño: owner (feminine singular),owner (feminine singular)
6173,pega,Eurasian magpie,drawback; catch
6176,cogí,I tooked (completed past),I took (completed past)
6273,llamaría,I would summon,would call
6331,muchachas,young lady; female equivalent of muchacho: girl (plural),girls; young women
6414,debieron,they owed (completed past),had to
6443,cayeron,they felled (completed past),they fell (completed past)
6528,buscó,he seeked; she seeked; it seeked (completed past),he looked for; she looked for; it looked for (completed past)
6668,agrega,you add,adds
6860,agustín,synonym of a gusto,Agustín
6973,descarga,unloading,download; unloading
6992,llevaste,you tooked (completed past),you took (completed past)
6996,cabrones,billy goat,bastards; assholes
7065,andas,a bier or small platform (plural),you walk; you're going
7150,deportiva,synonym of zapatilla de deporte,sports; athletic (feminine singular)
7202,gustaban,they tasted (ongoing habitual/background past),liked; used to like; were pleasing to
7224,debías,you owed (ongoing habitual/background past),had to; were supposed to
7269,llamará,he will summon; she will summon; it will summon,will call
7274,caía,I felled; he felled; she felled; it felled (ongoing habitual/background past),I fell; he fell; she fell; it fell (ongoing habitual/background past)
7357,mueras,cooking salt (plural),you die; he dies; she dies; it dies (present subjunctive)
7415,quienquiera,whoever; whomever,whoever; anyone who
7484,compramos,we buyed,we bought
7600,llamaremos,we will summon,will call
7622,gustos,taste (masculine plural),tastes; preferences
7769,cargando,loading ),loading; carrying
7839,niñita,girl; female equivalent of niño,little girl
7890,debíamos,we owed (ongoing habitual/background past),had to
7949,chi,synonym of sí,yes
8086,tenias,tapeworm (plural),you had (ongoing habitual/background past)
8101,debéis,you owe (vosotros present indicative),you must; you should
8123,denominado,named; called; entitled; denominated,named; called
8529,llamarle,to summon to him or her,to call him/her
9159,olvidaba,I forgeted; he forgeted; she forgeted; it forgeted (ongoing habitual/background past),I forgot; he forgot; she forgot; it forgot (ongoing habitual/background past)
9350,convocado,called,summoned; called together
9406,buscaban,they seeked (ongoing habitual/background past),they looked for (ongoing habitual/background past)
9418,abuelita,grandmother; female equivalent of abuelo,grandma; grandmother
9511,llámalo,summon it (masculine),call him/it
9753,placeres,to like (plural),pleasures
9874,deberás,you will owe,you will have to
9895,olvidamos,we forgeted,we forgot
10148,denominada,named; called; entitled; denominated (feminine singular),named; called (feminine singular)
10495,bocas,synonym of bocazas (plural),mouths
10546,pos,synonym of pues,well; so
10654,ademas,synonym of ademe (plural),also; besides
10685,cogiste,you tooked (completed past),you took (completed past)
10692,repita,he repeats ); she repeats ); it repeats ),I repeat; you repeat; he repeats; she repeats; it repeats; you repeat (formal) (present subjunctive)
10727,debida,owed (feminine singular),due; owed (feminine singular)
11126,extremidades,end; extremity ) (plural),extremities; limbs
11161,repetirlo,to repeat ) it (masculine),to repeat it (masculine)
11405,ratos,bit; a while (masculine plural),whiles; little whiles
11801,guapas,arrowroot (feminine plural),pretty; attractive (feminine plural)
11867,llevabas,you tooked (ongoing habitual/background past),you took (ongoing habitual/background past)
11957,repetía,I repeated ); he repeated ); she repeated ); it repeated ) (ongoing habitual/background past),I repeated; he repeated; she repeated; it repeated (ongoing habitual/background past)
12271,cogieron,they tooked (completed past),they took (completed past)
12310,guapos,arrowroot (masculine plural),handsome; good-looking (masculine plural)
12460,gustarle,to taste to him or her,to be pleasing to him/her
12621,olvidaron,they forgeted (completed past),they forgot (completed past)
12674,ratito,bit; a while,little while; moment
12869,buscabas,you seeked (ongoing habitual/background past),you looked for (ongoing habitual/background past)
12998,bikini,ham and cheese sandwich,bikini
13201,gustaron,they tasted (completed past),liked; were pleasing to
13258,convocó,he called; she called; it called (completed past),he summoned; she summoned; it summoned (completed past)
13418,buscaron,they seeked (completed past),they looked for (completed past)
13709,llamarlos,to summon them (masculine),to call them
13812,pegas,Eurasian magpie (plural),drawbacks; catches
13885,llevábamos,we tooked (ongoing habitual/background past),we took (ongoing habitual/background past)
13940,deberemos,we will owe,we will have to
13996,llamarás,you will summon,you will call
14096,gustarme,to taste me,to be pleasing to me
14344,caían,they felled (ongoing habitual/background past),they fell (ongoing habitual/background past)
14400,josefina,female equivalent of josefino (feminine singular),Josefina
14615,llámala,summon it (feminine),call her/it
14710,tomaban,they tooked (ongoing habitual/background past),they took (ongoing habitual/background past)
15183,cargó,he loaded ); she loaded ); it loaded ) (completed past),he loaded; she loaded; it loaded (completed past)
15276,llamarán,they will summon,they will call
15303,mexicanas,compare mexiquense) (feminine plural),Mexican (feminine plural)
15349,gustarte,to taste you,to be pleasing to you
15527,llamabas,you summoned (ongoing habitual/background past),you called (ongoing habitual/background past)
15569,montesinos,mountain-; synonym of montés (masculine plural),Montesinos
15730,buscaste,you seeked (completed past),you looked for (completed past)
16124,purgatorio,synonym of purgativo,purgatory
16384,deberé,I will owe,I will have to
16495,repetirse,to repeat ),to repeat oneself; to recur
17068,llamábamos,we summoned (ongoing habitual/background past),we called (ongoing habitual/background past)
17094,llamarías,you would summon,you would call
17332,denominados,named; called; entitled; denominated (masculine plural),named; called (masculine plural)
17375,disparamos,we shooted,we shot
17722,llamarnos,to be called,to call us
17831,buscábamos,we seeked (ongoing habitual/background past),we looked for (ongoing habitual/background past)
17862,gustando,tasting,liking; being pleasing
17998,burrito,Aloysia polystachya,burrito; little donkey
18183,cogía,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past)
18391,llamame,I summon,call me
18458,gustabas,you tasted (ongoing habitual/background past),you liked; used to like; were pleasing to
18479,condicionado,synonym of acondicionado,conditioned
18581,pedófilo,pedophilic who is sexually attracted to children ),pedophile; pedophilic
19004,santísima,holy; godly (feminine singular),most holy
19128,debidas,owed (feminine plural),due; owed (feminine plural)
19357,santas,holy; godly (feminine plural),saints; holy
19706,abuelas,grandmother; female equivalent of abuelo (plural),grandmothers
19890,cargan,they load ),they load; they carry
20130,condicionada,synonym of acondicionado (feminine singular),conditioned (feminine singular)
20168,llamáis,you summon (vosotros present indicative),you call (vosotros present indicative)
20755,repetimos,we repeated ),we repeat; we repeated
