lemma,count
[UNTRANSLATED] nt,616936
add,611574
gabble / talk / discuss,609859
use,604495
[UNTRANSLATED] hobart,603263
move / shift,599601
to want,596225
mediocre,577793
to see,577140
rush / decide,568965
márquez,562903
to say/tell,560489
[UNTRANSLATED] neuro,555431
to be (state/location),551731
[UNTRANSLATED] fastidiar,549447
[UNTRANSLATED] set,542633
dutch / dutchman / dutchwoman,540236
offensive,536659
sheriff,535920
poisonous,529254
suit / join / unite,529067
to want,524005
[UNTRANSLATED] shinichi,521986
gabble / talk / discuss,512587
money,509312
[UNTRANSLATED] hart,507560
preliminary draft,506316
allow / give / quit,506052
discover / find / unveil,502267
temple,498611
pliny / plinio,489944
[UNTRANSLATED] cortázar,484381
[UNTRANSLATED] teté,483867
darken / get,482966
peephole,478580
[UNTRANSLATED] halo,478219
[UNTRANSLATED] hearst,474909
algorithm,470767
advert / advertising / publicity,470464
[UNTRANSLATED] ahumado,456119
dignity,451371
[UNTRANSLATED] estan,448651
come / go / step,448607
nymph,446359
[UNTRANSLATED] toscano,441225
injection,439955
release / give,433246
look / glance / watch,429362
[UNTRANSLATED] saul,421711
agree / remember / remind,418814
darken / get,412548
paralyse,410169
donation,409601
[UNTRANSLATED] elite,408528
[UNTRANSLATED] estafar,402058
[UNTRANSLATED] mujerzuela,399953
generate,399821
[UNTRANSLATED] nora,398706
hear,396287
[UNTRANSLATED] estacionar,392772
turnip,389461
[UNTRANSLATED] súplica,389345
[UNTRANSLATED] leni,380802
parity,377788
shelley,376857
bother / annoy / pester,376691
poor,369129
ore,367335
ministerial,366113
[UNTRANSLATED] querella,365883
[UNTRANSLATED] fräulein,365550
[UNTRANSLATED] graduado,364639
fight / struggle,358565
live / inhabit,357328
season,350961
to have/possess,350059
deal / treat,349324
novel,347157
participate / take,339032
assessment / estimation,336124
[UNTRANSLATED] cachetada,334232
[UNTRANSLATED] clarence,331173
resignation,330904
male chauvinist / male chauvinistic,325343
[UNTRANSLATED] maxine,324759
[UNTRANSLATED] southern,321637
time,318946
[UNTRANSLATED] hospitalizar,318874
allow / give / quit,318147
fight / struggle,316333
[UNTRANSLATED] allie,313986
[UNTRANSLATED] muela,311563
novelty,310353
talc,308198
[UNTRANSLATED] cortocircuito,305321
[UNTRANSLATED] ryan,305253
degree,302663
to do/make,298899
hyena,298154
draw / pencil,297048
[UNTRANSLATED] sediento,296087
feather duster,294383
[UNTRANSLATED] deanna,292452
[UNTRANSLATED] especulador,289591
utopia,288283
[UNTRANSLATED] sergei,287967
[UNTRANSLATED] estaras,285915
degree,283994
origin / genesis,283752
tubercle / tuber,283696
friend / fellow,277532
novice / inexperienced,273824
[UNTRANSLATED] buddha,272089
[UNTRANSLATED] añejo,269890
fit,269688
lineage,267930
nanny,264690
[UNTRANSLATED] theatre,264360
steam / vapour,262197
[UNTRANSLATED] malnacido,258225
magnificently / superbly,255988
[UNTRANSLATED] budd,255558
dupont,252007
bun,251063
burn,249429
digestive,249282
unanimity,249272
adherent / backer,249247
[UNTRANSLATED] for,247915
pea,246115
history / story,245925
[UNTRANSLATED] cash,245252
continuous,240888
[UNTRANSLATED] tandy,240846
[UNTRANSLATED] neal,240791
award,239741
bailiff,238669
[UNTRANSLATED] helga,236016
[UNTRANSLATED] colar,235082
virtual,234626
body / group / pool,233733
[UNTRANSLATED] micky,233013
dark / darkness,231669
react,231221
[UNTRANSLATED] honolulu,230432
jail / prison / lockup,230258
believe / think,229737
add,229700
track,229371
pretext,228538
[UNTRANSLATED] ciera,227632
radish,227254
draw / pencil,225969
to have (aux.)/there is,225440
microbe,224926
[UNTRANSLATED] puck,223512
[UNTRANSLATED] iberio,222982
kill,220959
to say/tell,220351
boost / increase / raise,220211
false / dud,215124
to do/make,215122
[UNTRANSLATED] amoniaco,214016
sphincter,212421
issue / publish,212072
implication / involvement,211642
[UNTRANSLATED] titulado,208416
[UNTRANSLATED] perrito,207355
addled / rotten,207069
owner / home-made,206579
answer,206465
rennet,206307
[UNTRANSLATED] demandado,205046
to see,203236
part / separate,202946
any / some,199354
vanity,198486
new,197917
[UNTRANSLATED] egeo,196607
5,196477
tell / command,195856
header,195520
[UNTRANSLATED] holder,194191
[UNTRANSLATED] hipócrita,193715
to give,190519
serial,188040
hall / room / living room,188038
[UNTRANSLATED] debe,186785
valencian,186422
cite / quote,185759
urbanisation,184390
[UNTRANSLATED] movilizar,183573
[UNTRANSLATED] plummer,182146
[UNTRANSLATED] algun,181159
amicable,181053
[UNTRANSLATED] chet,179295
[UNTRANSLATED] matías,177873
saavedra,175312
[UNTRANSLATED] chiapas,174510
inherit,174414
wrongly,174267
pretence,174056
[UNTRANSLATED] patti,173107
[UNTRANSLATED] vance,172489
group,172356
[UNTRANSLATED] mireya,171495
poisonous,171364
to have (aux.)/there is,170177
[UNTRANSLATED] caminante,169922
perpetual,169741
[UNTRANSLATED] házlo,169636
breed / race,168677
film library,168510
implicitly,167574
[UNTRANSLATED] pretzel,167530
to say/tell,166604
honour,166262
be / keep / monitor,165909
issue / publish,165036
drop / release,164983
penny,164934
fall / drop / go,164484
[UNTRANSLATED] mudar,164398
prism,163433
pouffe,163199
hold,163190
stroll,162454
to want,162117
[UNTRANSLATED] buddy,161279
superstition,161065
quarantine,160375
cubic,159390
manifest,159322
[UNTRANSLATED] niles,159305
word,157907
demeanour,157835
mushroom,157598
charity,157329
[UNTRANSLATED] ayacucho,157073
[UNTRANSLATED] ofrecimiento,156143
cigar,155815
score,155741
twin,155361
prolong,155069
homework / duty / have,154548
miner / mining,153924
nice,153281
globule,153247
self-evident,152657
feature / table / introduce,152440
[UNTRANSLATED] mudanza,152117
move / shift,151773
[UNTRANSLATED] chiang,150641
guardian,150278
boil,150151
incite / prompt,149589
[UNTRANSLATED] med,149551
[UNTRANSLATED] cut,149002
room / dwelling,147959
[UNTRANSLATED] adivino,147325
[UNTRANSLATED] sinclair,147214
generality,146594
cold / chill,146401
[UNTRANSLATED] eliseo,145509
romania,145063
[UNTRANSLATED] epr,144798
[UNTRANSLATED] dejada,144278
[UNTRANSLATED] shultz,144035
cage,143984
[UNTRANSLATED] milagroso,143875
[UNTRANSLATED] sucre,143636
darken / get,143352
[UNTRANSLATED] axl,143323
count / explain / have,142880
striking,142773
[UNTRANSLATED] mueller,141630
[UNTRANSLATED] porteño,141531
seduce,141086
novelty,140807
to want,140555
[UNTRANSLATED] these,140549
[UNTRANSLATED] ésto,140434
hydraulic,140247
nicole,140049
cut / edge,139803
capture,139709
[UNTRANSLATED] nikolai,139669
[UNTRANSLATED] superintendencia,138657
[UNTRANSLATED] julian,138569
anybody / anyone / somebody,138298
bury,138296
numerical / numeric,138168
nicotine,138155
degeneration,138097
shameful,137917
to have/possess,137775
dine,137185
flirt,137016
[UNTRANSLATED] micah,136673
pudding,135945
[UNTRANSLATED] equivocar,135785
[UNTRANSLATED] hassan,135257
[UNTRANSLATED] how,135227
[UNTRANSLATED] fela,134886
location,134608
look / hope / expect,134308
church,134222
traveller,134025
be / deserve / merit,133712
always,133344
[UNTRANSLATED] danny,133102
little / few,132930
[UNTRANSLATED] érase,132602
differ,132094
originate,131791
sell,131556
[UNTRANSLATED] versus,131170
[UNTRANSLATED] viajecito,130961
[UNTRANSLATED] basketball,129919
hit / reach / play,129675
[UNTRANSLATED] gunther,129585
whose,129281
shrink,129194
advance,129092
jurisdiction,127679
both,127245
splendid,126847
sedative,126392
graduate,125939
[UNTRANSLATED] alli,125797
clarinet,125560
square,124597
long / yearn,124416
[UNTRANSLATED] juancho,123963
fear / dread,123709
penalty,122575
issue / publish,122548
[UNTRANSLATED] herrmann,122545
double / twofold,122517
[UNTRANSLATED] grogan,122028
questionnaire,121613
sweat,121520
[UNTRANSLATED] samaranch,120642
think,120593
[UNTRANSLATED] dignamente,120417
convey / transport,119650
[UNTRANSLATED] haro,119359
this / that,119291
[UNTRANSLATED] frederick,118840
[UNTRANSLATED] grady,118548
win / overcome,118329
[UNTRANSLATED] liszt,117751
nymphomaniac,117749
[UNTRANSLATED] tocada,117736
sail / cruise,117516
homework / duty / have,117004
arrest,116339
take / see / come,116050
[UNTRANSLATED] cobra,115283
[UNTRANSLATED] tai,114609
torturing / torturer / tormentor,114099
[UNTRANSLATED] cutre,113793
frivolous,113054
[UNTRANSLATED] sediento,112861
[UNTRANSLATED] mart,111983
[UNTRANSLATED] entonar,111610
tour / visit,111446
writer,111246
feeble / weak,111119
issue / publish,110890
grass / pipe-weed / herb,110015
[UNTRANSLATED] jonás,109943
any / either / whatever,109716
[UNTRANSLATED] hacker,109515
listen,109447
transform,109409
growth,109380
change / capsize / switch,108920
[UNTRANSLATED] lukas,108503
operational,108478
to go,107891
grim / sinister / accident,107860
reservoir,107758
tedium,107525
draw / pencil,107034
seduce,106876
altitude,106802
ability / craft / skill,106620
index card / chip,106187
[UNTRANSLATED] lncluso,105913
atropine,105663
[UNTRANSLATED] death,105402
[UNTRANSLATED] predeterminado,105358
to have (aux.)/there is,105315
abduct / kidnap,104984
to want,104978
dinar,104868
take / spend / go,104786
fail,104348
[UNTRANSLATED] fusilar,104304
identify,104001
hear,103930
look / watch / keep,103897
[UNTRANSLATED] hester,103778
corner,103610
feel / be,103446
abbot / abad,103283
this,102884
[UNTRANSLATED] sherri,102733
modality,102519
infinite,102513
to say/tell,102258
[UNTRANSLATED] estàn,102017
inherit,101162
[UNTRANSLATED] tumbar,100620
[UNTRANSLATED] c,100541
minimum / minimal,100209
[UNTRANSLATED] patsy,100159
culinary,100086
gunpowder,99750
[UNTRANSLATED] rayna,99733
austrian,99696
pay / go,99679
homework / duty / have,99624
[UNTRANSLATED] sobrio,99591
[UNTRANSLATED] deprimido,99103
ingot,99093
farm / park,98783
opposition,98419
evolution,98103
mythical,97832
linen,97811
commit,97638
sail / cruise,97624
gabble / talk / discuss,97608
discharge / free / release,97501
[UNTRANSLATED] capitalino,97498
draw / pencil,97488
begin / commence,97387
[UNTRANSLATED] ryo,96930
legislative,96430
split,96380
[UNTRANSLATED] morboso,96325
to do/make,96236
to be able to/can,96203
[UNTRANSLATED] callar,96005
draw / pencil,95693
corner,95588
[UNTRANSLATED] panico,95417
[UNTRANSLATED] verona,95198
pulley,95063
case / briefcase,94881
to have (aux.)/there is,94593
beginner,94355
[UNTRANSLATED] estupido,94320
africa,94130
gun,93919
scatter,93698
pay / go,93575
think,93405
offer,92530
[UNTRANSLATED] crediticio,92453
hostage,92441
[UNTRANSLATED] chevalier,92341
erect / raise,91988
drink,91942
penal,91862
to know (be familiar with),91817
whistle,91798
accept,91649
to give,91543
wait,91507
transplantation,91507
curve / twist,91480
switchboard,91320
cast / launch / sling,91148
look / search / seek,90780
[UNTRANSLATED] calvin,90769
[UNTRANSLATED] novecientos,90475
record,89726
review / revise / overhaul,89710
[UNTRANSLATED] espanyol,89245
take / see / come,88556
[UNTRANSLATED] daleks,88513
demonstrate / show,88434
[UNTRANSLATED] southfork,88400
[UNTRANSLATED] ryu,88320
honey,88198
come / arrive / get,87354
[UNTRANSLATED] temps,86947
nba,86587
consequence / result / aftermath,86568
[UNTRANSLATED] amita,86373
promise / pledge,86122
to say/tell,85896
promote,85823
feel / be,85812
breathe,85118
hate,85097
discharge / free / release,85061
headquarters,85025
think,84837
to be (state/location),84648
poland,84462
[UNTRANSLATED] fsln,84398
tide,84318
[UNTRANSLATED] arlen,83893
[UNTRANSLATED] puntapié,83640
[UNTRANSLATED] otto,83399
full,83244
[UNTRANSLATED] pobrecito,83204
execute,83157
move / shift,82823
contribute,82698
[UNTRANSLATED] espejito,82683
bind / tie / strap,82391
dominican,82202
fruit,82127
bunk,81962
male,81548
to see,81501
gild,81384
quantitative,81311
[UNTRANSLATED] dov,81308
seat / sit / settle,81191
[UNTRANSLATED] masha,81188
gabble / talk / discuss,81143
[UNTRANSLATED] hackeo,81124
ambiguity,81094
gabble / talk / discuss,80772
pear,80772
[UNTRANSLATED] provisto,80706
furtively,80546
championship,80389
[UNTRANSLATED] deb,80305
fork,80139
give / return / send,79843
delete / eliminate,79527
to see,79235
[UNTRANSLATED] picado,79176
second,78903
economic / economical / inexpensive,78894
[UNTRANSLATED] ayudame,78887
sell,78846
multiplicity,78814
litigate,78746
savagery,78454
[UNTRANSLATED] maica,78300
reward / prize-winning,77900
[UNTRANSLATED] estacionar,77690
nigerian,77659
[UNTRANSLATED] virgin,77413
[UNTRANSLATED] julia,77315
farmyard,77124
litre,76992
[UNTRANSLATED] basil,76950
[UNTRANSLATED] jock,76877
[UNTRANSLATED] airado,76848
enclose / shut,76632
cyclist,76625
irrevocable,76578
look / search / seek,76470
productive,76383
[UNTRANSLATED] perplejo,76349
warm / collapse / drop,76267
detest,75904
take / spend / go,75548
miner / mining,75529
dam,75524
plain,75408
[UNTRANSLATED] democristiano,75100
[UNTRANSLATED] picaporte,74926
[UNTRANSLATED] verbena,74715
abuse,74616
[UNTRANSLATED] bobbie,74341
spread,74285
[UNTRANSLATED] marie,74140
take / see / come,73971
diplomatic,73937
literary,73881
typical,73708
[UNTRANSLATED] sepelio,73676
acid / sour,73379
identify,73201
judicial,73018
glorious / magnificent / superb,73012
[UNTRANSLATED] sobrecarga,72800
[UNTRANSLATED] myung,72630
[UNTRANSLATED] merecedor,72606
bishopric,72583
assume,72466
cucumber,72268
[UNTRANSLATED] dejo,72262
[UNTRANSLATED] armani,71938
last,71929
[UNTRANSLATED] quejar,71689
prefecture,71395
[UNTRANSLATED] quejar,71159
partridge,71136
homework / duty / have,70848
[UNTRANSLATED] pibe,70846
[UNTRANSLATED] mauro,70801
[UNTRANSLATED] uds,70669
[UNTRANSLATED] sedal,70555
impairment,70454
martyr,70219
spread,70106
[UNTRANSLATED] habria,70083
allow / permit,69856
september,69817
break / smash,69754
[UNTRANSLATED] hacias,69106
panamanian,68964
sweat,68900
hate,68865
[UNTRANSLATED] extraviar,68852
deny,68761
[UNTRANSLATED] jadear,68529
[UNTRANSLATED] harlow,68452
confront / brave / face,68391
[UNTRANSLATED] sobrio,68390
[UNTRANSLATED] mcnally,68290
give / return / send,68187
shed / building / nave,67901
northerner / north,67796
incorporate,67735
[UNTRANSLATED] jonny,67679
foresee,67631
respect,67604
flame / llama,67586
[UNTRANSLATED] um,67567
mail,67565
[UNTRANSLATED] josefino,67487
to see,67350
[UNTRANSLATED] harriet,67342
sympathetic / compassionate,67020
bed,67004
[UNTRANSLATED] dolce,66968
be / deserve / merit,66967
mention,66962
[UNTRANSLATED] nevar,66938
pub,66937
[UNTRANSLATED] russo,66762
to say/tell,66696
dairy,66679
dietary,66656
[UNTRANSLATED] apurar,66537
[UNTRANSLATED] li,66531
alchemy,66406
look / watch / keep,66090
mass,66022
to do/make,65961
slogan,65958
resist,65919
litigate,65890
torture,65886
travel agency / agency / bureau,65861
[UNTRANSLATED] terrícola,65847
serve,65844
exceed,65709
[UNTRANSLATED] salinger,65646
[UNTRANSLATED] invernadero,65466
successor,65457
prove / taste / test,65410
[UNTRANSLATED] aquelarre,65334
enclave,65323
carrier,65310
college / university,65091
butt / backside / rear,64971
[UNTRANSLATED] quejar,64873
shock,64652
[UNTRANSLATED] blanc,64565
shallow / superficial,64481
ramírez,64457
achieve / get / manage,64414
address / aim / conduct,64158
[UNTRANSLATED] zafar,64152
left / left-wing,64138
this / that,64105
[UNTRANSLATED] ernest,64030
mediterranean,63952
sickle,63942
forgive,63930
tehran,63844
portray,63826
hammer,63798
and,63796
sublimation,63457
[UNTRANSLATED] pobrecillo,63447
shopping trolley / car / cart,63370
[UNTRANSLATED] scooby,63056
[UNTRANSLATED] shi,62736
enjoy / fancy / like,62509
decorate,62440
[UNTRANSLATED] ipi,62112
thug,62044
base,62000
occupy,61995
rush / decide,61976
hide / obscure / secrete,61874
[UNTRANSLATED] savage,61871
[UNTRANSLATED] marsden,61851
[UNTRANSLATED] suceder,61812
[UNTRANSLATED] hoshi,61623
be / keep / monitor,61571
[UNTRANSLATED] dayton,61519
love,61474
lawsuit / suit,61416
barbecue,61245
murderer / killer / murderous,61144
bury,61096
drop / come / encounter,61074
[UNTRANSLATED] querella,60870
folklore,60767
lint / floss,60669
requirement,60653
soviet,60636
to give,60442
dalí,60427
bathe,60266
carp,60210
to know (be familiar with),60204
guerrillas' action / military operation / listed share,60170
dubai,59966
[UNTRANSLATED] volvio,59500
relative,59392
interest,59177
fear / dread,59087
import / matter / mind,59076
patiently,59043
mention,58989
[UNTRANSLATED] divagar,58846
satiate,58646
end / finish / have,58517
[UNTRANSLATED] necrosis,58419
appeal,58409
gain / obtain,58342
project,58325
exert / wield,58190
manual / handbook,58171
shelf,58121
surgery,57980
peel / shell,57970
plead,57897
dietary,57850
[UNTRANSLATED] connecticut,57779
have / remember / remind,57585
murder / assassinate,57535
have / remember / remind,57496
vizier,57478
[UNTRANSLATED] axe,57381
hardening,57238
[UNTRANSLATED] bancada,57221
arsenal,57176
employ / spend,57159
haphazard,57106
[UNTRANSLATED] nombrado,57082
[UNTRANSLATED] save,56992
[UNTRANSLATED] casilda,56953
notice / sense / note,56941
tornado,56910
[UNTRANSLATED] patton,56865
italian,56861
[UNTRANSLATED] connie,56739
provincial,56723
shelving,56635
calculation / calculus,56568
catholic,56562
to be (state/location),56560
[UNTRANSLATED] cyrano,56478
chaos,56466
belong,56418
ideological,56401
halt / pay / pause,56375
[UNTRANSLATED] provisto,56363
depression,56311
[UNTRANSLATED] show,56291
crank,56275
millimetre,56243
hit / reach / play,56143
sinus / breast / heart,55919
greet / nod / hail,55865
dance,55840
[UNTRANSLATED] quer,55826
deity,55336
herzegovina,55234
[UNTRANSLATED] caifás,55185
procure,55145
studious,55083
debit / burden / load,54985
[UNTRANSLATED] oooh,54936
clone,54719
[UNTRANSLATED] ventricular,54712
[UNTRANSLATED] decile,54567
drop / come / encounter,54470
develop,54450
[UNTRANSLATED] haven,54450
[UNTRANSLATED] apurar,54411
accidental,54225
[UNTRANSLATED] quercus,54110
affectionately / fondly,54089
taut / uptight / tense,53975
mind,53915
greeting,53909
project,53862
torment,53811
sachs,53801
[UNTRANSLATED] vallecas,53621
[UNTRANSLATED] pasada,53551
[UNTRANSLATED] cual,53493
to give,53464
orient,53311
encrypt,53276
wagon,53140
[UNTRANSLATED] celso,53130
unchain,53126
fujimori,53066
buying / bulk buying / cash purchase,53019
[UNTRANSLATED] portsmouth,53003
study,52883
[UNTRANSLATED] motorista,52793
filter / leak / leach,52747
[UNTRANSLATED] mira,52727
novel,52724
[UNTRANSLATED] salarial,52694
find,52662
complex,52573
chain,52538
form / shape,52506
nominate,52492
boost / increase / raise,52225
adjacent,52217
to say/tell,52136
lagoon,51955
[UNTRANSLATED] exnovio,51912
homework / duty / have,51896
call,51853
[UNTRANSLATED] tumbo,51744
[UNTRANSLATED] lázaro,51720
call,51719
somersault,51673
around,51423
to go,51383
shop / store / tent,51295
accountancy / accounting,51255
[UNTRANSLATED] allison,51181
betray,51168
digital,51125
colonial,50895
together,50882
flat / floor,50874
discreet / discrete / unobtrusive,50856
nuance,50823
[UNTRANSLATED] rabieta,50587
stock market,50569
[UNTRANSLATED] mudanza,50556
[UNTRANSLATED] pollas,50497
light,50448
spaniard / spanish,50342
[UNTRANSLATED] psst,50340
evoke,50298
call,50269
stitch,50269
understand / misunderstand,50268
[UNTRANSLATED] montalbán,50264
cancer,50253
[UNTRANSLATED] thank,50212
cut / hack,50170
[UNTRANSLATED] carmelita,50158
[UNTRANSLATED] álvaro,50141
to know (be familiar with),50139
mobilisation,50034
virginity,50008
hit / punch / paste,49913
previous / prior,49850
allow / give / quit,49847
inter-american,49824
pull / remove / take,49753
psychiatric,49743
community,49701
gabble / talk / discuss,49687
believe / think,49603
[UNTRANSLATED] barcaza,49422
[UNTRANSLATED] shin,49414
itching,49391
tend,49330
[UNTRANSLATED] bong,49168
bring,49132
supervisor / supervisory,49109
cut,49022
understand / misunderstand,49010
failure,49009
[UNTRANSLATED] mexico,48991
[UNTRANSLATED] pobrecito,48930
[UNTRANSLATED] madeline,48862
justify,48791
[UNTRANSLATED] porte,48715
squadron,48714
tempt,48616
to give,48606
[UNTRANSLATED] escaramuza,48540
hughes,48517
[UNTRANSLATED] j,48483
denounce / report,48446
[UNTRANSLATED] daryl,48355
advocate / defend,48319
[UNTRANSLATED] everglades,48318
[UNTRANSLATED] ned,48194
whistle,48192
[UNTRANSLATED] equivocar,47998
number / avogadro number / avogadro constant,47978
[UNTRANSLATED] cabernet,47857
avenge,47746
absurd,47717
ask,47716
news,47629
cancel,47622
call,47557
[UNTRANSLATED] hannibal,47539
[UNTRANSLATED] raptor,47511
guitarist,47460
[UNTRANSLATED] jugada,47442
[UNTRANSLATED] estéreo,47397
take / borrow,47396
[UNTRANSLATED] puff,47395
rehabilitate,47299
coriander,47268
that,47213
to have/possess,47201
[UNTRANSLATED] ashby,47021
rural,47018
[UNTRANSLATED] joanie,46817
urban,46786
earl / conde,46687
mobilisation,46644
spaniard / spanish,46591
[UNTRANSLATED] desterrar,46568
french,46559
separate,46534
[UNTRANSLATED] jubilado,46505
genetic,46503
[UNTRANSLATED] quisquilloso,46480
new,46471
[UNTRANSLATED] ftl,46468
[UNTRANSLATED] ensordecedor,46448
[UNTRANSLATED] forzosamente,46386
[UNTRANSLATED] contraloría,46378
bird watching / sighting,46337
horn wound / bull's horn wound / wound,46280
matter / subject,46199
[UNTRANSLATED] nicolás,46196
sergi,46117
technology / tech / web technology,46067
[UNTRANSLATED] cochero,46022
age,45999
[UNTRANSLATED] thakur,45969
blackbird,45938
sleep,45937
frustrate,45919
travel / travelling,45898
blow,45846
outline,45837
discharge / free / release,45749
[UNTRANSLATED] maracaibo,45689
prieto,45685
attempt / try / endeavour,45681
[UNTRANSLATED] pinus,45664
puddle,45577
interrupt / discontinue / disrupt,45508
[UNTRANSLATED] pr,45490
fight / struggle,45446
end / finish / have,45438
bunker,45392
holy / sacred,45378
put,45353
[UNTRANSLATED] termal,45165
[UNTRANSLATED] pretzels,45047
hit / reach / play,45033
[UNTRANSLATED] hui,44973
[UNTRANSLATED] à,44962
carry / spend / take,44932
lucre,44909
questionable,44896
liability / responsibility,44850
fly / blast,44816
ready / poised,44766
bury,44764
cultural,44704
brief / inform / report,44643
cent,44599
[UNTRANSLATED] edulcorante,44514
[UNTRANSLATED] enclenque,44474
[UNTRANSLATED] eucaristía,44467
[UNTRANSLATED] especular,44452
serial,44420
[UNTRANSLATED] mudar,44410
[UNTRANSLATED] mentir,44310
[UNTRANSLATED] michelangelo,44308
carry / spend / take,44299
deal / treat,44180
rush / decide,44179
embrace,44162
sail / cruise,44151
[UNTRANSLATED] mudar,44072
ride,44032
address / aim / conduct,44026
nose,43924
[UNTRANSLATED] trenton,43823
prerogative,43774
[UNTRANSLATED] intencionalmente,43756
[UNTRANSLATED] jeong,43709
[UNTRANSLATED] tuttle,43702
[UNTRANSLATED] tenaz,43673
return,43630
homologation,43605
answer / reply / response,43598
sing,43578
scatter,43471
lean / support,43419
reform,43403
thematic,43398
marble,43302
look / glance / watch,43280
characterise,43273
horde,43238
batch,43146
[UNTRANSLATED] oxidado,43003
breed / raise,42966
fear,42905
[UNTRANSLATED] estámos,42900
broadway,42893
plastic,42890
anchor,42855
sanchez,42849
look / hope / expect,42737
verification,42730
incentive trip / journey / travel,42724
[UNTRANSLATED] miguelito,42720
[UNTRANSLATED] nati,42715
ring / siege,42651
[UNTRANSLATED] drill,42649
to know (a fact),42574
blindly,42572
temperature,42473
put / dip,42430
journalist,42406
love,42364
memorandum,42338
manager / responsible / accountable,42227
[UNTRANSLATED] darrin,42212
[UNTRANSLATED] valjean,42193
[UNTRANSLATED] detallado,42163
vote / casting vote,42110
[UNTRANSLATED] midori,42068
[UNTRANSLATED] debio,42007
[UNTRANSLATED] bastilla,41920
serve,41910
grandfather / grandparent / grandmother,41903
occupy,41886
silk,41874
[UNTRANSLATED] telefonista,41839
sponge,41766
[UNTRANSLATED] mentir,41758
[UNTRANSLATED] esten,41724
[UNTRANSLATED] nashville,41667
interference,41642
[UNTRANSLATED] vosotros,41592
resist,41559
[UNTRANSLATED] mahoney,41520
at least,41511
action film / action movie / film,41426
fixer / mediator,41311
involve,41291
[UNTRANSLATED] lobby,41264
board / joint,41257
primate,41250
drop / come / encounter,41202
traveller,41186
sepia,41053
participatory,41040
antenna,41035
bother / annoy / pester,40956
scorpion,40871
[UNTRANSLATED] prohibido,40861
[UNTRANSLATED] piazza,40855
[UNTRANSLATED] anton,40828
feasibility,40808
[UNTRANSLATED] might,40806
banquet,40762
burn,40682
cake,40659
sell,40577
journalistic,40553
[UNTRANSLATED] poli,40533
melancholy,40515
host / hostess,40462
anger,40400
break,40360
[UNTRANSLATED] plomero,40336
shiver / tremble / quiver,40319
love,40275
infection,40258
[UNTRANSLATED] picadillo,40254
[UNTRANSLATED] dl,40140
[UNTRANSLATED] calentura,40079
put / communicate / get,40054
shrimp,40052
[UNTRANSLATED] ráfaga,40017
flirt,39993
fear / dread,39981
recording,39973
contagious / infectious,39907
[UNTRANSLATED] lanzadera,39863
[UNTRANSLATED] vanessa,39835
bodyguard,39820
believe / think,39775
rapist,39773
regenerate,39772
of/from,39744
populate,39718
[UNTRANSLATED] narcís,39716
[UNTRANSLATED] enron,39710
take,39692
carrier,39683
[UNTRANSLATED] oui,39621
woman / female / wife,39616
