rank,lemma,old_translation,new_translation
1770,llamadas,call (feminine plural),calls; called
1774,gustaba,liked; used to like; pleased,liked; used to like; was pleasing to
1850,llame,he summons; she summons; it summons,call (subjunctive/formal imperative)
1908,antigua,old; former; quondam; erstwhile (feminine singular),old; ancient; former
2010,llamaba,I summoned; he summoned; she summoned; it summoned (ongoing habitual/background past),called; used to call
2023,rayos,heck; goddammit; dang it,damn; heck
2025,debí,I owed (completed past),had to; owed
2055,deber,to owe,to owe; should; ought to
2145,niñas,girl; female equivalent of niño (plural),girls
2283,llamando,summoning,calling
2286,gustó,liked; pleased,liked; was pleasing to
2309,mínimo,minimal,minimum; minimal
2343,llevaron,they tooked (completed past),they took (completed past)
2374,olvidé,I forgeted (completed past),I forgot (completed past)
2484,muchacha,young lady; female equivalent of muchacho: girl (feminine singular),girl; young woman
2637,celular,cellular,cell phone; mobile phone
2750,hermanas,sister; female equivalent of hermano (plural),sisters
2768,deberá,he will owe; she will owe; it will owe,will have to; must
3019,gustas,you taste,you like; are pleasing to
3043,llamamos,we summoned,call; called
3147,recuperación,retrieval,recovery
3184,hijas,daughter; female equivalent of hijo (plural),daughters
3234,llamarme,to be called,to call me
3313,santos,holy; godly (masculine plural),saints; holy
3399,peores,comparative degree of malo: worse (plural),worse
3435,llamaste,you summoned (completed past),called
3508,hacienda,ranch,estate; farm; treasury
3589,vegas,meadow (plural),plains; meadows
3743,cuarta,synonym of disciplina,fourth
3761,debiste,you owed (completed past),had to; owed
3844,agenda,planner,diary; planner; agenda
3958,llamaron,they summoned (completed past),called
4158,sida,acquired immune deficiency syndrome,AIDS
4201,directora,head,director; manager
4301,llamarte,to be called,to call you
4372,tomaron,they tooked (completed past),they took (completed past)
4420,tomaste,you tooked (completed past),you took (completed past)
4446,llevé,I tooked (completed past),I took (completed past)
4500,llamarlo,to summon it (masculine),to call it (masculine)
4518,deberán,they will owe,will have to
4667,debían,they owed (ongoing habitual/background past),had to; were supposed to
4719,llamados,call (masculine plural),called; named
4808,cogió,he tooked; she tooked; it tooked (completed past),he took; she took; it took (completed past)
4816,deberes,to owe (plural),homework; duties
4868,gustar,to taste,to like; to be pleasing
4944,antiguas,old; former; quondam; erstwhile (feminine plural),old; ancient; former
4950,escritores,writer (plural),writers
5083,privadas,privy; private (feminine plural),private (feminine plural)
5121,privados,privy; private (masculine plural),private (masculine plural)
5272,llevaban,they tooked (ongoing habitual/background past),they took (ongoing habitual/background past)
5315,gustará,he will taste; she will taste; it will taste,will like; will be pleasing to
5385,sobrina,female equivalent of sobrino: niece (feminine singular),niece
5630,olvidaste,you forgeted (completed past),you forgot (completed past)
5810,llamaban,they summoned (ongoing habitual/background past),called; used to call
5899,tomaba,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past)
6120,llamarla,to summon it (feminine),to call her/it
6154,dueña,female equivalent of dueño: owner (feminine singular),owner (feminine singular)
6176,cogí,I tooked (completed past),I took (completed past)
6273,llamaría,I would summon,would call
6331,muchachas,young lady; female equivalent of muchacho: girl (plural),girls; young women
6414,debieron,they owed (completed past),had to
6443,cayeron,they felled (completed past),they fell (completed past)
6528,buscó,he seeked; she seeked; it seeked (completed past),he looked for; she looked for; it looked for (completed past)
6668,agrega,you add,adds
6973,descarga,unloading,download; unloading
6992,llevaste,you tooked (completed past),you took (completed past)
6996,cabrones,billy goat,bastards; assholes
7202,gustaban,they tasted (ongoing habitual/background past),liked; used to like; were pleasing to
7224,debías,you owed (ongoing habitual/background past),had to; were supposed to
7269,llamará,he will summon; she will summon; it will summon,will call
7274,caía,I felled; he felled; she felled; it felled (ongoing habitual/background past),I fell; he fell; she fell; it fell (ongoing habitual/background past)
7484,compramos,we buyed,we bought
7600,llamaremos,we will summon,will call
7622,gustos,taste (masculine plural),tastes; preferences
7839,niñita,girl; female equivalent of niño,little girl
7890,debíamos,we owed (ongoing habitual/background past),had to
8101,debéis,you owe (vosotros present indicative),you must; you should
8529,llamarle,to summon to him or her,to call him/her
9159,olvidaba,I forgeted; he forgeted; she forgeted; it forgeted (ongoing habitual/background past),I forgot; he forgot; she forgot; it forgot (ongoing habitual/background past)
9406,buscaban,they seeked (ongoing habitual/background past),they looked for (ongoing habitual/background past)
9418,abuelita,grandmother; female equivalent of abuelo,grandma; grandmother
9511,llámalo,summon it (masculine),call him/it
9753,placeres,to like (plural),pleasures
9874,deberás,you will owe,you will have to
9895,olvidamos,we forgeted,we forgot
10546,pos,synonym of pues,well; so
10685,cogiste,you tooked (completed past),you took (completed past)
10727,debida,owed (feminine singular),due; owed (feminine singular)
11867,llevabas,you tooked (ongoing habitual/background past),you took (ongoing habitual/background past)
12271,cogieron,they tooked (completed past),they took (completed past)
12460,gustarle,to taste to him or her,to be pleasing to him/her
12621,olvidaron,they forgeted (completed past),they forgot (completed past)
12869,buscabas,you seeked (ongoing habitual/background past),you looked for (ongoing habitual/background past)
13201,gustaron,they tasted (completed past),liked; were pleasing to
13418,buscaron,they seeked (completed past),they looked for (completed past)
13709,llamarlos,to summon them (masculine),to call them
13885,llevábamos,we tooked (ongoing habitual/background past),we took (ongoing habitual/background past)
13940,deberemos,we will owe,we will have to
13996,llamarás,you will summon,you will call
14096,gustarme,to taste me,to be pleasing to me
14344,caían,they felled (ongoing habitual/background past),they fell (ongoing habitual/background past)
14615,llámala,summon it (feminine),call her/it
14710,tomaban,they tooked (ongoing habitual/background past),they took (ongoing habitual/background past)
15276,llamarán,they will summon,they will call
15349,gustarte,to taste you,to be pleasing to you
15527,llamabas,you summoned (ongoing habitual/background past),you called (ongoing habitual/background past)
15730,buscaste,you seeked (completed past),you looked for (completed past)
16384,deberé,I will owe,I will have to
17068,llamábamos,we summoned (ongoing habitual/background past),we called (ongoing habitual/background past)
17094,llamarías,you would summon,you would call
17375,disparamos,we shooted,we shot
17722,llamarnos,to be called,to call us
17831,buscábamos,we seeked (ongoing habitual/background past),we looked for (ongoing habitual/background past)
17862,gustando,tasting,liking; being pleasing
17998,burrito,Aloysia polystachya,burrito; little donkey
18183,cogía,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past)
18391,llamame,I summon,call me
18458,gustabas,you tasted (ongoing habitual/background past),you liked; used to like; were pleasing to
19004,santísima,holy; godly (feminine singular),most holy
19128,debidas,owed (feminine plural),due; owed (feminine plural)
19357,santas,holy; godly (feminine plural),saints; holy
20168,llamáis,you summon (vosotros present indicative),you call (vosotros present indicative)
20892,facto,a truth; a trufax; an opinion considered a true fact,in fact; by the fact
21085,descargando,unloading,downloading; unloading
21740,llamarían,they would summon,they would call
22234,llámale,summon to him or her,call him/her
22927,llámalos,summon them (masculine),call them
23675,llámelo,he summons; she summons; it summons,call him/it (formal imperative/subjunctive)
26007,blanqueo,synonym of blanqueamiento,money laundering; whitening
26021,llamarles,to summon to them,to call them
26530,tomábamos,we tooked (ongoing habitual/background past),we took (ongoing habitual/background past)
27460,llamase,I summoned,I called
28622,baleado,shooted,shot
29747,santísimo,holy; godly,most holy
29871,tomabas,you tooked (ongoing habitual/background past),you took (ongoing habitual/background past)
33436,llamarlas,to summon them (feminine),to call them (feminine)
33983,encarecimiento,increase in price or cost,rise in price; price increase
