lemma,count,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
vas,336124,lemma,vas,vas,vas,vas,[UNTRANSLATED] vas,FALSE,untranslated
sabe,305253,lemma,sabe,sabe,sabe,sabe,[UNTRANSLATED] sabe,FALSE,untranslated
todas,302663,lemma,todas,todas,todas,todas,[UNTRANSLATED] todas,FALSE,untranslated
dice,297048,lemma,dice,dice,dice,dice,[UNTRANSLATED] dice,FALSE,untranslated
podemos,294383,lemma,podemos,podemos,podemos,podemos,[UNTRANSLATED] podemos,FALSE,untranslated
debe,292452,lemma,debe,debe,debe,debe,[UNTRANSLATED] debe,FALSE,untranslated
será,287967,lemma,será,será,será,será,[UNTRANSLATED] será,FALSE,untranslated
toda,283994,lemma,toda,toda,toda,toda,[UNTRANSLATED] toda,FALSE,untranslated
nuestra,273824,lemma,nuestra,nuestra,nuestra,nuestra,[UNTRANSLATED] nuestra,FALSE,untranslated
buena,272089,lemma,buena,buena,buena,buena,[UNTRANSLATED] buena,FALSE,untranslated
tienen,264360,lemma,tienen,tienen,tienen,tienen,[UNTRANSLATED] tienen,FALSE,untranslated
veces,262197,lemma,veces,veces,veces,veces,[UNTRANSLATED] veces,FALSE,untranslated
quería,249429,lemma,quería,quería,quería,quería,[UNTRANSLATED] quería,FALSE,untranslated
dije,249282,lemma,dije,dije,dije,dije,[UNTRANSLATED] dije,FALSE,untranslated
gusta,246115,lemma,gusta,gusta,gusta,gusta,[UNTRANSLATED] gusta,FALSE,untranslated
hizo,245925,lemma,hizo,hizo,hizo,hizo,[UNTRANSLATED] hizo,FALSE,untranslated
necesito,240791,lemma,necesito,necesito,necesito,necesito,[UNTRANSLATED] necesito,FALSE,untranslated
oye,239741,lemma,oye,oye,oye,oye,[UNTRANSLATED] oye,FALSE,untranslated
alguna,238669,lemma,alguna,alguna,alguna,alguna,[UNTRANSLATED] alguna,FALSE,untranslated
hemos,236016,lemma,hemos,hemos,hemos,hemos,[UNTRANSLATED] hemos,FALSE,untranslated
visto,234626,lemma,visto,visto,visto,visto,[UNTRANSLATED] visto,FALSE,untranslated
crees,229737,lemma,crees,crees,crees,crees,[UNTRANSLATED] crees,FALSE,untranslated
primera,228538,lemma,primera,primera,primera,primera,[UNTRANSLATED] primera,FALSE,untranslated
dicho,225969,lemma,dicho,dicho,dicho,dicho,[UNTRANSLATED] dicho,FALSE,untranslated
hacerlo,225440,lemma,hacerlo,hacerlo,hacerlo,hacerlo,[UNTRANSLATED] hacerlo,FALSE,untranslated
pueden,212072,lemma,pueden,pueden,pueden,pueden,[UNTRANSLATED] pueden,FALSE,untranslated
importa,211642,lemma,importa,importa,importa,importa,[UNTRANSLATED] importa,FALSE,untranslated
ven,203236,lemma,ven,ven,ven,ven,[UNTRANSLATED] ven,FALSE,untranslated
algún,199354,lemma,algún,algún,algún,algún,[UNTRANSLATED] algún,FALSE,untranslated
ve,198486,lemma,ve,ve,ve,ve,[UNTRANSLATED] ve,FALSE,untranslated
nueva,197917,lemma,nueva,nueva,nueva,nueva,[UNTRANSLATED] nueva,FALSE,untranslated
eh,196607,lemma,eh,eh,eh,eh,[UNTRANSLATED] eh,FALSE,untranslated
sería,188040,lemma,sería,sería,sería,sería,[UNTRANSLATED] sería,FALSE,untranslated
debería,186785,lemma,debería,debería,debería,debería,[UNTRANSLATED] debería,FALSE,untranslated
van,186422,lemma,van,van,van,van,[UNTRANSLATED] van,FALSE,untranslated
muchas,183573,lemma,muchas,muchas,muchas,muchas,[UNTRANSLATED] muchas,FALSE,untranslated
sabía,175312,lemma,sabía,sabía,sabía,sabía,[UNTRANSLATED] sabía,FALSE,untranslated
esas,174267,lemma,esas,esas,esas,esas,[UNTRANSLATED] esas,FALSE,untranslated
vaya,172489,lemma,vaya,vaya,vaya,vaya,[UNTRANSLATED] vaya,FALSE,untranslated
misma,171495,lemma,misma,misma,misma,misma,[UNTRANSLATED] misma,FALSE,untranslated
veo,171364,lemma,veo,veo,veo,veo,[UNTRANSLATED] veo,FALSE,untranslated
haces,170177,lemma,haces,haces,haces,haces,[UNTRANSLATED] haces,FALSE,untranslated
iba,169636,lemma,iba,iba,iba,iba,[UNTRANSLATED] iba,FALSE,untranslated
digo,166604,lemma,digo,digo,digo,digo,[UNTRANSLATED] digo,FALSE,untranslated
somos,164983,lemma,somos,somos,somos,somos,[UNTRANSLATED] somos,FALSE,untranslated
pensé,164934,lemma,pensé,pensé,pensé,pensé,[UNTRANSLATED] pensé,FALSE,untranslated
buenas,161279,lemma,buenas,buenas,buenas,buenas,[UNTRANSLATED] buenas,FALSE,untranslated
da,159390,lemma,da,da,da,da,[UNTRANSLATED] da,FALSE,untranslated
señora,157598,lemma,señora,señora,señora,señora,[UNTRANSLATED] señora,FALSE,untranslated
debo,154548,lemma,debo,debo,debo,debo,[UNTRANSLATED] debo,FALSE,untranslated
hice,150151,lemma,hice,hice,hice,hice,[UNTRANSLATED] hice,FALSE,untranslated
genial,146594,lemma,genial,genial,genial,genial,[UNTRANSLATED] genial,FALSE,untranslated
fueron,146401,lemma,fueron,fueron,fueron,fueron,[UNTRANSLATED] fueron,FALSE,untranslated
significa,144035,lemma,significa,significa,significa,significa,[UNTRANSLATED] significa,FALSE,untranslated
otras,143352,lemma,otras,otras,otras,otras,[UNTRANSLATED] otras,FALSE,untranslated
hija,140247,lemma,hija,hija,hija,hija,[UNTRANSLATED] hija,FALSE,untranslated
ninguna,140049,lemma,ninguna,ninguna,ninguna,ninguna,[UNTRANSLATED] ninguna,FALSE,untranslated
supongo,138657,lemma,supongo,supongo,supongo,supongo,[UNTRANSLATED] supongo,FALSE,untranslated
algunas,138298,lemma,algunas,algunas,algunas,algunas,[UNTRANSLATED] algunas,FALSE,untranslated
